timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784591601.7924,121.69,4.85,4.0,112.28,116.84,16.0,0,0.0,0.0
1784591602.7934,121.69,8.99,7.4,108.14,112.7,16.0,0,0.0,0.0
1784591603.7937,121.69,18.32,15.1,98.81,103.37,16.0,0,0.0,0.0
1784591604.7946,121.69,21.37,17.6,95.76,100.32,16.0,0,0.0,0.0
1784591605.7953,121.69,24.54,20.2,92.59,97.15,16.0,0,0.0,0.0
1784591606.796,121.69,25.71,21.1,91.42,95.98,16.0,0,0.0,0.0
1784591607.7968,121.69,25.69,21.1,91.43,96.0,16.0,0,0.0,0.0
1784591608.7974,121.69,25.69,21.1,91.44,96.0,16.0,0,0.0,0.0
1784591609.798,121.69,25.67,21.1,91.46,96.02,16.0,0,0.0,0.0
1784591610.7986,121.69,15.25,12.5,101.88,106.44,16.0,0,0.0,0.0
1784591611.7993,121.69,6.41,5.3,110.71,115.28,16.0,0,0.0,0.0
1784591612.8001,121.69,16.6,13.6,100.52,105.09,16.0,0,0.0,0.0
1784591613.801,121.69,19.87,16.3,97.26,101.82,16.0,0,0.0,0.0
1784591614.8021,121.69,23.28,19.1,93.85,98.41,16.0,0,0.0,0.0
1784591615.8032,121.69,26.3,21.6,90.82,95.39,16.0,0,0.0,0.0
1784591616.804,121.69,26.29,21.6,90.84,95.4,16.0,0,0.0,0.0
1784591617.805,121.69,26.27,21.6,90.86,95.42,16.0,0,0.0,0.0
1784591618.806,121.69,26.25,21.6,90.88,95.44,16.0,0,0.0,0.0
1784591619.8064,121.69,26.23,21.6,90.9,95.46,16.0,0,0.0,0.0
1784591620.8067,121.69,12.03,9.9,105.1,109.66,16.0,0,0.0,0.0
1784591621.8071,121.69,6.66,5.5,110.47,115.03,16.0,0,0.0,0.0
1784591622.8082,121.69,18.06,14.8,99.07,103.63,16.0,0,0.0,0.0
1784591623.8087,121.69,21.07,17.3,96.06,100.62,16.0,0,0.0,0.0
1784591624.8091,121.69,24.06,19.8,93.06,97.63,16.0,0,0.0,0.0
1784591625.8096,121.69,26.07,21.4,91.06,95.62,16.0,0,0.0,0.0
1784591626.8104,121.69,26.06,21.4,91.07,95.63,16.0,0,0.0,0.0
1784591627.8109,121.69,26.04,21.4,91.08,95.65,16.0,0,0.0,0.0
