timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784641385.12,121.69,4.08,3.4,111.66,117.61,16.0,0,0.0,0.0
1784641386.1203,121.69,4.18,3.4,111.56,117.51,16.0,0,0.0,0.0
1784641387.1211,121.69,4.27,3.5,111.46,117.42,16.0,0,0.0,0.0
1784641388.1214,121.69,4.31,3.5,111.43,117.38,16.0,0,0.0,0.0
1784641389.1216,121.69,4.36,3.6,111.38,117.33,16.0,0,0.0,0.0
1784641390.1218,121.69,4.4,3.6,111.34,117.29,16.0,0,0.0,0.0
1784641391.1229,121.69,5.06,4.2,110.68,116.63,16.0,0,0.0,0.0
1784641392.1232,121.69,4.45,3.7,111.29,117.24,16.0,0,0.0,0.0
1784641393.1234,121.69,4.5,3.7,111.24,117.19,16.0,0,0.0,0.0
1784641394.1237,121.69,4.49,3.7,111.25,117.2,16.0,0,0.0,0.0
1784641395.124,121.69,4.6,3.8,111.14,117.09,16.0,0,0.0,0.0
1784641396.1246,121.69,4.66,3.8,111.08,117.03,16.0,0,0.0,0.0
1784641397.1249,121.69,5.31,4.4,110.43,116.38,16.0,0,0.0,0.0
1784641398.1252,121.69,4.74,3.9,111.0,116.95,16.0,0,0.0,0.0
1784641399.1258,121.69,4.76,3.9,110.98,116.93,16.0,0,0.0,0.0
1784641400.126,121.69,4.79,3.9,110.95,116.9,16.0,0,0.0,0.0
1784641401.127,121.69,4.81,4.0,110.93,116.88,16.0,0,0.0,0.0
1784641402.1273,121.69,4.85,4.0,110.89,116.84,16.0,0,0.0,0.0
1784641403.1276,121.69,5.5,4.5,110.24,116.19,16.0,0,0.0,0.0
1784641404.1278,121.69,4.66,3.8,111.08,117.03,16.0,0,0.0,0.0
1784641405.1285,121.69,4.71,3.9,111.03,116.98,16.0,0,0.0,0.0
1784641406.1288,121.69,4.7,3.9,111.03,116.99,16.0,0,0.0,0.0
1784641407.1292,121.69,4.75,3.9,110.99,116.94,16.0,0,0.0,0.0
1784641408.1297,121.69,4.77,3.9,110.97,116.92,16.0,0,0.0,0.0
1784641409.1302,121.69,5.14,4.2,110.6,116.55,16.0,0,0.0,0.0
1784641410.1304,121.69,4.56,3.7,111.17,117.13,16.0,0,0.0,0.0
1784641411.1307,121.69,4.61,3.8,111.13,117.08,16.0,0,0.0,0.0
1784641412.131,121.69,4.69,3.9,111.05,117.0,16.0,0,0.0,0.0
1784641413.1312,121.69,4.7,3.9,111.04,116.99,16.0,0,0.0,0.0
1784641414.1315,121.69,4.7,3.9,111.03,116.99,16.0,0,0.0,0.0
1784641415.1318,121.69,5.36,4.4,110.38,116.33,16.0,0,0.0,0.0
1784641416.1321,121.69,4.79,3.9,110.95,116.9,16.0,0,0.0,0.0
1784641417.1325,121.69,4.87,4.0,110.87,116.82,16.0,0,0.0,0.0
1784641418.1328,121.69,4.92,4.0,110.82,116.77,16.0,0,0.0,0.0
1784641419.1331,121.69,4.96,4.1,110.78,116.73,16.0,0,0.0,0.0
1784641420.1334,121.69,5.05,4.1,110.69,116.64,16.0,0,0.0,0.0
1784641421.1337,121.69,5.32,4.4,110.41,116.37,16.0,0,0.0,0.0
1784641422.134,121.69,4.55,3.7,111.19,117.14,16.0,0,0.0,0.0
1784641423.1343,121.69,4.56,3.7,111.18,117.13,16.0,0,0.0,0.0
1784641424.1345,121.69,4.55,3.7,111.19,117.14,16.0,0,0.0,0.0
1784641425.1348,121.69,4.61,3.8,111.13,117.08,16.0,0,0.0,0.0
1784641426.135,121.69,4.66,3.8,111.08,117.03,16.0,0,0.0,0.0
1784641427.1353,121.69,5.29,4.3,110.45,116.4,16.0,0,0.0,0.0
1784641428.1369,121.69,4.75,3.9,110.99,116.94,16.0,0,0.0,0.0
1784641429.1371,121.69,4.77,3.9,110.97,116.92,16.0,0,0.0,0.0
1784641430.1373,121.69,4.78,3.9,110.96,116.91,16.0,0,0.0,0.0
1784641431.1376,121.69,4.84,4.0,110.9,116.85,16.0,0,0.0,0.0
1784641432.1378,121.69,4.95,4.1,110.79,116.74,16.0,0,0.0,0.0
1784641433.1381,121.69,5.39,4.4,110.35,116.3,16.0,0,0.0,0.0
1784641434.1385,121.69,5.12,4.2,110.62,116.57,16.0,0,0.0,0.0
1784641435.1389,121.69,5.18,4.3,110.56,116.51,16.0,0,0.0,0.0
1784641436.1393,121.69,5.17,4.2,110.57,116.52,16.0,0,0.0,0.0
1784641437.1395,121.69,5.2,4.3,110.54,116.49,16.0,0,0.0,0.0
1784641438.1399,121.69,5.18,4.3,110.56,116.51,16.0,0,0.0,0.0
1784641439.1403,121.69,5.23,4.3,110.51,116.46,16.0,0,0.0,0.0
1784641440.1407,121.69,5.13,4.2,110.61,116.56,16.0,0,0.0,0.0
1784641441.1413,121.69,5.19,4.3,110.55,116.5,16.0,0,0.0,0.0
1784641442.1415,121.69,5.23,4.3,110.51,116.46,16.0,0,0.0,0.0
1784641443.1418,121.69,5.29,4.3,110.45,116.4,16.0,0,0.0,0.0
1784641444.1422,121.69,5.27,4.3,110.46,116.42,16.0,0,0.0,0.0
1784641445.1425,121.69,4.94,4.1,110.8,116.75,16.0,0,0.0,0.0
