timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784633542.8944,121.69,3.94,3.2,111.82,117.75,16.0,0,0.0,0.0
1784633543.8947,121.69,4.25,3.5,111.5,117.44,16.0,0,0.0,0.0
1784633544.8949,121.69,4.3,3.5,111.45,117.39,16.0,0,0.0,0.0
1784633545.8952,121.69,4.3,3.5,111.46,117.39,16.0,0,0.0,0.0
1784633546.8957,121.69,4.28,3.5,111.48,117.41,16.0,0,0.0,0.0
1784633547.896,121.69,4.29,3.5,111.46,117.4,16.0,0,0.0,0.0
1784633548.8962,121.69,4.04,3.3,111.72,117.65,16.0,0,0.0,0.0
1784633549.8965,121.69,4.35,3.6,111.41,117.34,16.0,0,0.0,0.0
1784633550.8969,121.69,4.35,3.6,111.41,117.34,16.0,0,0.0,0.0
1784633551.8973,121.69,4.34,3.6,111.42,117.35,16.0,0,0.0,0.0
1784633552.8976,121.69,4.28,3.5,111.48,117.41,16.0,0,0.0,0.0
1784633553.8978,121.69,4.15,3.4,111.6,117.54,16.0,0,0.0,0.0
1784633554.8981,121.69,4.2,3.5,111.56,117.49,16.0,0,0.0,0.0
1784633555.8984,121.69,4.2,3.5,111.56,117.49,16.0,0,0.0,0.0
1784633556.8987,121.69,4.22,3.5,111.53,117.47,16.0,0,0.0,0.0
1784633557.899,121.69,4.21,3.5,111.55,117.48,16.0,0,0.0,0.0
1784633558.8992,121.69,4.17,3.4,111.59,117.52,16.0,0,0.0,0.0
1784633559.8994,121.69,4.18,3.4,111.58,117.51,16.0,0,0.0,0.0
1784633560.8997,121.69,4.2,3.5,111.56,117.49,16.0,0,0.0,0.0
1784633561.9,121.69,4.19,3.4,111.57,117.5,16.0,0,0.0,0.0
1784633562.9003,121.69,4.21,3.5,111.55,117.48,16.0,0,0.0,0.0
1784633563.9006,121.69,4.22,3.5,111.54,117.47,16.0,0,0.0,0.0
1784633564.9008,121.69,4.23,3.5,111.52,117.46,16.0,0,0.0,0.0
1784633565.901,121.69,4.28,3.5,111.48,117.41,16.0,0,0.0,0.0
1784633566.9013,121.69,4.25,3.5,111.51,117.44,16.0,0,0.0,0.0
1784633567.9017,121.69,4.26,3.5,111.5,117.43,16.0,0,0.0,0.0
1784633568.902,121.69,4.27,3.5,111.49,117.42,16.0,0,0.0,0.0
1784633569.9023,121.69,4.28,3.5,111.48,117.41,16.0,0,0.0,0.0
1784633570.9025,121.69,4.26,3.5,111.5,117.43,16.0,0,0.0,0.0
1784633571.9029,121.69,4.27,3.5,111.49,117.42,16.0,0,0.0,0.0
1784633572.9031,121.69,4.22,3.5,111.54,117.47,16.0,0,0.0,0.0
1784633573.9035,121.69,4.16,3.4,111.59,117.53,16.0,0,0.0,0.0
1784633574.9038,121.69,4.21,3.5,111.55,117.48,16.0,0,0.0,0.0
1784633575.9042,121.69,4.18,3.4,111.58,117.51,16.0,0,0.0,0.0
1784633576.9045,121.69,4.21,3.5,111.55,117.48,16.0,0,0.0,0.0
1784633577.9047,121.69,4.19,3.4,111.57,117.5,16.0,0,0.0,0.0
1784633578.905,121.69,4.24,3.5,111.51,117.45,16.0,0,0.0,0.0
1784633579.9053,121.69,4.31,3.5,111.45,117.38,16.0,0,0.0,0.0
1784633580.9056,121.69,4.34,3.6,111.42,117.35,16.0,0,0.0,0.0
1784633581.9058,121.69,4.33,3.6,111.43,117.36,16.0,0,0.0,0.0
1784633582.9061,121.69,4.38,3.6,111.38,117.31,16.0,0,0.0,0.0
1784633583.9065,121.69,4.42,3.6,111.33,117.27,16.0,0,0.0,0.0
1784633584.9067,121.69,4.33,3.6,111.43,117.36,16.0,0,0.0,0.0
1784633585.9085,121.69,4.29,3.5,111.47,117.4,16.0,0,0.0,0.0
1784633586.9089,121.69,4.27,3.5,111.48,117.42,16.0,0,0.0,0.0
1784633587.9099,121.69,4.27,3.5,111.48,117.42,16.0,0,0.0,0.0
1784633588.9102,121.69,4.27,3.5,111.49,117.42,16.0,0,0.0,0.0
1784633589.9112,121.69,4.23,3.5,111.53,117.46,16.0,0,0.0,0.0
1784633590.9116,121.69,4.23,3.5,111.53,117.46,16.0,0,0.0,0.0
1784633591.912,121.69,4.19,3.4,111.57,117.5,16.0,0,0.0,0.0
1784633592.9122,121.69,4.15,3.4,111.61,117.54,16.0,0,0.0,0.0
1784633593.9132,121.69,4.11,3.4,111.64,117.58,16.0,0,0.0,0.0
1784633594.9141,121.69,4.12,3.4,111.64,117.57,16.0,0,0.0,0.0
1784633595.9144,121.69,4.15,3.4,111.6,117.54,16.0,0,0.0,0.0
1784633596.9155,121.69,4.16,3.4,111.6,117.53,16.0,0,0.0,0.0
1784633597.9159,121.69,4.2,3.5,111.56,117.49,16.0,0,0.0,0.0
1784633598.9163,121.69,4.13,3.4,111.63,117.56,16.0,0,0.0,0.0
1784633599.9166,121.69,4.18,3.4,111.58,117.51,16.0,0,0.0,0.0
1784633600.9172,121.69,4.18,3.4,111.57,117.51,16.0,0,0.0,0.0
1784633601.9174,121.69,4.18,3.4,111.57,117.51,16.0,0,0.0,0.0
1784633602.9177,121.69,4.13,3.4,111.63,117.56,16.0,0,0.0,0.0
1784633603.918,121.69,4.1,3.4,111.66,117.59,16.0,0,0.0,0.0
1784633604.9183,121.69,4.13,3.4,111.63,117.56,16.0,0,0.0,0.0
1784633605.9186,121.69,4.13,3.4,111.62,117.56,16.0,0,0.0,0.0
1784633606.9188,121.69,4.13,3.4,111.63,117.56,16.0,0,0.0,0.0
