timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784624869.1501,121.69,3.89,3.2,111.89,117.8,16.0,0,0.0,0.0
1784624870.1503,121.69,5.77,4.7,110.01,115.92,16.0,0,0.0,0.0
1784624871.1506,121.69,6.86,5.6,108.92,114.83,16.0,0,0.0,0.0
1784624872.1509,121.69,6.83,5.6,108.95,114.86,16.0,0,0.0,0.0
1784624873.1513,121.69,6.8,5.6,108.98,114.89,16.0,0,0.0,0.0
1784624874.1517,121.69,6.82,5.6,108.96,114.87,16.0,0,0.0,0.0
1784624875.1521,121.69,6.82,5.6,108.96,114.87,16.0,0,0.0,0.0
1784624876.1523,121.69,6.8,5.6,108.98,114.89,16.0,0,0.0,0.0
1784624877.1526,121.69,6.82,5.6,108.96,114.87,16.0,0,0.0,0.0
1784624878.1533,121.69,6.84,5.6,108.94,114.85,16.0,0,0.0,0.0
1784624879.1535,121.69,6.81,5.6,108.97,114.88,16.0,0,0.0,0.0
1784624880.1542,121.69,6.82,5.6,108.96,114.87,16.0,0,0.0,0.0
1784624881.1545,121.69,6.85,5.6,108.93,114.84,16.0,0,0.0,0.0
1784624882.1551,121.69,6.85,5.6,108.92,114.84,16.0,0,0.0,0.0
1784624883.1555,121.69,6.87,5.6,108.91,114.82,16.0,0,0.0,0.0
1784624884.1556,121.69,6.87,5.6,108.91,114.82,16.0,0,0.0,0.0
1784624885.1564,121.69,6.86,5.6,108.92,114.83,16.0,0,0.0,0.0
1784624886.1566,121.69,6.81,5.6,108.97,114.88,16.0,0,0.0,0.0
1784624887.1573,121.69,6.83,5.6,108.95,114.86,16.0,0,0.0,0.0
1784624888.1575,121.69,6.78,5.6,109.0,114.91,16.0,0,0.0,0.0
1784624889.1577,121.69,6.79,5.6,108.99,114.9,16.0,0,0.0,0.0
1784624890.1579,121.69,6.82,5.6,108.96,114.87,16.0,0,0.0,0.0
1784624891.1583,121.69,6.81,5.6,108.97,114.88,16.0,0,0.0,0.0
1784624892.1586,121.69,6.8,5.6,108.98,114.89,16.0,0,0.0,0.0
1784624893.159,121.69,6.83,5.6,108.95,114.86,16.0,0,0.0,0.0
1784624894.16,121.69,6.78,5.6,109.0,114.91,16.0,0,0.0,0.0
1784624895.1603,121.69,6.82,5.6,108.96,114.87,16.0,0,0.0,0.0
1784624896.1607,121.69,6.86,5.6,108.92,114.83,16.0,0,0.0,0.0
1784624897.1611,121.69,6.87,5.6,108.9,114.82,16.0,0,0.0,0.0
1784624898.1619,121.69,7.84,6.4,107.94,113.85,16.0,0,0.0,0.0
1784624899.1622,121.69,6.2,5.1,109.58,115.49,16.0,0,0.0,0.0
1784624900.1625,121.69,6.91,5.7,108.87,114.78,16.0,0,0.0,0.0
1784624901.163,121.69,6.89,5.7,108.89,114.8,16.0,0,0.0,0.0
1784624902.1641,121.69,6.91,5.7,108.87,114.78,16.0,0,0.0,0.0
1784624903.1644,121.69,6.89,5.7,108.89,114.8,16.0,0,0.0,0.0
1784624904.1647,121.69,6.89,5.7,108.89,114.8,16.0,0,0.0,0.0
1784624905.165,121.69,6.91,5.7,108.86,114.78,16.0,0,0.0,0.0
1784624906.1657,121.69,6.85,5.6,108.93,114.84,16.0,0,0.0,0.0
1784624907.1661,121.69,6.87,5.6,108.91,114.82,16.0,0,0.0,0.0
1784624908.1665,121.69,6.89,5.7,108.89,114.8,16.0,0,0.0,0.0
1784624909.1668,121.69,6.85,5.6,108.93,114.84,16.0,0,0.0,0.0
1784624910.1673,121.69,6.85,5.6,108.93,114.84,16.0,0,0.0,0.0
1784624911.1681,121.69,6.83,5.6,108.95,114.86,16.0,0,0.0,0.0
1784624912.1699,121.69,6.83,5.6,108.95,114.86,16.0,0,0.0,0.0
1784624913.171,121.69,6.87,5.6,108.9,114.82,16.0,0,0.0,0.0
