timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784647703.5259,121.69,3.89,3.2,111.83,117.8,16.0,0,0.0,0.0
1784647704.5262,121.69,4.27,3.5,111.45,117.42,16.0,0,0.0,0.0
1784647705.5269,121.69,4.26,3.5,111.46,117.43,16.0,0,0.0,0.0
1784647706.5273,121.69,4.35,3.6,111.37,117.34,16.0,0,0.0,0.0
1784647707.5277,121.69,4.31,3.5,111.41,117.38,16.0,0,0.0,0.0
1784647708.5281,121.69,4.03,3.3,111.69,117.66,16.0,0,0.0,0.0
1784647709.5285,121.69,4.17,3.4,111.55,117.52,16.0,0,0.0,0.0
1784647710.5288,121.69,4.2,3.5,111.52,117.49,16.0,0,0.0,0.0
1784647711.5291,121.69,4.15,3.4,111.57,117.54,16.0,0,0.0,0.0
1784647712.5299,121.69,4.14,3.4,111.58,117.55,16.0,0,0.0,0.0
1784647713.5302,121.69,4.25,3.5,111.47,117.44,16.0,0,0.0,0.0
1784647714.5307,121.69,4.3,3.5,111.42,117.39,16.0,0,0.0,0.0
1784647715.5314,121.69,4.31,3.5,111.41,117.38,16.0,0,0.0,0.0
1784647716.5316,121.69,4.3,3.5,111.42,117.39,16.0,0,0.0,0.0
1784647717.532,121.69,4.24,3.5,111.48,117.45,16.0,0,0.0,0.0
1784647718.5324,121.69,4.18,3.4,111.54,117.51,16.0,0,0.0,0.0
1784647719.5327,121.69,4.23,3.5,111.49,117.46,16.0,0,0.0,0.0
1784647720.533,121.69,4.27,3.5,111.45,117.42,16.0,0,0.0,0.0
1784647721.5333,121.69,4.26,3.5,111.46,117.43,16.0,0,0.0,0.0
1784647722.5336,121.69,4.26,3.5,111.46,117.43,16.0,0,0.0,0.0
1784647723.5339,121.69,4.17,3.4,111.55,117.52,16.0,0,0.0,0.0
1784647724.5343,121.69,4.24,3.5,111.49,117.45,16.0,0,0.0,0.0
1784647725.5347,121.69,4.27,3.5,111.45,117.42,16.0,0,0.0,0.0
1784647726.5351,121.69,4.23,3.5,111.49,117.46,16.0,0,0.0,0.0
1784647727.5354,121.69,4.23,3.5,111.49,117.46,16.0,0,0.0,0.0
1784647728.5359,121.69,4.28,3.5,111.44,117.41,16.0,0,0.0,0.0
1784647729.5363,121.69,4.33,3.6,111.39,117.36,16.0,0,0.0,0.0
1784647730.5372,121.69,4.31,3.5,111.41,117.38,16.0,0,0.0,0.0
1784647731.5374,121.69,4.31,3.5,111.41,117.38,16.0,0,0.0,0.0
1784647732.5378,121.69,4.26,3.5,111.46,117.43,16.0,0,0.0,0.0
1784647733.5387,121.69,4.28,3.5,111.44,117.41,16.0,0,0.0,0.0
