timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784620650.4581,1466621952,6878683136,700530688,672398400,,,0,0
1784620651.4586,1533534208,6922944512,701853696,672771904,,,0,0
1784620652.4597,1553256448,6922944512,701890560,672793616,,,0,0
1784620653.46,1538637824,6936944640,702308352,673192544,,,0,0
1784620654.4603,1500332032,6936948736,702291968,673198288,,,0,0
1784620655.4606,1558839296,6936948736,702345216,673204072,,,0,0
1784620656.4611,1540972544,6936956928,702570496,673329048,,,0,0
1784620657.4615,1517654016,6892720128,701894656,673132680,,,0,0
1784620658.4622,1561952256,6936956928,702308352,673175296,,,0,0
1784620659.4626,1544044544,6936956928,702447616,673245696,,,0,0
1784620660.463,1503354880,6892724224,701440000,672947816,,,0,0
1784620661.4633,1564958720,6936965120,702337024,673184768,,,0,0
1784620662.4637,1548455936,6936965120,702599168,673275096,,,0,0
1784620663.464,1534447616,6924185600,702484480,673210232,,,0,0
1784620664.4643,1566011392,6929747968,702263296,673116440,,,0,0
1784620665.4645,1554788352,6936965120,702304256,673212512,,,0,0
1784620666.4657,1537544192,6936977408,702242816,673195704,,,0,0
1784620667.4672,1557499904,6936977408,702345216,673223200,,,0,0
1784620668.4676,1564913664,6936977408,702754816,673257904,,,0,0
1784620669.4679,1540374528,6936977408,702283776,673212048,,,0,0
1784620670.4682,1517371392,6936981504,701861888,673223376,,,0,0
1784620671.4685,1558036480,6936989696,702611456,673317744,,,0,0
1784620672.4688,1540390912,6936989696,702283776,673274416,,,0,0
1784620673.4692,1502052352,6892752896,702189568,673264968,,,0,0
1784620674.4695,1562312704,6936989696,702562304,673291664,,,0,0
1784620675.4699,1546690560,6936993792,702238720,673227856,,,0,0
1784620676.4707,1508356096,6892765184,701440000,672995488,,,0,0
1784620677.4711,1566011392,6926372864,701980672,672931640,,,0,0
1784620678.4715,1552838656,6937001984,702320640,673289592,,,0,0
1784620679.4719,1537040384,6937001984,702210048,673238216,,,0,0
1784620680.4723,1565908992,6937001984,702296064,673254192,,,0,0
1784620681.4727,1556975616,6937014272,702689280,673447544,,,0,0
1784620682.473,1541103616,6937014272,702599168,673279112,,,0,0
1784620683.4732,1506799616,6892777472,702087168,673128976,,,0,0
1784620684.4736,1562820608,6937014272,702320640,673244032,,,0,0
1784620685.4745,1548091392,6937018368,702304256,673246576,,,0,0
1784620686.4749,1532207104,6937022464,702230528,673232736,,,0,0
1784620687.4753,1566023680,6931787776,702144512,673134024,,,0,0
1784620688.4755,1556647936,6937022464,702308352,673293880,,,0,0
1784620689.4759,1541742592,6937022464,702652416,673401160,,,0,0
1784620690.4763,1503211520,6892785664,701808640,673118128,,,0,0
1784620691.4776,1564585984,6937026560,702320640,673323808,,,0,0
1784620692.4782,1548943360,6937030656,702283776,673340296,,,0,0
1784620693.4786,1508720640,6892793856,701448192,673069960,,,0,0
1784620694.4793,1565900800,6926786560,702009344,673002528,,,0,0
1784620695.4796,1553928192,6937030656,702386176,673375456,,,0,0
1784620696.4798,1538822144,6937030656,702656512,673369200,,,0,0
1784620697.4801,1500336128,6937047040,702341120,673348784,,,0,0
1784620698.4812,1556660224,6937042944,702271488,673299608,,,0,0
1784620699.4817,1541935104,6937042944,702255104,673331176,,,0,0
1784620700.4819,1503731712,6892806144,702054400,673177656,,,0,0
1784620701.4825,1563578368,6937047040,702328832,673316624,,,0,0
1784620702.483,1547972608,6937051136,702283776,673319616,,,0,0
1784620703.4833,1543954432,6936985600,702668800,673367680,,,0,0
1784620704.4843,1566015488,6930968576,702128128,673130624,,,0,0
1784620705.4847,1557147648,6937051136,702730240,673543288,,,0,0
1784620706.4851,1539264512,6937051136,702349312,673359912,,,0,0
1784620707.4855,1517379584,6937063424,702078976,673366960,,,0,0
1784620708.486,1564626944,6937059328,702775296,673400240,,,0,0
