timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784656750.9256,44105,0,0,0,0,0
1784656751.4259,56306,0,0,0,0,0
1784656751.9261,102187,0,0,0,0,0
1784656752.4263,49471,0,0,0,0,0
1784656752.927,41632,0,0,0,0,0
1784656753.4274,40986,0,0,0,0,0
1784656753.9278,49868,0,0,0,0,0
1784656754.4281,41059,0,0,0,0,0
1784656754.9291,40538,0,0,0,0,0
1784656755.4294,40549,0,0,0,0,0
1784656755.9296,49959,0,0,0,0,0
1784656756.4299,40491,0,0,0,0,0
1784656756.9302,40434,0,0,0,0,0
1784656757.4305,40241,0,0,0,0,0
1784656757.9308,47805,0,0,0,0,0
1784656758.4311,40380,0,0,0,0,0
1784656758.9313,40386,0,0,0,0,0
1784656759.4321,40326,0,0,0,0,0
1784656759.9323,49787,0,0,0,0,0
1784656760.4326,40330,0,0,0,0,0
1784656760.9334,40195,0,0,0,0,0
1784656761.4336,40015,0,0,0,0,0
1784656761.9339,49454,0,0,0,0,0
1784656762.4342,40016,0,0,0,0,0
1784656762.9344,40014,0,0,0,0,0
1784656763.4347,40005,0,0,0,0,0
1784656763.935,49464,0,0,0,0,0
1784656764.4352,40006,0,0,0,0,0
1784656764.9354,40013,0,0,0,0,0
1784656765.4357,40014,0,0,0,0,0
1784656765.9359,48525,0,0,0,0,0
1784656766.4363,38686,0,0,0,0,0
1784656766.937,39973,0,0,0,0,0
1784656767.4374,40000,0,0,0,0,0
1784656767.9376,49451,0,0,0,0,0
1784656768.4379,40016,0,0,0,0,0
1784656768.9384,40006,0,0,0,0,0
1784656769.4388,40189,0,0,0,0,0
1784656769.9391,65343,0,0,0,0,0
1784656770.4395,91131,0,0,0,0,0
1784656770.9397,47397,0,0,0,0,0
1784656771.44,40882,0,0,0,0,0
1784656771.9408,40694,0,0,0,0,0
1784656772.4411,49696,0,0,0,0,0
1784656772.9414,41013,0,0,0,0,0
1784656773.4418,40528,0,0,0,0,0
1784656773.9421,40504,0,0,0,0,0
1784656774.4423,49910,0,0,0,0,0
1784656774.9425,39501,0,0,0,0,0
1784656775.4433,39058,0,0,0,0,0
1784656775.9441,40363,0,0,0,0,0
1784656776.4443,49818,0,0,0,0,0
1784656776.9447,40360,0,0,0,0,0
1784656777.4454,40332,0,0,0,0,0
1784656777.9456,42166,0,0,0,0,0
1784656778.4458,47947,0,0,0,0,0
1784656778.9462,40027,0,0,0,0,0
1784656779.4469,39974,0,0,0,0,0
1784656779.9472,49085,0,0,0,0,0
1784656780.4476,40366,0,0,0,0,0
1784656780.9479,40007,0,0,0,0,0
1784656781.4485,39979,0,0,0,0,0
1784656781.9487,49450,0,0,0,0,0
1784656782.4491,40005,0,0,0,0,0
1784656782.9494,39994,0,0,0,0,0
1784656783.4496,40022,0,0,0,0,0
1784656783.9499,48553,0,0,0,0,0
1784656784.4502,38680,0,0,0,0,0
1784656784.9505,40056,0,0,0,0,0
1784656785.4508,41465,0,0,0,0,0
1784656785.951,49357,0,0,0,0,0
1784656786.4514,40104,0,0,0,0,0
1784656786.9519,39992,0,0,0,0,0
1784656787.4527,39965,0,0,0,0,0
1784656787.9531,130928,0,0,0,0,0
1784656788.4538,68334,0,0,0,0,0
1784656788.9541,47748,0,0,0,0,0
1784656789.4545,43498,0,0,0,0,0
1784656789.9548,40680,0,0,0,0,0
1784656790.4556,40611,0,0,0,0,0
1784656790.9559,45203,0,0,0,0,0
1784656791.4562,45330,0,0,0,0,0
1784656791.9565,39579,0,0,0,0,0
1784656792.4572,39111,0,0,0,0,0
1784656792.9575,40494,0,0,0,0,0
1784656793.4578,49807,0,0,0,0,0
1784656793.9582,40402,0,0,0,0,0
1784656794.459,40341,0,0,0,0,0
1784656794.9594,40352,0,0,0,0,0
1784656795.4596,49837,0,0,0,0,0
1784656795.96,40349,0,0,0,0,0
1784656796.4609,40105,0,0,0,0,0
1784656796.9613,43257,0,0,0,0,0
1784656797.4615,46284,0,0,0,0,0
1784656797.9619,40026,0,0,0,0,0
1784656798.4621,40009,0,0,0,0,0
1784656798.9624,49106,0,0,0,0,0
1784656799.4627,40417,0,0,0,0,0
1784656799.9629,38348,0,0,0,0,0
1784656800.4634,39433,0,0,0,0,0
1784656800.9636,49107,0,0,0,0,0
1784656801.4638,40421,0,0,0,0,0
1784656801.9644,39996,0,0,0,0,0
1784656802.465,39995,0,0,0,0,0
1784656802.9654,49480,0,0,0,0,0
1784656803.4657,40016,0,0,0,0,0
1784656803.9665,39992,0,0,0,0,0
1784656804.4672,39995,0,0,0,0,0
1784656804.9674,49460,0,0,0,0,0
1784656805.4676,113557,0,0,0,0,0
1784656805.9679,42271,0,0,0,0,0
1784656806.4682,41115,0,0,0,0,0
1784656806.9685,50287,0,0,0,0,0
1784656807.4687,40552,0,0,0,0,0
1784656807.9691,38580,0,0,0,0,0
1784656808.4695,40586,0,0,0,0,0
1784656808.9699,50030,0,0,0,0,0
1784656809.4701,40523,0,0,0,0,0
1784656809.9709,40422,0,0,0,0,0
1784656810.4717,40395,0,0,0,0,0
1784656810.9719,49878,0,0,0,0,0
1784656811.4722,40419,0,0,0,0,0
