timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784630232.1021,68004,0,0,0,0,0
1784630232.6025,91714,0,0,0,0,0
1784630233.1039,96794,0,0,0,0,0
1784630233.6043,53566,0,0,0,0,0
1784630234.1046,73236,0,0,0,0,0
1784630234.605,76650,0,0,0,0,0
1784630235.1054,63054,0,0,0,0,0
1784630235.6059,69434,0,0,0,0,0
1784630236.1062,76271,0,0,0,0,0
1784630236.6065,49982,0,0,0,0,0
1784630237.1069,64333,0,0,0,0,0
1784630237.6078,70933,0,0,0,0,0
1784630238.1081,76679,0,0,0,0,0
1784630238.6089,57924,0,0,0,0,0
1784630239.1093,76269,0,0,0,0,0
1784630239.6096,49956,0,0,0,0,0
1784630240.1099,76928,0,0,0,0,0
1784630240.6102,67394,0,0,0,0,0
1784630241.1105,67577,0,0,0,0,0
1784630241.6108,76466,0,0,0,0,0
1784630242.1112,57788,0,0,0,0,0
1784630242.6116,56053,0,0,0,0,0
1784630243.112,70823,0,0,0,0,0
1784630243.6124,76682,0,0,0,0,0
1784630244.1131,56103,0,0,0,0,0
1784630244.6134,76476,0,0,0,0,0
1784630245.1138,75805,0,0,0,0,0
1784630245.6142,49880,0,0,0,0,0
1784630246.115,58895,0,0,0,0,0
1784630246.6154,78276,0,0,0,0,0
1784630247.1157,67256,0,0,0,0,0
1784630247.6166,67270,0,0,0,0,0
1784630248.1169,76256,0,0,0,0,0
1784630248.6172,49960,0,0,0,0,0
1784630249.1176,75606,0,0,0,0,0
1784630249.6179,59688,0,0,0,0,0
1784630250.1183,76596,0,0,0,0,0
1784630250.6187,67007,0,0,0,0,0
1784630251.1191,67230,0,0,0,0,0
1784630251.6195,49920,0,0,0,0,0
1784630252.1199,74781,0,0,0,0,0
1784630252.6204,76390,0,0,0,0,0
1784630253.1212,58607,0,0,0,0,0
1784630253.6215,76414,0,0,0,0,0
1784630254.1218,75854,0,0,0,0,0
1784630254.6222,50343,0,0,0,0,0
1784630255.1228,65773,0,0,0,0,0
1784630255.6239,69315,0,0,0,0,0
1784630256.1244,76563,0,0,0,0,0
1784630256.6248,67065,0,0,0,0,0
1784630257.1259,67194,0,0,0,0,0
1784630257.6265,49852,0,0,0,0,0
1784630258.127,76879,0,0,0,0,0
1784630258.6273,67363,0,0,0,0,0
1784630259.1277,67499,0,0,0,0,0
1784630259.6281,75470,0,0,0,0,0
