timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784650419.6329,1.0,0.2,0.8,0.0,3354.0,42.3,,0.82,1.05,1.08,2212,3,0
1784650420.6338,3.5,1.4,2.1,0.0,3354.0,43.0,,0.84,1.05,1.08,3132,2,0
1784650421.635,6.3,4.4,1.9,0.1,3354.0,44.3,,0.84,1.05,1.08,3557,3,0
1784650422.636,6.5,5.1,1.4,0.0,3354.0,44.9,,0.84,1.05,1.08,3577,3,0
1784650423.6369,6.6,4.4,2.2,0.0,3354.0,45.1,,0.84,1.05,1.08,3917,2,0
1784650424.6379,5.8,3.2,2.6,0.0,3354.0,44.9,,0.84,1.05,1.08,3769,2,0
1784650425.6388,6.5,4.9,1.6,0.0,3354.0,44.7,,0.85,1.05,1.07,3704,2,0
1784650426.6397,6.4,4.6,1.6,0.2,3354.0,44.9,,0.85,1.05,1.07,3684,2,0
1784650427.6405,6.4,5.0,1.4,0.0,3354.0,45.2,,0.85,1.05,1.07,3563,2,0
1784650428.6414,6.1,4.0,2.1,0.0,3354.0,44.4,,0.85,1.05,1.07,3846,3,0
1784650429.6423,6.3,3.9,2.5,0.0,3354.0,45.1,,0.85,1.05,1.07,3840,2,0
1784650430.6432,6.3,5.0,1.4,0.0,3354.0,45.5,,0.86,1.05,1.07,3653,2,0
1784650431.644,6.6,4.8,1.7,0.1,3354.0,45.7,,0.86,1.05,1.07,3773,3,0
1784650432.6451,6.2,3.5,2.7,0.0,3354.0,44.9,,0.86,1.05,1.07,3902,2,0
1784650433.646,6.4,4.9,1.5,0.0,3354.0,45.6,,0.86,1.05,1.07,3653,2,0
1784650434.647,6.3,4.8,1.5,0.0,3354.0,45.9,,0.86,1.05,1.07,3595,2,0
1784650435.6482,6.5,4.2,2.4,0.0,3354.0,46.2,,1.04,1.08,1.08,3711,3,0
1784650436.6491,6.0,3.8,2.2,0.1,3354.0,45.0,,1.04,1.08,1.08,3892,2,0
1784650437.6499,6.3,4.9,1.5,0.0,3354.0,45.7,,1.04,1.08,1.08,3597,2,0
1784650438.6508,6.4,4.1,2.3,0.0,3354.0,46.0,,1.04,1.08,1.08,3683,2,0
1784650439.6517,6.2,4.3,1.9,0.0,3354.0,46.0,,1.04,1.08,1.08,3983,2,0
1784650440.6527,6.4,4.8,1.6,0.0,3354.0,45.6,,1.19,1.12,1.1,3614,2,0
1784650441.6535,6.6,3.9,2.7,0.1,3354.0,46.0,,1.19,1.12,1.1,3625,2,0
1784650442.6545,6.3,5.0,1.3,0.0,3354.0,46.3,,1.19,1.12,1.1,3603,2,0
1784650443.6553,6.4,4.1,2.3,0.0,3354.0,45.5,,1.19,1.12,1.1,3956,3,0
1784650444.6561,6.3,4.7,1.6,0.0,3354.0,46.1,,1.19,1.12,1.1,3405,2,0
1784650445.657,6.3,4.9,1.4,0.0,3354.0,46.5,,1.18,1.11,1.09,3513,3,0
1784650446.6578,6.5,4.7,1.8,0.1,3354.0,46.8,,1.18,1.11,1.09,3637,2,0
1784650447.6587,6.2,4.0,2.2,0.0,3354.0,45.3,,1.18,1.11,1.09,3803,3,0
1784650448.6595,6.5,4.9,1.7,0.0,3354.0,45.9,,1.18,1.11,1.09,3593,2,0
1784650449.6608,6.4,4.1,2.3,0.0,3354.0,46.3,,1.18,1.11,1.09,3576,2,0
1784650450.6615,6.4,4.6,1.9,0.0,3354.0,46.5,,1.24,1.13,1.1,3688,1,0
1784650451.6624,6.2,4.3,1.8,0.1,3354.0,46.3,,1.24,1.13,1.1,3664,2,0
1784650452.6633,6.4,3.9,2.6,0.0,3354.0,46.3,,1.24,1.13,1.1,3676,2,0
1784650453.6642,6.1,4.9,1.2,0.0,3354.0,46.5,,1.24,1.13,1.1,3310,4,0
1784650454.6654,6.3,4.1,2.3,0.0,3354.0,46.2,,1.24,1.13,1.1,4009,2,0
1784650455.6667,6.4,4.6,1.8,0.0,3354.0,46.3,,1.22,1.13,1.1,3571,2,0
1784650456.6675,6.6,4.8,1.7,0.1,3354.0,47.0,,1.22,1.13,1.1,3654,3,0
1784650457.6683,6.3,4.5,1.9,0.0,3354.0,47.1,,1.22,1.13,1.1,3633,2,0
1784650458.6692,6.2,4.0,2.2,0.0,3354.0,46.6,,1.22,1.13,1.1,3744,2,0
1784650459.6703,6.4,4.8,1.6,0.0,3354.0,46.7,,1.22,1.13,1.1,3760,2,0
1784650460.6712,6.4,3.7,2.7,0.0,3354.0,46.8,,1.21,1.12,1.1,3608,3,0
1784650461.6721,6.4,4.9,1.4,0.1,3354.0,47.0,,1.21,1.12,1.1,3624,3,0
1784650462.673,6.1,4.0,2.2,0.0,3354.0,45.5,,1.21,1.12,1.1,3884,3,0
1784650463.6739,6.5,3.8,2.7,0.0,3354.0,46.1,,1.21,1.12,1.1,3686,2,0
1784650464.6749,6.4,4.9,1.5,0.0,3354.0,46.3,,1.21,1.12,1.1,3449,3,0
1784650465.6758,6.4,4.9,1.5,0.0,3354.0,46.5,,1.19,1.12,1.1,3769,2,0
1784650466.6767,6.2,3.4,2.8,0.0,3354.0,45.8,,1.19,1.12,1.1,3879,3,0
1784650467.6776,6.4,4.8,1.5,0.1,3354.0,46.6,,1.19,1.12,1.1,3670,2,0
1784650468.6785,6.4,4.7,1.7,0.0,3354.0,46.9,,1.19,1.12,1.1,3656,4,0
1784650469.6794,6.6,4.0,2.6,0.0,3354.0,47.1,,1.19,1.12,1.1,3727,3,0
1784650470.6804,5.8,3.9,2.0,0.0,3354.0,46.4,,1.25,1.14,1.1,3777,2,0
1784650471.6813,6.6,4.8,1.8,0.0,3354.0,47.1,,1.25,1.14,1.1,3729,4,0
1784650472.6822,6.4,3.9,2.5,0.1,3354.0,47.2,,1.25,1.14,1.1,3668,2,0
1784650473.6832,6.3,4.3,2.0,0.0,3354.0,47.5,,1.25,1.14,1.1,3833,3,0
1784650474.6842,6.4,4.8,1.6,0.0,3354.0,47.4,,1.25,1.14,1.1,3714,2,0
1784650475.6856,6.4,4.1,2.3,0.0,3354.0,47.4,,1.23,1.13,1.1,3593,2,0
1784650476.6864,6.3,4.9,1.4,0.0,3354.0,47.5,,1.23,1.13,1.1,3478,2,0
1784650477.6875,6.4,4.1,2.2,0.1,3354.0,47.4,,1.23,1.13,1.1,3883,2,0
1784650478.6882,6.4,4.7,1.7,0.0,3354.0,47.5,,1.23,1.13,1.1,3499,3,0
1784650479.6894,6.3,5.0,1.3,0.0,3354.0,47.6,,1.23,1.13,1.1,3453,3,0
1784650480.6901,6.4,4.5,1.9,0.0,3354.0,47.8,,1.3,1.15,1.11,3556,2,0
1784650481.691,5.9,4.1,1.8,0.0,3354.0,47.6,,1.3,1.15,1.11,3756,2,0
1784650482.692,6.6,4.8,1.7,0.1,3354.0,47.7,,1.3,1.15,1.11,3595,2,0
1784650483.6929,6.4,4.1,2.4,0.0,3354.0,47.6,,1.3,1.15,1.11,3685,2,0
1784650484.6938,6.1,4.4,1.8,0.0,3354.0,47.7,,1.3,1.15,1.11,3591,3,0
1784650485.6946,6.4,4.4,2.0,0.0,3354.0,47.6,,1.27,1.15,1.1,3786,3,0
1784650486.6955,6.4,4.0,2.5,0.0,3354.0,47.6,,1.27,1.15,1.1,3576,3,0
1784650487.6963,6.3,4.9,1.3,0.1,3354.0,47.7,,1.27,1.15,1.1,3474,3,0
1784650488.6972,6.3,4.2,2.2,0.0,3354.0,47.1,,1.27,1.15,1.1,3985,2,0
1784650489.698,6.5,4.2,2.3,0.0,3354.0,46.6,,1.27,1.15,1.1,3642,2,0
1784650490.6988,6.4,5.0,1.5,0.0,3354.0,47.1,,1.25,1.14,1.1,3769,2,0
1784650491.6996,6.5,4.8,1.7,0.0,3354.0,47.1,,1.25,1.14,1.1,3587,2,0
1784650492.7005,6.3,3.5,2.7,0.1,3354.0,46.6,,1.25,1.14,1.1,3731,4,0
1784650493.7014,6.2,4.3,1.9,0.0,3354.0,46.9,,1.25,1.14,1.1,3464,4,0
1784650494.7024,6.3,4.9,1.5,0.0,3354.0,47.2,,1.25,1.14,1.1,3581,3,0
1784650495.7033,6.2,4.6,1.6,0.0,3354.0,47.2,,1.23,1.14,1.1,3515,2,0
1784650496.7043,6.1,4.1,2.0,0.0,3354.0,46.7,,1.23,1.14,1.1,3776,2,0
1784650497.7053,6.5,4.8,1.6,0.1,3354.0,47.3,,1.23,1.14,1.1,3664,2,0
1784650498.7068,6.2,4.6,1.6,0.0,3354.0,47.6,,1.23,1.14,1.1,3534,2,0
1784650499.7076,6.4,4.1,2.3,0.0,3354.0,47.5,,1.23,1.14,1.1,3941,4,0
1784650500.7085,6.4,4.6,1.9,0.0,3354.0,46.6,,1.37,1.17,1.11,3644,2,0
1784650501.7094,6.4,5.0,1.4,0.0,3354.0,47.1,,1.37,1.17,1.11,3559,3,0
1784650502.7103,6.5,4.8,1.7,0.1,3354.0,47.3,,1.37,1.17,1.11,3742,2,0
1784650503.7116,6.1,3.2,2.9,0.0,3354.0,47.0,,1.37,1.17,1.11,3726,2,0
1784650504.7127,6.2,4.4,1.8,0.0,3354.0,47.1,,1.37,1.17,1.11,3542,2,0
1784650505.7136,6.7,4.9,1.7,0.1,3354.0,47.3,,1.34,1.17,1.11,3754,2,0
1784650506.7144,6.4,4.3,2.1,0.0,3354.0,47.3,,1.34,1.17,1.11,3655,2,0
1784650507.7154,6.4,3.6,2.8,0.0,3354.0,47.3,,1.34,1.17,1.11,3927,2,0
1784650508.7167,6.3,4.9,1.4,0.0,3354.0,47.4,,1.34,1.17,1.11,3574,2,0
1784650509.7174,6.4,4.7,1.8,0.0,3354.0,47.4,,1.34,1.17,1.11,3690,2,0
1784650510.7182,6.2,5.0,1.2,0.1,3354.0,47.7,,1.31,1.17,1.11,3449,3,0
1784650511.719,6.4,4.1,2.3,0.0,3354.0,47.3,,1.31,1.17,1.11,4002,2,0
1784650512.7199,6.3,4.6,1.7,0.0,3354.0,47.5,,1.31,1.17,1.11,3409,2,0
1784650513.7207,6.5,5.0,1.5,0.0,3354.0,47.5,,1.31,1.17,1.11,3662,2,0
1784650514.722,6.4,3.6,2.8,0.0,3354.0,47.4,,1.31,1.17,1.11,3907,2,0
1784650515.7228,6.5,4.3,2.1,0.1,3354.0,47.6,,1.29,1.16,1.11,3520,2,0
1784650516.7241,6.5,5.0,1.5,0.0,3354.0,47.6,,1.29,1.16,1.11,3594,2,0
1784650517.725,6.4,4.5,2.0,0.0,3354.0,47.5,,1.29,1.16,1.11,3599,2,0
1784650518.7263,5.9,3.7,2.3,0.0,3354.0,47.2,,1.29,1.16,1.11,3674,2,0
1784650519.7271,6.6,5.1,1.6,0.0,3354.0,47.4,,1.29,1.16,1.11,3674,3,0
1784650520.7279,6.5,4.3,2.1,0.1,3354.0,47.5,,1.35,1.18,1.11,3613,2,0
1784650521.7287,6.3,4.4,1.9,0.0,3354.0,47.5,,1.35,1.18,1.11,3545,2,0
1784650522.7295,6.2,4.0,2.3,0.0,3354.0,46.4,,1.35,1.18,1.11,3855,2,0
1784650523.7307,6.5,4.5,2.0,0.1,3354.0,47.4,,1.35,1.18,1.11,3617,2,0
1784650524.7315,6.4,4.5,1.9,0.0,3354.0,47.8,,1.35,1.18,1.11,3581,2,0
1784650525.7323,6.5,4.9,1.5,0.1,3354.0,48.2,,1.32,1.17,1.11,3707,3,0
1784650526.7332,6.3,3.6,2.7,0.0,3354.0,46.8,,1.32,1.17,1.11,3909,3,0
1784650527.734,6.2,4.5,1.8,0.0,3354.0,47.5,,1.32,1.17,1.11,3530,2,0
1784650528.7349,6.5,5.0,1.5,0.0,3354.0,47.9,,1.32,1.17,1.11,3758,3,0
1784650529.7357,6.4,4.1,2.3,0.0,3354.0,47.8,,1.32,1.17,1.11,3926,2,0
1784650530.7365,6.4,3.8,2.6,0.0,3354.0,47.8,,1.53,1.22,1.13,3385,3,0
1784650531.7374,6.4,4.9,1.5,0.1,3354.0,48.0,,1.53,1.22,1.13,3562,2,0
1784650532.7382,6.4,4.7,1.8,0.0,3354.0,48.0,,1.53,1.22,1.13,3752,2,0
1784650533.739,6.2,3.9,2.3,0.0,3354.0,48.0,,1.53,1.22,1.13,3641,1,0
1784650534.7398,5.6,3.1,2.6,0.0,3354.0,46.9,,1.53,1.22,1.13,3361,2,0
1784650535.7407,6.3,4.9,1.5,0.0,3354.0,47.2,,1.57,1.23,1.13,3574,2,0
1784650536.7415,6.5,4.8,1.6,0.1,3354.0,47.4,,1.57,1.23,1.13,3678,2,0
