timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784642745.01,121.69,4.6,3.8,111.14,117.09,16.0,0,0.0,0.0
1784642746.0104,121.69,4.72,3.9,111.01,116.97,16.0,0,0.0,0.0
1784642747.0108,121.69,5.02,4.1,110.72,116.67,16.0,0,0.0,0.0
1784642748.0111,121.69,5.25,4.3,110.48,116.44,16.0,0,0.0,0.0
1784642749.0113,121.69,5.53,4.5,110.21,116.16,16.0,0,0.0,0.0
1784642750.0117,121.69,5.95,4.9,109.79,115.74,16.0,0,0.0,0.0
1784642751.012,121.69,6.29,5.2,109.45,115.4,16.0,0,0.0,0.0
1784642752.0124,121.69,6.54,5.4,109.2,115.15,16.0,0,0.0,0.0
1784642753.0127,121.69,6.79,5.6,108.95,114.9,16.0,0,0.0,0.0
1784642754.0134,121.69,7.09,5.8,108.64,114.6,16.0,0,0.0,0.0
1784642755.0137,121.69,7.37,6.1,108.36,114.32,16.0,0,0.0,0.0
1784642756.014,121.69,7.63,6.3,108.11,114.06,16.0,0,0.0,0.0
1784642757.0143,121.69,7.89,6.5,107.85,113.8,16.0,0,0.0,0.0
1784642758.0146,121.69,8.2,6.7,107.53,113.49,16.0,0,0.0,0.0
1784642759.0149,121.69,12.44,10.2,103.29,109.25,16.0,0,0.0,0.0
1784642760.0152,121.69,12.41,10.2,103.32,109.28,16.0,0,0.0,0.0
1784642761.0158,121.69,12.32,10.1,103.41,109.37,16.0,0,0.0,0.0
1784642762.0162,121.69,4.45,3.7,111.28,117.24,16.0,0,0.0,0.0
1784642763.0165,121.69,4.64,3.8,111.09,117.05,16.0,0,0.0,0.0
1784642764.0168,121.69,4.93,4.1,110.79,116.76,16.0,0,0.0,0.0
1784642765.0171,121.69,5.26,4.3,110.47,116.43,16.0,0,0.0,0.0
1784642766.0174,121.69,5.58,4.6,110.14,116.11,16.0,0,0.0,0.0
1784642767.0178,121.69,5.81,4.8,109.9,115.88,16.0,0,0.0,0.0
1784642768.0181,121.69,6.1,5.0,109.61,115.59,16.0,0,0.0,0.0
1784642769.0184,121.69,6.38,5.2,109.32,115.31,16.0,0,0.0,0.0
1784642770.0188,121.69,6.7,5.5,109.0,114.99,16.0,0,0.0,0.0
1784642771.0191,121.69,6.99,5.7,108.69,114.7,16.0,0,0.0,0.0
1784642772.0193,121.69,7.2,5.9,108.53,114.49,16.0,0,0.0,0.0
1784642773.0195,121.69,7.47,6.1,108.27,114.22,16.0,0,0.0,0.0
1784642774.0197,121.69,7.77,6.4,107.9,113.92,16.0,0,0.0,0.0
1784642775.0201,121.69,12.08,9.9,103.66,109.61,16.0,0,0.0,0.0
1784642776.0203,121.69,12.08,9.9,103.66,109.61,16.0,0,0.0,0.0
1784642777.0207,121.69,12.03,9.9,103.71,109.66,16.0,0,0.0,0.0
1784642778.0209,121.69,4.37,3.6,111.36,117.32,16.0,0,0.0,0.0
1784642779.0213,121.69,4.25,3.5,111.48,117.44,16.0,0,0.0,0.0
1784642780.0216,121.69,4.65,3.8,111.09,117.04,16.0,0,0.0,0.0
1784642781.0219,121.69,5.01,4.1,110.73,116.68,16.0,0,0.0,0.0
1784642782.0222,121.69,5.26,4.3,110.47,116.43,16.0,0,0.0,0.0
1784642783.0225,121.69,5.6,4.6,110.25,116.09,16.0,0,0.0,0.0
1784642784.0227,121.69,5.8,4.8,110.05,115.89,16.0,0,0.0,0.0
1784642785.0231,121.69,6.05,5.0,109.69,115.64,16.0,0,0.0,0.0
1784642786.0233,121.69,6.26,5.1,109.47,115.43,16.0,0,0.0,0.0
1784642787.0236,121.69,6.57,5.4,109.16,115.12,16.0,0,0.0,0.0
1784642788.0246,121.69,6.88,5.7,108.85,114.81,16.0,0,0.0,0.0
1784642789.0249,121.69,7.22,5.9,108.51,114.47,16.0,0,0.0,0.0
1784642790.0259,121.69,7.54,6.2,108.19,114.15,16.0,0,0.0,0.0
1784642791.0262,121.69,7.86,6.5,107.87,113.83,16.0,0,0.0,0.0
1784642792.0266,121.69,11.91,9.8,103.94,109.78,16.0,0,0.0,0.0
1784642793.027,121.69,11.91,9.8,103.94,109.78,16.0,0,0.0,0.0
1784642794.0274,121.69,8.41,6.9,107.32,113.28,16.0,0,0.0,0.0
1784642795.0278,121.69,4.63,3.8,111.1,117.06,16.0,0,0.0,0.0
1784642796.028,121.69,4.98,4.1,110.75,116.71,16.0,0,0.0,0.0
1784642797.0282,121.69,5.25,4.3,110.48,116.44,16.0,0,0.0,0.0
1784642798.0287,121.69,5.52,4.5,110.21,116.17,16.0,0,0.0,0.0
1784642799.029,121.69,5.76,4.7,110.09,115.93,16.0,0,0.0,0.0
1784642800.0297,121.69,6.0,4.9,109.85,115.69,16.0,0,0.0,0.0
1784642801.0301,121.69,6.29,5.2,109.44,115.4,16.0,0,0.0,0.0
1784642802.0303,121.69,6.57,5.4,109.16,115.12,16.0,0,0.0,0.0
1784642803.0306,121.69,6.84,5.6,109.02,114.85,16.0,0,0.0,0.0
1784642804.0313,121.69,7.16,5.9,108.69,114.53,16.0,0,0.0,0.0
1784642805.0316,121.69,7.36,6.0,108.37,114.33,16.0,0,0.0,0.0
1784642806.0326,121.69,7.59,6.2,108.14,114.1,16.0,0,0.0,0.0
1784642807.033,121.69,7.89,6.5,107.85,113.8,16.0,0,0.0,0.0
1784642808.0333,121.69,12.11,10.0,103.63,109.58,16.0,0,0.0,0.0
1784642809.0337,121.69,12.15,10.0,103.58,109.54,16.0,0,0.0,0.0
1784642810.0339,121.69,12.17,10.0,103.56,109.52,16.0,0,0.0,0.0
1784642811.0343,121.69,4.85,4.0,110.88,116.84,16.0,0,0.0,0.0
1784642812.0346,121.69,4.53,3.7,111.2,117.16,16.0,0,0.0,0.0
1784642813.0356,121.69,4.87,4.0,110.87,116.82,16.0,0,0.0,0.0
1784642814.0365,121.69,5.07,4.2,110.66,116.62,16.0,0,0.0,0.0
1784642815.0368,121.69,5.38,4.4,110.36,116.31,16.0,0,0.0,0.0
1784642816.0378,121.69,5.64,4.6,110.09,116.05,16.0,0,0.0,0.0
1784642817.0382,121.69,5.93,4.9,109.8,115.76,16.0,0,0.0,0.0
1784642818.0392,121.69,6.15,5.1,109.58,115.54,16.0,0,0.0,0.0
1784642819.0394,121.69,6.42,5.3,109.32,115.27,16.0,0,0.0,0.0
1784642820.0397,121.69,6.75,5.5,108.99,114.94,16.0,0,0.0,0.0
1784642821.0401,121.69,7.06,5.8,108.67,114.63,16.0,0,0.0,0.0
1784642822.0404,121.69,7.32,6.0,108.42,114.37,16.0,0,0.0,0.0
1784642823.0414,121.69,7.57,6.2,108.17,114.12,16.0,0,0.0,0.0
1784642824.0417,121.69,7.8,6.4,107.93,113.89,16.0,0,0.0,0.0
1784642825.042,121.69,11.92,9.8,103.81,109.77,16.0,0,0.0,0.0
1784642826.0423,121.69,11.91,9.8,103.82,109.78,16.0,0,0.0,0.0
1784642827.0427,121.69,8.07,6.6,107.66,113.62,16.0,0,0.0,0.0
1784642828.0432,121.69,4.55,3.7,111.18,117.14,16.0,0,0.0,0.0
1784642829.0436,121.69,4.93,4.1,110.8,116.76,16.0,0,0.0,0.0
1784642830.0439,121.69,5.21,4.3,110.53,116.48,16.0,0,0.0,0.0
1784642831.0443,121.69,5.45,4.5,110.28,116.24,16.0,0,0.0,0.0
1784642832.0446,121.69,5.69,4.7,110.04,116.0,16.0,0,0.0,0.0
1784642833.0449,121.69,5.95,4.9,109.79,115.74,16.0,0,0.0,0.0
1784642834.0452,121.69,6.21,5.1,109.52,115.48,16.0,0,0.0,0.0
1784642835.0454,121.69,6.44,5.3,109.29,115.25,16.0,0,0.0,0.0
1784642836.0459,121.69,6.73,5.5,109.0,114.96,16.0,0,0.0,0.0
1784642837.0462,121.69,7.05,5.8,108.68,114.64,16.0,0,0.0,0.0
1784642838.0468,121.69,7.37,6.1,108.36,114.32,16.0,0,0.0,0.0
1784642839.0472,121.69,7.68,6.3,108.05,114.01,16.0,0,0.0,0.0
1784642840.0476,121.69,8.0,6.6,107.74,113.69,16.0,0,0.0,0.0
1784642841.0479,121.69,12.09,9.9,103.64,109.6,16.0,0,0.0,0.0
1784642842.0485,121.69,12.09,9.9,103.64,109.6,16.0,0,0.0,0.0
1784642843.0488,121.69,8.4,6.9,107.34,113.29,16.0,0,0.0,0.0
1784642844.0491,121.69,4.96,4.1,110.78,116.73,16.0,0,0.0,0.0
1784642845.0493,121.69,5.24,4.3,110.5,116.45,16.0,0,0.0,0.0
1784642846.0496,121.69,5.5,4.5,110.24,116.19,16.0,0,0.0,0.0
1784642847.0498,121.69,5.75,4.7,109.98,115.94,16.0,0,0.0,0.0
1784642848.0506,121.69,6.05,5.0,109.69,115.64,16.0,0,0.0,0.0
1784642849.0509,121.69,6.35,5.2,109.39,115.34,16.0,0,0.0,0.0
1784642850.0513,121.69,6.56,5.4,109.17,115.13,16.0,0,0.0,0.0
1784642851.0517,121.69,6.88,5.7,108.85,114.81,16.0,0,0.0,0.0
1784642852.0523,121.69,7.14,5.9,108.59,114.55,16.0,0,0.0,0.0
1784642853.0526,121.69,7.41,6.1,108.32,114.28,16.0,0,0.0,0.0
1784642854.0533,121.69,7.74,6.4,107.99,113.95,16.0,0,0.0,0.0
1784642855.0535,121.69,8.05,6.6,107.69,113.64,16.0,0,0.0,0.0
1784642856.0539,121.69,8.28,6.8,107.45,113.41,16.0,0,0.0,0.0
1784642857.0542,121.69,12.29,10.1,103.44,109.4,16.0,0,0.0,0.0
1784642858.0545,121.69,12.31,10.1,103.43,109.38,16.0,0,0.0,0.0
1784642859.0549,121.69,12.25,10.1,103.49,109.44,16.0,0,0.0,0.0
1784642860.0552,121.69,4.97,4.1,110.76,116.72,16.0,0,0.0,0.0
1784642861.0555,121.69,5.26,4.3,110.47,116.43,16.0,0,0.0,0.0
1784642862.0559,121.69,5.48,4.5,110.25,116.21,16.0,0,0.0,0.0
1784642863.0561,121.69,5.81,4.8,109.92,115.88,16.0,0,0.0,0.0
1784642864.0564,121.69,6.12,5.0,109.61,115.57,16.0,0,0.0,0.0
1784642865.0568,121.69,6.38,5.2,109.35,115.31,16.0,0,0.0,0.0
