timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784628074.7105,44266,0,0,0,0,0
1784628075.2109,55482,0,0,0,0,0
1784628075.7112,213129,0,0,0,0,0
1784628076.2115,39985,0,0,0,0,0
1784628076.7124,40460,0,0,0,0,0
1784628077.2131,36860,0,0,0,0,0
1784628077.7136,33481,0,0,0,0,0
1784628078.2144,37137,0,0,0,0,0
1784628078.7151,33677,0,0,0,0,0
1784628079.2161,36858,0,0,0,0,0
1784628079.7166,39967,0,0,0,0,0
1784628080.2173,30534,0,0,0,0,0
1784628080.7178,37793,0,0,0,0,0
1784628081.2186,31844,0,0,0,0,0
1784628081.7194,38638,0,0,0,0,0
1784628082.2207,30513,0,0,0,0,0
1784628082.7215,39617,0,0,0,0,0
1784628083.2227,30856,0,0,0,0,0
1784628083.7233,30549,0,0,0,0,0
1784628084.224,39004,0,0,0,0,0
1784628084.725,29284,0,0,0,0,0
1784628085.226,39582,0,0,0,0,0
1784628085.7266,32374,0,0,0,0,0
1784628086.2273,49038,0,0,0,0,0
1784628086.7285,66829,0,0,0,0,0
1784628087.2288,76056,0,0,0,0,0
1784628087.7291,66839,0,0,0,0,0
1784628088.23,66716,0,0,0,0,0
1784628088.7306,239617,0,0,0,0,0
1784628089.231,40066,0,0,0,0,0
1784628089.7315,39533,0,0,0,0,0
1784628090.2321,37804,0,0,0,0,0
1784628090.7326,30413,0,0,0,0,0
1784628091.2342,30484,0,0,0,0,0
1784628091.7348,39964,0,0,0,0,0
1784628092.2358,30494,0,0,0,0,0
1784628092.7365,39603,0,0,0,0,0
1784628093.2373,30853,0,0,0,0,0
1784628093.7378,33645,0,0,0,0,0
1784628094.2384,34540,0,0,0,0,0
1784628094.7393,30507,0,0,0,0,0
1784628095.24,39939,0,0,0,0,0
1784628095.7409,30487,0,0,0,0,0
1784628096.2419,39684,0,0,0,0,0
1784628096.7427,30730,0,0,0,0,0
1784628097.2433,35417,0,0,0,0,0
1784628097.7436,32808,0,0,0,0,0
1784628098.2442,30511,0,0,0,0,0
1784628098.7446,39961,0,0,0,0,0
1784628099.245,48955,0,0,0,0,0
1784628099.7454,58230,0,0,0,0,0
1784628100.2459,75312,0,0,0,0,0
1784628100.7463,75983,0,0,0,0,0
1784628101.2468,57509,0,0,0,0,0
1784628101.7472,220286,0,0,0,0,0
1784628102.2477,59413,0,0,0,0,0
1784628102.7484,39936,0,0,0,0,0
1784628103.2491,37351,0,0,0,0,0
1784628103.7498,30562,0,0,0,0,0
1784628104.2507,36599,0,0,0,0,0
1784628104.7528,33809,0,0,0,0,0
1784628105.2536,31130,0,0,0,0,0
1784628105.7541,39399,0,0,0,0,0
1784628106.2546,30550,0,0,0,0,0
1784628106.7553,38703,0,0,0,0,0
1784628107.2566,29564,0,0,0,0,0
1784628107.7573,32006,0,0,0,0,0
1784628108.2582,38495,0,0,0,0,0
1784628108.7596,30491,0,0,0,0,0
1784628109.2606,39611,0,0,0,0,0
1784628109.7614,30920,0,0,0,0,0
1784628110.2619,38974,0,0,0,0,0
1784628110.7629,29312,0,0,0,0,0
1784628111.2634,39641,0,0,0,0,0
1784628111.7643,30884,0,0,0,0,0
1784628112.2646,45675,0,0,0,0,0
1784628112.7653,70345,0,0,0,0,0
1784628113.2655,76009,0,0,0,0,0
1784628113.7658,66940,0,0,0,0,0
1784628114.2661,66640,0,0,0,0,0
1784628114.7664,94818,0,0,0,0,0
1784628115.2666,185080,0,0,0,0,0
1784628115.767,40001,0,0,0,0,0
1784628116.268,47229,0,0,0,0,0
1784628116.7689,30111,0,0,0,0,0
1784628117.2699,32819,0,0,0,0,0
1784628117.7707,37778,0,0,0,0,0
1784628118.2713,31645,0,0,0,0,0
1784628118.7717,39040,0,0,0,0,0
1784628119.2731,30558,0,0,0,0,0
1784628119.7735,34563,0,0,0,0,0
1784628120.2743,33839,0,0,0,0,0
1784628120.7753,30591,0,0,0,0,0
1784628121.2759,36467,0,0,0,0,0
1784628121.7765,34174,0,0,0,0,0
1784628122.2778,30565,0,0,0,0,0
1784628122.7785,39662,0,0,0,0,0
1784628123.2792,30986,0,0,0,0,0
1784628123.7799,29028,0,0,0,0,0
1784628124.2804,38995,0,0,0,0,0
1784628124.7809,30995,0,0,0,0,0
1784628125.2813,38752,0,0,0,0,0
1784628125.7815,50420,0,0,0,0,0
1784628126.2822,57586,0,0,0,0,0
1784628126.783,75989,0,0,0,0,0
1784628127.2832,76055,0,0,0,0,0
1784628127.784,57519,0,0,0,0,0
1784628128.2844,226712,0,0,0,0,0
1784628128.785,61672,0,0,0,0,0
1784628129.2856,29905,0,0,0,0,0
1784628129.7864,29705,0,0,0,0,0
1784628130.2873,39336,0,0,0,0,0
1784628130.7882,30457,0,0,0,0,0
1784628131.2891,38968,0,0,0,0,0
1784628131.7899,31358,0,0,0,0,0
1784628132.2908,30452,0,0,0,0,0
1784628132.7914,38987,0,0,0,0,0
1784628133.292,29145,0,0,0,0,0
1784628133.7926,39509,0,0,0,0,0
1784628134.2934,30828,0,0,0,0,0
1784628134.7942,30454,0,0,0,0,0
1784628135.295,39872,0,0,0,0,0
1784628135.796,30452,0,0,0,0,0
1784628136.2968,39669,0,0,0,0,0
1784628136.7975,30527,0,0,0,0,0
1784628137.2985,34605,0,0,0,0,0
1784628137.7992,33636,0,0,0,0,0
1784628138.2996,39880,0,0,0,0,0
1784628138.8,48908,0,0,0,0,0
1784628139.3003,68013,0,0,0,0,0
1784628139.8007,65500,0,0,0,0,0
1784628140.3011,75955,0,0,0,0,0
1784628140.8014,67787,0,0,0,0,0
1784628141.3022,229267,0,0,0,0,0
1784628141.8025,40101,0,0,0,0,0
1784628142.303,49043,0,0,0,0,0
1784628142.8038,29611,0,0,0,0,0
1784628143.3045,38710,0,0,0,0,0
1784628143.8053,30538,0,0,0,0,0
1784628144.3059,39997,0,0,0,0,0
1784628144.8065,30549,0,0,0,0,0
1784628145.3073,40009,0,0,0,0,0
1784628145.8084,32000,0,0,0,0,0
1784628146.3091,39293,0,0,0,0,0
1784628146.8102,33644,0,0,0,0,0
1784628147.3108,35378,0,0,0,0,0
1784628147.8113,34913,0,0,0,0,0
1784628148.3119,35687,0,0,0,0,0
1784628148.8126,39616,0,0,0,0,0
1784628149.3134,30933,0,0,0,0,0
1784628149.8141,39992,0,0,0,0,0
1784628150.3151,36235,0,0,0,0,0
1784628150.8159,32059,0,0,0,0,0
1784628151.3163,40003,0,0,0,0,0
1784628151.8166,49055,0,0,0,0,0
1784628152.3169,75582,0,0,0,0,0
1784628152.8176,57973,0,0,0,0,0
1784628153.3179,76035,0,0,0,0,0
1784628153.8181,68677,0,0,0,0,0
1784628154.3184,215649,0,0,0,0,0
1784628154.8187,53047,0,0,0,0,0
1784628155.3194,48912,0,0,0,0,0
1784628155.8201,37396,0,0,0,0,0
1784628156.3206,30869,0,0,0,0,0
1784628156.8213,37991,0,0,0,0,0
1784628157.322,32504,0,0,0,0,0
1784628157.8225,39630,0,0,0,0,0
1784628158.3235,30910,0,0,0,0,0
1784628158.8243,39631,0,0,0,0,0
1784628159.325,30902,0,0,0,0,0
1784628159.8257,37743,0,0,0,0,0
1784628160.3264,30555,0,0,0,0,0
1784628160.8271,39985,0,0,0,0,0
1784628161.3279,30552,0,0,0,0,0
1784628161.8285,39655,0,0,0,0,0
1784628162.329,30918,0,0,0,0,0
1784628162.8294,39654,0,0,0,0,0
1784628163.3301,29991,0,0,0,0,0
1784628163.8305,34585,0,0,0,0,0
1784628164.3312,34661,0,0,0,0,0
1784628164.8316,40016,0,0,0,0,0
1784628165.3318,49028,0,0,0,0,0
1784628165.8321,75570,0,0,0,0,0
1784628166.3323,58040,0,0,0,0,0
1784628166.8326,76021,0,0,0,0,0
1784628167.3329,66731,0,0,0,0,0
1784628167.8338,230404,0,0,0,0,0
1784628168.3346,48916,0,0,0,0,0
1784628168.8351,37701,0,0,0,0,0
1784628169.3356,30626,0,0,0,0,0
1784628169.8369,30516,0,0,0,0,0
1784628170.3385,39531,0,0,0,0,0
1784628170.8394,30909,0,0,0,0,0
1784628171.3401,39997,0,0,0,0,0
1784628171.841,32243,0,0,0,0,0
1784628172.3418,38260,0,0,0,0,0
1784628172.8427,37436,0,0,0,0,0
1784628173.3451,30820,0,0,0,0,0
1784628173.8459,39525,0,0,0,0,0
1784628174.3473,30870,0,0,0,0,0
1784628174.8479,39987,0,0,0,0,0
1784628175.3485,30573,0,0,0,0,0
1784628175.8491,39980,0,0,0,0,0
1784628176.3497,31419,0,0,0,0,0
1784628176.8504,36889,0,0,0,0,0
1784628177.3513,31775,0,0,0,0,0
1784628177.852,47741,0,0,0,0,0
1784628178.3524,76004,0,0,0,0,0
1784628178.8528,66634,0,0,0,0,0
1784628179.3536,66893,0,0,0,0,0
1784628179.8539,76024,0,0,0,0,0
1784628180.3543,66657,0,0,0,0,0
1784628180.8548,204103,0,0,0,0,0
1784628181.3558,48924,0,0,0,0,0
1784628181.8563,30482,0,0,0,0,0
1784628182.357,38997,0,0,0,0,0
1784628182.8577,29942,0,0,0,0,0
1784628183.3582,39194,0,0,0,0,0
1784628183.8594,30477,0,0,0,0,0
1784628184.3599,39904,0,0,0,0,0
1784628184.861,30461,0,0,0,0,0
1784628185.3616,39567,0,0,0,0,0
1784628185.8622,29929,0,0,0,0,0
1784628186.363,33304,0,0,0,0,0
1784628186.8635,35813,0,0,0,0,0
1784628187.3642,31493,0,0,0,0,0
1784628187.8647,38913,0,0,0,0,0
1784628188.3652,34220,0,0,0,0,0
1784628188.8657,36205,0,0,0,0,0
1784628189.3663,31394,0,0,0,0,0
1784628189.8669,36808,0,0,0,0,0
1784628190.3681,30451,0,0,0,0,0
1784628190.8683,39939,0,0,0,0,0
1784628191.3688,48924,0,0,0,0,0
1784628191.869,76035,0,0,0,0,0
1784628192.3698,57499,0,0,0,0,0
1784628192.8702,75994,0,0,0,0,0
1784628193.3704,76051,0,0,0,0,0
1784628193.871,107811,0,0,0,0,0
1784628194.3716,153387,0,0,0,0,0
1784628194.873,48894,0,0,0,0,0
