timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784644859.2115,44285,0,0,0,0,0
1784644859.712,55426,0,0,0,0,0
1784644860.2122,339072,0,0,0,0,0
1784644860.7137,48898,0,0,0,0,0
1784644861.2143,31372,0,0,0,0,0
1784644861.715,39254,0,0,0,0,0
1784644862.2156,30600,0,0,0,0,0
1784644862.7166,37522,0,0,0,0,0
1784644863.2173,33113,0,0,0,0,0
1784644863.718,29699,0,0,0,0,0
1784644864.2186,38705,0,0,0,0,0
1784644864.7194,30588,0,0,0,0,0
1784644865.22,38769,0,0,0,0,0
1784644865.7208,31860,0,0,0,0,0
1784644866.2214,30600,0,0,0,0,0
1784644866.7222,32119,0,0,0,0,0
1784644867.2228,37575,0,0,0,0,0
1784644867.724,29228,0,0,0,0,0
1784644868.2246,30515,0,0,0,0,0
1784644868.7256,30477,0,0,0,0,0
1784644869.226,174474,0,0,0,0,0
1784644869.7268,271766,0,0,0,0,0
1784644870.2274,270941,0,0,0,0,0
1784644870.7286,48584,0,0,0,0,0
1784644871.2293,39125,0,0,0,0,0
1784644871.7303,29272,0,0,0,0,0
1784644872.2311,33032,0,0,0,0,0
1784644872.7318,37523,0,0,0,0,0
1784644873.2326,30723,0,0,0,0,0
1784644873.7336,34245,0,0,0,0,0
1784644874.2345,36409,0,0,0,0,0
1784644874.7354,37177,0,0,0,0,0
1784644875.2359,31315,0,0,0,0,0
1784644875.7372,30594,0,0,0,0,0
1784644876.238,39700,0,0,0,0,0
1784644876.7393,30955,0,0,0,0,0
1784644877.2401,40023,0,0,0,0,0
1784644877.7413,30532,0,0,0,0,0
1784644878.242,39111,0,0,0,0,0
1784644878.7425,286130,0,0,0,0,0
1784644879.2429,319806,0,0,0,0,0
1784644879.7438,110058,0,0,0,0,0
1784644880.2446,39610,0,0,0,0,0
1784644880.7459,30569,0,0,0,0,0
1784644881.2467,40019,0,0,0,0,0
1784644881.7476,39651,0,0,0,0,0
1784644882.2483,30862,0,0,0,0,0
1784644882.7493,37552,0,0,0,0,0
1784644883.2503,30949,0,0,0,0,0
1784644883.7511,39932,0,0,0,0,0
