timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784710743.049,2554,0,0,0,0,0
1784710743.5496,18257,0,0,0,0,0
1784710744.05,49695,0,0,0,0,0
1784710744.5503,11866,0,0,0,0,0
1784710745.0507,6555,0,0,0,0,0
1784710745.551,48197,0,0,0,0,0
1784710746.0519,10338,0,0,0,0,0
1784710746.5522,13770,0,0,0,0,0
1784710747.053,42043,0,0,0,0,0
1784710747.5533,9745,0,0,0,0,0
1784710748.0535,45961,0,0,0,0,0
1784710748.5544,11939,0,0,0,0,0
1784710749.055,7752,0,0,0,0,0
1784710749.5553,48148,0,0,0,0,0
1784710750.0564,11881,0,0,0,0,0
1784710750.5567,6654,0,0,0,0,0
1784710751.0571,49389,0,0,0,0,0
1784710751.5574,11791,0,0,0,0,0
1784710752.0582,6536,0,0,0,0,0
1784710752.5591,49023,0,0,0,0,0
1784710753.0595,11212,0,0,0,0,0
1784710753.5598,31608,0,0,0,0,0
1784710754.06,23654,0,0,0,0,0
1784710754.5608,8087,0,0,0,0,0
1784710755.0614,46528,0,0,0,0,0
1784710755.562,11762,0,0,0,0,0
1784710756.0623,7467,0,0,0,0,0
1784710756.5629,48639,0,0,0,0,0
1784710757.0636,11806,0,0,0,0,0
1784710757.564,6621,0,0,0,0,0
1784710758.0647,49332,0,0,0,0,0
1784710758.565,11796,0,0,0,0,0
1784710759.0654,6953,0,0,0,0,0
1784710759.5657,48832,0,0,0,0,0
1784710760.0667,11957,0,0,0,0,0
1784710760.567,44964,0,0,0,0,0
1784710761.0682,11848,0,0,0,0,0
1784710761.5693,8797,0,0,0,0,0
1784710762.0696,47394,0,0,0,0,0
1784710762.5699,11788,0,0,0,0,0
1784710763.0703,5650,0,0,0,0,0
1784710763.5711,46803,0,0,0,0,0
1784710764.072,11818,0,0,0,0,0
1784710764.5723,6311,0,0,0,0,0
1784710765.073,49192,0,0,0,0,0
1784710765.5737,11761,0,0,0,0,0
1784710766.0744,6455,0,0,0,0,0
1784710766.5748,49206,0,0,0,0,0
1784710767.0758,11674,0,0,0,0,0
1784710767.5768,5928,0,0,0,0,0
1784710768.0776,48943,0,0,0,0,0
1784710768.5779,10689,0,0,0,0,0
1784710769.0791,45086,0,0,0,0,0
1784710769.5801,11750,0,0,0,0,0
1784710770.0804,8717,0,0,0,0,0
1784710770.5808,47201,0,0,0,0,0
1784710771.0813,10823,0,0,0,0,0
1784710771.5817,5467,0,0,0,0,0
1784710772.082,49065,0,0,0,0,0
1784710772.5826,11732,0,0,0,0,0
1784710773.0834,6879,0,0,0,0,0
1784710773.584,49220,0,0,0,0,0
1784710774.0848,11750,0,0,0,0,0
1784710774.5854,11674,0,0,0,0,0
1784710775.0862,44123,0,0,0,0,0
1784710775.5866,10014,0,0,0,0,0
1784710776.0869,45512,0,0,0,0,0
1784710776.5871,11774,0,0,0,0,0
1784710777.0876,8368,0,0,0,0,0
1784710777.5882,47357,0,0,0,0,0
1784710778.0887,11735,0,0,0,0,0
1784710778.5889,6665,0,0,0,0,0
1784710779.0892,46489,0,0,0,0,0
1784710779.5895,11723,0,0,0,0,0
1784710780.0902,6729,0,0,0,0,0
1784710780.5905,49304,0,0,0,0,0
1784710781.0908,11776,0,0,0,0,0
1784710781.5915,6931,0,0,0,0,0
1784710782.0923,48843,0,0,0,0,0
1784710782.5929,10392,0,0,0,0,0
1784710783.0938,45453,0,0,0,0,0
1784710783.5943,11837,0,0,0,0,0
1784710784.0953,8300,0,0,0,0,0
1784710784.5963,47617,0,0,0,0,0
1784710785.0974,11749,0,0,0,0,0
1784710785.5977,6296,0,0,0,0,0
1784710786.098,49226,0,0,0,0,0
1784710786.5983,11689,0,0,0,0,0
