timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784742596.8573,121.69,3.64,3.0,111.05,118.05,16.0,0,0.0,0.0
1784742597.8577,121.69,4.11,3.4,110.58,117.58,16.0,0,0.0,0.0
1784742598.8582,121.69,4.11,3.4,110.58,117.58,16.0,0,0.0,0.0
1784742599.8588,121.69,4.11,3.4,110.58,117.58,16.0,0,0.0,0.0
1784742600.8595,121.69,4.11,3.4,110.57,117.58,16.0,0,0.0,0.0
1784742601.8602,121.69,4.11,3.4,110.58,117.58,16.0,0,0.0,0.0
1784742602.8607,121.69,4.11,3.4,110.58,117.58,16.0,0,0.0,0.0
1784742603.8615,121.69,4.37,3.6,110.32,117.32,16.0,0,0.0,0.0
1784742604.8622,121.69,4.37,3.6,110.32,117.32,16.0,0,0.0,0.0
1784742605.8626,121.69,3.99,3.3,110.7,117.7,16.0,0,0.0,0.0
1784742606.863,121.69,4.26,3.5,110.43,117.43,16.0,0,0.0,0.0
1784742607.8637,121.69,4.25,3.5,110.44,117.44,16.0,0,0.0,0.0
1784742608.8644,121.69,4.02,3.3,110.67,117.67,16.0,0,0.0,0.0
1784742609.8649,121.69,4.42,3.6,110.27,117.27,16.0,0,0.0,0.0
1784742610.8663,121.69,4.41,3.6,110.28,117.28,16.0,0,0.0,0.0
1784742611.8667,121.69,4.05,3.3,110.63,117.64,16.0,0,0.0,0.0
1784742612.8674,121.69,4.32,3.6,110.37,117.37,16.0,0,0.0,0.0
1784742613.8678,121.69,4.3,3.5,110.39,117.39,16.0,0,0.0,0.0
1784742614.8682,121.69,4.38,3.6,110.31,117.31,16.0,0,0.0,0.0
1784742615.8686,121.69,4.37,3.6,110.32,117.32,16.0,0,0.0,0.0
1784742616.8694,121.69,4.36,3.6,110.33,117.33,16.0,0,0.0,0.0
1784742617.8701,121.69,4.3,3.5,110.39,117.39,16.0,0,0.0,0.0
1784742618.8707,121.69,4.29,3.5,110.4,117.4,16.0,0,0.0,0.0
1784742619.8713,121.69,4.28,3.5,110.41,117.41,16.0,0,0.0,0.0
1784742620.8723,121.69,4.25,3.5,110.44,117.44,16.0,0,0.0,0.0
1784742621.8727,121.69,4.25,3.5,110.44,117.44,16.0,0,0.0,0.0
1784742622.8731,121.69,4.24,3.5,110.45,117.45,16.0,0,0.0,0.0
1784742623.8738,121.69,4.23,3.5,110.46,117.46,16.0,0,0.0,0.0
1784742624.8742,121.69,4.23,3.5,110.46,117.46,16.0,0,0.0,0.0
1784742625.8745,121.69,3.95,3.2,110.74,117.74,16.0,0,0.0,0.0
1784742626.8751,121.69,4.21,3.5,110.48,117.48,16.0,0,0.0,0.0
1784742627.8757,121.69,4.2,3.5,110.49,117.49,16.0,0,0.0,0.0
1784742628.8766,121.69,3.95,3.2,110.74,117.74,16.0,0,0.0,0.0
1784742629.8773,121.69,4.45,3.7,110.24,117.24,16.0,0,0.0,0.0
1784742630.8777,121.69,4.45,3.7,110.24,117.24,16.0,0,0.0,0.0
1784742631.8785,121.69,4.1,3.4,110.59,117.59,16.0,0,0.0,0.0
1784742632.8789,121.69,4.47,3.7,110.22,117.22,16.0,0,0.0,0.0
1784742633.8796,121.69,4.47,3.7,110.21,117.22,16.0,0,0.0,0.0
1784742634.88,121.69,4.21,3.5,110.48,117.48,16.0,0,0.0,0.0
1784742635.8806,121.69,4.4,3.6,110.29,117.29,16.0,0,0.0,0.0
1784742636.8813,121.69,4.39,3.6,110.3,117.3,16.0,0,0.0,0.0
1784742637.8819,121.69,4.56,3.7,110.13,117.13,16.0,0,0.0,0.0
1784742638.8826,121.69,4.54,3.7,110.15,117.15,16.0,0,0.0,0.0
1784742639.8838,121.69,4.53,3.7,110.16,117.16,16.0,0,0.0,0.0
1784742640.8842,121.69,4.44,3.6,110.25,117.25,16.0,0,0.0,0.0
1784742641.8847,121.69,4.41,3.6,110.27,117.28,16.0,0,0.0,0.0
1784742642.8853,121.69,4.39,3.6,110.3,117.3,16.0,0,0.0,0.0
1784742643.8857,121.69,4.37,3.6,110.32,117.32,16.0,0,0.0,0.0
1784742644.8862,121.69,4.36,3.6,110.33,117.33,16.0,0,0.0,0.0
1784742645.8866,121.69,4.06,3.3,110.62,117.63,16.0,0,0.0,0.0
1784742646.8871,121.69,4.32,3.6,110.36,117.37,16.0,0,0.0,0.0
1784742647.8877,121.69,4.3,3.5,110.38,117.39,16.0,0,0.0,0.0
1784742648.8882,121.69,4.03,3.3,110.66,117.66,16.0,0,0.0,0.0
1784742649.8885,121.69,4.53,3.7,110.16,117.16,16.0,0,0.0,0.0
1784742650.8895,121.69,4.52,3.7,110.17,117.17,16.0,0,0.0,0.0
1784742651.8902,121.69,4.12,3.4,110.57,117.57,16.0,0,0.0,0.0
1784742652.8907,121.69,4.39,3.6,110.3,117.3,16.0,0,0.0,0.0
1784742653.8914,121.69,4.37,3.6,110.32,117.32,16.0,0,0.0,0.0
1784742654.8918,121.69,4.16,3.4,110.53,117.53,16.0,0,0.0,0.0
1784742655.8924,121.69,4.41,3.6,110.28,117.28,16.0,0,0.0,0.0
1784742656.8928,121.69,4.41,3.6,110.28,117.28,16.0,0,0.0,0.0
1784742657.8934,121.69,4.51,3.7,110.18,117.18,16.0,0,0.0,0.0
1784742658.8944,121.69,4.49,3.7,110.2,117.2,16.0,0,0.0,0.0
1784742659.8948,121.69,4.47,3.7,110.22,117.22,16.0,0,0.0,0.0
1784742660.8955,121.69,4.42,3.6,110.27,117.27,16.0,0,0.0,0.0
1784742661.8962,121.69,4.4,3.6,110.28,117.29,16.0,0,0.0,0.0
1784742662.8966,121.69,4.39,3.6,110.3,117.3,16.0,0,0.0,0.0
1784742663.8973,121.69,4.37,3.6,110.32,117.32,16.0,0,0.0,0.0
1784742664.8977,121.69,4.35,3.6,110.33,117.34,16.0,0,0.0,0.0
1784742665.8983,121.69,4.28,3.5,110.41,117.41,16.0,0,0.0,0.0
1784742666.8992,121.69,4.39,3.6,110.3,117.3,16.0,0,0.0,0.0
1784742667.8999,121.69,4.37,3.6,110.32,117.32,16.0,0,0.0,0.0
1784742668.9005,121.69,4.06,3.3,110.63,117.63,16.0,0,0.0,0.0
