timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784743509.3057,2371,0,0,0,0,0
1784743509.8066,18479,0,0,0,0,0
1784743510.307,99894,0,0,0,0,0
1784743510.8073,13215,0,0,0,0,0
1784743511.3077,2241,0,0,0,0,0
1784743511.808,2240,0,0,0,0,0
1784743512.3084,2238,0,0,0,0,0
1784743512.8087,18877,0,0,0,0,0
1784743513.3091,94334,0,0,0,0,0
1784743513.8095,2242,0,0,0,0,0
1784743514.3098,2245,0,0,0,0,0
1784743514.8102,1357,0,0,0,0,0
1784743515.3105,929,0,0,0,0,0
1784743515.8108,35470,0,0,0,0,0
1784743516.3112,77724,0,0,0,0,0
1784743516.8116,2242,0,0,0,0,0
1784743517.3119,2244,0,0,0,0,0
1784743517.8123,2236,0,0,0,0,0
1784743518.3127,5539,0,0,0,0,0
1784743518.8136,107542,0,0,0,0,0
1784743519.3139,2240,0,0,0,0,0
1784743519.8146,2243,0,0,0,0,0
1784743520.315,2238,0,0,0,0,0
1784743520.8159,2242,0,0,0,0,0
1784743521.3162,24285,0,0,0,0,0
1784743521.8166,88913,0,0,0,0,0
1784743522.3169,1321,0,0,0,0,0
1784743522.8172,919,0,0,0,0,0
1784743523.3176,2241,0,0,0,0,0
1784743523.818,2334,0,0,0,0,0
1784743524.3183,92451,0,0,0,0,0
1784743524.8187,20650,0,0,0,0,0
1784743525.319,2244,0,0,0,0,0
1784743525.8194,2244,0,0,0,0,0
1784743526.3197,2242,0,0,0,0,0
1784743526.8201,11626,0,0,0,0,0
1784743527.3204,101574,0,0,0,0,0
1784743527.8207,2238,0,0,0,0,0
1784743528.3211,2246,0,0,0,0,0
1784743528.8214,2242,0,0,0,0,0
1784743529.3218,2240,0,0,0,0,0
1784743529.8226,24299,0,0,0,0,0
1784743530.3229,88883,0,0,0,0,0
1784743530.8233,1337,0,0,0,0,0
1784743531.3236,905,0,0,0,0,0
1784743531.824,2242,0,0,0,0,0
1784743532.3243,2236,0,0,0,0,0
1784743532.8247,59182,0,0,0,0,0
1784743533.3258,53948,0,0,0,0,0
1784743533.8267,2246,0,0,0,0,0
1784743534.3276,2234,0,0,0,0,0
