timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784721072.2953,0.6,0.2,0.4,0.0,3354.0,48.5,,0.64,0.86,0.95,1528,3,0
1784721073.2964,3.1,0.7,2.4,0.0,3354.0,49.5,,0.64,0.86,0.95,2312,2,0
1784721074.2973,5.5,3.8,1.8,0.0,3354.0,51.5,,0.83,0.9,0.97,2559,2,0
1784721075.2985,5.5,4.7,0.8,0.0,3354.0,52.4,,0.83,0.9,0.97,2605,2,0
1784721076.2994,5.6,4.8,0.8,0.0,3354.0,52.8,,0.83,0.9,0.97,2526,2,0
1784721077.3004,5.3,4.7,0.7,0.0,3354.0,52.9,,0.83,0.9,0.97,2394,2,0
1784721078.3018,5.6,4.7,0.9,0.1,3354.0,52.9,,0.83,0.9,0.97,2571,2,0
1784721079.3028,5.6,4.9,0.8,0.0,3354.0,52.9,,0.84,0.9,0.97,2581,2,0
1784721080.3037,5.5,4.9,0.6,0.0,3354.0,52.9,,0.84,0.9,0.97,2600,2,0
1784721081.3047,5.6,4.7,0.9,0.0,3354.0,52.9,,0.84,0.9,0.97,2576,2,0
1784721082.3057,5.5,4.8,0.8,0.0,3354.0,53.0,,0.84,0.9,0.97,2603,2,0
1784721083.3066,5.5,4.7,0.8,0.0,3354.0,53.0,,0.84,0.9,0.97,2563,3,0
1784721084.3076,5.5,4.6,0.9,0.0,3354.0,53.0,,0.86,0.9,0.97,2495,3,0
1784721085.3085,5.5,4.8,0.7,0.0,3354.0,53.0,,0.86,0.9,0.97,2442,2,0
1784721086.3094,5.5,4.7,0.8,0.0,3354.0,53.0,,0.86,0.9,0.97,2555,2,0
1784721087.3103,5.5,4.7,0.8,0.0,3354.0,53.0,,0.86,0.9,0.97,2676,2,0
1784721088.3113,5.6,4.7,0.9,0.0,3354.0,53.0,,0.86,0.9,0.97,2612,2,0
1784721089.3122,5.5,4.8,0.8,0.0,3354.0,53.0,,0.87,0.91,0.97,2586,2,0
1784721090.313,5.5,4.6,0.9,0.0,3354.0,53.0,,0.87,0.91,0.97,2645,2,0
1784721091.3139,5.6,4.6,1.0,0.0,3354.0,53.1,,0.87,0.91,0.97,2660,2,0
1784721092.3151,5.4,4.7,0.7,0.0,3354.0,53.1,,0.87,0.91,0.97,2537,3,0
1784721093.3163,5.5,4.7,0.8,0.1,3354.0,53.0,,0.87,0.91,0.97,2455,3,0
1784721094.3175,5.5,4.7,0.9,0.0,3354.0,53.0,,0.88,0.91,0.97,2558,2,0
1784721095.3185,5.6,4.8,0.8,0.0,3354.0,53.0,,0.88,0.91,0.97,2563,2,0
1784721096.3195,5.5,4.8,0.8,0.0,3354.0,52.9,,0.88,0.91,0.97,2537,2,0
1784721097.3205,5.5,4.8,0.7,0.0,3354.0,53.0,,0.88,0.91,0.97,2528,2,0
1784721098.3215,5.5,4.8,0.7,0.0,3354.0,52.9,,0.88,0.91,0.97,2562,2,0
1784721099.3224,5.5,4.7,0.8,0.0,3354.0,53.0,,0.89,0.91,0.97,2547,2,0
1784721100.3235,5.3,4.1,1.2,0.0,3354.0,52.8,,0.89,0.91,0.97,2419,2,0
1784721101.3245,5.5,0.5,5.0,0.0,3354.0,52.3,,0.89,0.91,0.97,2531,2,0
1784721102.3254,5.6,0.5,5.1,0.0,3354.0,52.1,,0.89,0.91,0.97,2682,3,0
1784721103.3264,5.6,5.1,0.5,0.0,3354.0,53.0,,0.89,0.91,0.97,2766,3,0
1784721104.3277,5.6,5.2,0.4,0.0,3354.0,57.4,,0.98,0.93,0.97,2655,3,0
1784721105.3286,5.5,5.2,0.3,0.0,3354.0,59.6,,0.98,0.93,0.97,2587,3,0
1784721106.3294,5.6,5.2,0.4,0.0,3354.0,60.8,,0.98,0.93,0.97,2595,3,0
1784721107.3304,5.4,2.7,2.7,0.0,3354.0,57.8,,0.98,0.93,0.97,2708,3,0
1784721108.3313,5.4,0.2,5.3,0.0,3354.0,55.2,,0.98,0.93,0.97,2474,3,0
1784721109.3323,5.3,0.6,4.7,0.0,3354.0,53.5,,0.98,0.93,0.97,2819,3,0
1784721110.3333,5.6,3.6,2.0,0.0,3354.0,54.8,,0.98,0.93,0.97,2588,2,0
1784721111.3346,5.5,4.7,0.9,0.0,3354.0,55.3,,0.98,0.93,0.97,2698,3,0
1784721112.3356,5.5,4.8,0.7,0.0,3354.0,55.4,,0.98,0.93,0.97,3052,3,0
1784721113.3365,5.5,4.8,0.7,0.0,3354.0,55.4,,0.98,0.93,0.97,2493,2,0
1784721114.3375,5.5,4.8,0.7,0.0,3354.0,55.2,,0.98,0.93,0.97,2569,2,0
1784721115.3384,5.5,4.7,0.8,0.1,3354.0,55.0,,0.98,0.93,0.97,2556,2,0
1784721116.3394,5.3,4.6,0.8,0.0,3354.0,55.0,,0.98,0.93,0.97,2454,2,0
1784721117.3404,5.5,4.6,0.9,0.0,3354.0,54.9,,0.98,0.93,0.97,2552,2,0
1784721118.3414,5.5,4.8,0.7,0.0,3354.0,54.9,,0.98,0.93,0.97,2595,2,0
1784721119.3423,5.6,4.7,0.9,0.0,3354.0,54.8,,0.98,0.93,0.97,2590,2,0
1784721120.3433,5.5,4.6,0.9,0.0,3354.0,54.7,,0.98,0.93,0.97,2635,2,0
1784721121.3443,5.6,4.8,0.8,0.0,3354.0,54.7,,0.98,0.93,0.97,2630,2,0
1784721122.3454,5.5,4.7,0.9,0.0,3354.0,54.7,,0.98,0.93,0.97,2580,2,0
1784721123.3463,5.5,4.6,0.8,0.1,3354.0,54.6,,0.98,0.93,0.97,2485,3,0
1784721124.3472,5.4,4.7,0.7,0.0,3354.0,54.6,,0.98,0.93,0.98,2431,3,0
