timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784740668.9876,0.5,0.1,0.3,0.0,3354.0,48.5,,0.65,0.84,0.91,1431,3,0
1784740669.9884,2.9,1.9,1.1,0.0,3354.0,49.9,,0.65,0.84,0.91,2535,2,0
1784740670.9894,5.4,3.5,1.9,0.0,3354.0,52.2,,0.65,0.84,0.91,3259,2,0
1784740671.9907,5.4,3.3,2.1,0.0,3354.0,53.1,,0.65,0.84,0.91,3206,2,0
1784740672.9917,5.4,3.4,2.0,0.0,3354.0,51.8,,0.65,0.84,0.91,3137,2,0
1784740673.9928,5.4,3.4,2.0,0.1,3354.0,51.8,,0.68,0.84,0.91,3247,2,0
1784740674.9936,5.2,3.3,1.9,0.0,3354.0,51.2,,0.68,0.84,0.91,3271,2,0
1784740675.9947,5.4,3.5,1.9,0.0,3354.0,51.9,,0.68,0.84,0.91,3237,2,0
1784740676.9957,5.4,3.5,2.0,0.0,3354.0,52.4,,0.68,0.84,0.91,3132,2,0
1784740677.9966,5.2,3.4,1.9,0.0,3354.0,52.7,,0.68,0.84,0.91,3104,3,0
1784740678.9982,5.1,3.2,1.9,0.1,3354.0,52.7,,0.71,0.85,0.91,3149,2,0
1784740679.9995,5.4,3.3,2.1,0.0,3354.0,52.8,,0.71,0.85,0.91,3190,2,0
1784740681.0004,5.4,3.3,2.1,0.0,3354.0,53.0,,0.71,0.85,0.91,3170,2,0
1784740682.0014,5.4,3.3,2.1,0.0,3354.0,53.1,,0.71,0.85,0.91,3163,2,0
1784740683.0023,5.3,3.5,1.9,0.0,3354.0,53.2,,0.71,0.85,0.91,3211,2,0
1784740684.0033,5.5,3.5,1.9,0.1,3354.0,53.3,,0.73,0.85,0.92,3134,2,0
1784740685.0042,5.5,3.5,2.0,0.0,3354.0,53.5,,0.73,0.85,0.92,3097,1,0
1784740686.0049,5.3,3.6,1.7,0.0,3354.0,53.7,,0.73,0.85,0.92,3067,2,0
1784740687.0062,5.2,3.4,1.8,0.0,3354.0,53.8,,0.73,0.85,0.92,3079,2,0
1784740688.0074,5.4,3.5,1.9,0.0,3354.0,53.8,,0.73,0.85,0.92,3170,2,0
1784740689.0085,5.2,3.3,2.0,0.0,3354.0,53.7,,0.75,0.85,0.92,3156,3,0
1784740690.0093,5.3,3.3,2.0,0.1,3354.0,52.3,,0.75,0.85,0.92,3102,2,0
1784740691.0104,5.3,3.3,2.0,0.0,3354.0,52.9,,0.75,0.85,0.92,3246,2,0
1784740692.0117,5.5,3.6,1.9,0.0,3354.0,53.1,,0.75,0.85,0.92,3205,2,0
1784740693.0127,5.3,3.5,1.9,0.0,3354.0,52.8,,0.75,0.85,0.92,3303,2,0
1784740694.0136,5.3,3.3,2.0,0.0,3354.0,53.4,,0.77,0.85,0.92,3141,4,0
1784740695.0145,5.3,3.4,1.9,0.1,3354.0,52.2,,0.77,0.85,0.92,3169,2,0
1784740696.0156,5.3,3.4,2.0,0.0,3354.0,52.8,,0.77,0.85,0.92,3209,2,0
1784740697.0164,5.4,3.4,2.0,0.0,3354.0,53.5,,0.77,0.85,0.92,3146,2,0
1784740698.0174,5.3,3.4,1.9,0.0,3354.0,53.9,,0.77,0.85,0.92,3163,2,0
1784740699.0188,5.4,3.4,2.0,0.0,3354.0,52.7,,0.79,0.86,0.92,3139,2,0
1784740700.0197,5.5,3.5,2.0,0.1,3354.0,52.4,,0.79,0.86,0.92,3158,2,0
1784740701.0207,5.3,3.4,2.0,0.0,3354.0,52.5,,0.79,0.86,0.92,3138,2,0
1784740702.0216,5.4,3.4,2.0,0.0,3354.0,52.8,,0.79,0.86,0.92,3137,2,0
1784740703.0225,5.2,3.4,1.9,0.0,3354.0,52.5,,0.79,0.86,0.92,3144,3,0
1784740704.0238,5.3,3.3,2.0,0.0,3354.0,52.7,,0.97,0.89,0.93,3094,3,0
1784740705.0249,5.5,3.6,1.8,0.2,3354.0,53.0,,0.97,0.89,0.93,3253,2,0
1784740706.0259,5.2,3.3,1.9,0.0,3354.0,53.4,,0.97,0.89,0.93,3215,2,0
1784740707.0272,5.2,3.3,1.9,0.0,3354.0,53.4,,0.97,0.89,0.93,3217,2,0
1784740708.0282,5.4,3.3,2.1,0.0,3354.0,53.3,,0.97,0.89,0.93,3190,2,0
1784740709.0293,5.4,3.4,2.0,0.0,3354.0,52.8,,0.97,0.89,0.93,3167,2,0
1784740710.0302,5.3,3.3,2.0,0.1,3354.0,53.2,,0.97,0.89,0.93,3183,2,0
1784740711.0309,5.5,3.6,1.9,0.0,3354.0,53.9,,0.97,0.89,0.93,3245,2,0
1784740712.0324,5.3,3.8,1.6,0.0,3354.0,52.7,,0.97,0.89,0.93,3223,2,0
1784740713.0336,5.4,3.5,1.9,0.0,3354.0,53.1,,0.97,0.89,0.93,3127,2,0
1784740714.0345,5.4,3.6,1.8,0.0,3354.0,53.5,,0.97,0.9,0.93,3194,2,0
1784740715.0353,5.3,3.6,1.8,0.0,3354.0,53.6,,0.97,0.9,0.93,3257,2,0
1784740716.0362,5.3,3.6,1.8,0.0,3354.0,54.6,,0.97,0.9,0.93,3218,2,0
1784740717.037,5.4,3.6,1.8,0.0,3354.0,54.4,,0.97,0.9,0.93,3098,2,0
1784740718.0383,5.4,3.6,1.8,0.0,3354.0,54.2,,0.98,0.9,0.93,3257,2,0
1784740719.0392,5.4,3.5,1.9,0.0,3354.0,54.1,,0.98,0.9,0.93,3273,2,0
1784740720.04,5.3,3.6,1.8,0.0,3354.0,54.7,,0.98,0.9,0.93,3192,3,0
1784740721.0413,5.4,3.3,2.0,0.1,3354.0,53.8,,0.98,0.9,0.93,3146,2,0
1784740722.0422,5.3,3.6,1.7,0.0,3354.0,53.5,,0.98,0.9,0.93,3163,2,0
1784740723.0431,5.5,3.9,1.6,0.0,3354.0,53.8,,0.98,0.9,0.93,3243,2,0
1784740724.044,5.4,3.6,1.8,0.0,3354.0,53.4,,0.98,0.9,0.93,3205,2,0
1784740725.0451,5.4,3.5,1.9,0.0,3354.0,53.2,,0.98,0.9,0.93,3175,2,0
1784740726.0461,5.4,3.5,1.9,0.0,3354.0,53.3,,0.98,0.9,0.93,3257,2,0
1784740727.0469,5.5,3.5,1.9,0.1,3354.0,53.4,,0.98,0.9,0.93,3240,2,0
1784740728.0477,5.3,3.4,1.9,0.0,3354.0,53.7,,0.98,0.9,0.93,3158,2,0
1784740729.0487,5.3,3.4,1.9,0.0,3354.0,53.3,,0.98,0.9,0.93,3145,2,0
1784740730.0497,5.5,3.5,2.0,0.0,3354.0,53.5,,0.98,0.9,0.93,3283,3,0
1784740731.0506,5.5,3.6,1.9,0.0,3354.0,53.5,,0.98,0.9,0.93,3225,2,0
1784740732.0519,5.5,3.6,1.9,0.1,3354.0,53.4,,0.98,0.9,0.93,3223,2,0
1784740733.0532,5.3,3.3,2.0,0.0,3354.0,54.1,,0.98,0.9,0.93,3176,3,0
1784740734.055,5.4,3.6,1.8,0.0,3354.0,53.7,,0.98,0.9,0.93,3188,2,0
1784740735.0562,5.3,3.5,1.8,0.0,3354.0,53.6,,0.98,0.9,0.93,3237,3,0
1784740736.0577,5.4,3.7,1.8,0.0,3354.0,53.8,,0.98,0.9,0.93,3266,2,0
1784740737.0587,5.4,3.6,1.8,0.0,3354.0,54.1,,0.98,0.9,0.93,3255,3,0
1784740738.0597,5.2,3.6,1.6,0.0,3354.0,54.1,,0.98,0.91,0.93,3066,2,0
1784740739.061,5.5,3.7,1.8,0.0,3354.0,55.1,,0.98,0.91,0.93,3308,2,0
1784740740.0622,5.4,3.5,1.9,0.0,3354.0,55.4,,0.98,0.91,0.93,3179,2,0
1784740741.0631,5.4,3.3,2.1,0.0,3354.0,54.3,,0.98,0.91,0.93,3165,2,0
1784740742.0641,5.4,3.6,1.8,0.1,3354.0,53.9,,0.98,0.91,0.93,3211,2,0
1784740743.0653,5.5,3.5,2.0,0.0,3354.0,54.3,,0.99,0.91,0.93,3238,2,0
1784740744.0662,5.1,3.3,1.9,0.0,3354.0,54.1,,0.99,0.91,0.93,3206,2,0
1784740745.0671,5.2,3.4,1.8,0.0,3354.0,53.8,,0.99,0.91,0.93,3098,3,0
1784740746.068,5.2,3.5,1.7,0.0,3354.0,53.9,,0.99,0.91,0.93,3130,2,0
1784740747.0694,5.3,3.5,1.8,0.0,3354.0,54.3,,0.99,0.91,0.93,3291,2,0
1784740748.0705,5.2,3.5,1.8,0.0,3354.0,55.1,,0.99,0.91,0.93,3202,2,0
1784740749.0715,5.4,3.6,1.8,0.0,3354.0,54.5,,0.99,0.91,0.93,3222,2,0
1784740750.0729,5.3,3.7,1.7,0.0,3354.0,54.8,,0.99,0.91,0.93,3201,2,0
1784740751.0738,5.3,3.3,2.0,0.0,3354.0,54.4,,0.99,0.91,0.93,3266,2,0
1784740752.0751,5.4,3.5,1.9,0.1,3354.0,54.8,,0.99,0.91,0.93,3208,2,0
1784740753.0759,5.4,3.6,1.9,0.0,3354.0,54.4,,1.07,0.93,0.94,3185,2,0
1784740754.0769,5.3,3.6,1.7,0.0,3354.0,53.9,,1.07,0.93,0.94,3106,2,0
1784740755.0777,5.4,3.8,1.7,0.0,3354.0,54.4,,1.07,0.93,0.94,3267,2,0
1784740756.0786,5.4,3.6,1.8,0.0,3354.0,54.1,,1.07,0.93,0.94,3191,2,0
1784740757.0799,5.5,3.7,1.8,0.0,3354.0,54.6,,1.07,0.93,0.94,3234,2,0
1784740758.0813,5.5,3.7,1.7,0.1,3354.0,55.4,,1.06,0.93,0.94,3290,2,0
1784740759.0821,5.4,3.7,1.8,0.0,3354.0,54.0,,1.06,0.93,0.94,3177,2,0
1784740760.0836,5.2,3.3,1.9,0.0,3354.0,54.6,,1.06,0.93,0.94,3214,2,0
1784740761.0845,5.3,3.5,1.9,0.0,3354.0,54.4,,1.06,0.93,0.94,3362,2,0
1784740762.0857,5.2,3.4,1.8,0.0,3354.0,54.9,,1.06,0.93,0.94,3121,3,0
1784740763.0866,5.4,3.4,2.0,0.0,3354.0,54.7,,1.06,0.93,0.94,3208,2,0
1784740764.0876,5.4,3.4,2.0,0.0,3354.0,55.0,,1.06,0.93,0.94,3142,2,0
1784740765.0886,5.3,3.4,1.9,0.0,3354.0,54.3,,1.06,0.93,0.94,3204,3,0
1784740766.0894,5.3,3.5,1.8,0.0,3354.0,54.3,,1.06,0.93,0.94,3241,2,0
1784740767.0907,5.5,3.6,1.9,0.0,3354.0,54.2,,1.06,0.93,0.94,3258,2,0
1784740768.0921,5.4,3.5,1.9,0.1,3354.0,54.3,,1.05,0.93,0.94,3156,2,0
1784740769.0933,5.4,3.6,1.8,0.0,3354.0,54.3,,1.05,0.93,0.94,3157,2,0
1784740770.0942,5.4,3.5,1.9,0.0,3354.0,54.5,,1.05,0.93,0.94,3189,2,0
1784740771.0955,5.2,3.6,1.6,0.0,3354.0,54.2,,1.05,0.93,0.94,3137,2,0
1784740772.0968,5.4,3.4,2.0,0.0,3354.0,55.4,,1.05,0.93,0.94,3277,2,0
1784740773.0982,5.4,3.7,1.7,0.0,3354.0,55.9,,1.13,0.95,0.95,3243,2,0
1784740774.0991,5.5,3.7,1.8,0.1,3354.0,55.0,,1.13,0.95,0.95,3206,2,0
1784740775.1003,5.2,3.6,1.6,0.0,3354.0,54.4,,1.13,0.95,0.95,3218,2,0
1784740776.1017,5.5,3.6,1.9,0.0,3354.0,55.3,,1.13,0.95,0.95,3278,2,0
1784740777.1026,5.4,3.9,1.5,0.0,3354.0,55.5,,1.13,0.95,0.95,3227,2,0
1784740778.1036,5.3,3.4,1.9,0.0,3354.0,54.9,,1.2,0.97,0.95,3204,2,0
1784740779.1045,5.3,3.5,1.8,0.0,3354.0,55.5,,1.2,0.97,0.95,3178,4,0
1784740780.1056,5.3,3.7,1.6,0.1,3354.0,55.0,,1.2,0.97,0.95,3193,2,0
1784740781.1066,5.5,3.5,2.0,0.0,3354.0,55.9,,1.2,0.97,0.95,3202,2,0
1784740782.1076,5.4,3.5,1.9,0.0,3354.0,56.0,,1.2,0.97,0.95,3142,2,0
1784740783.1084,5.3,3.4,1.9,0.0,3354.0,55.0,,1.18,0.97,0.95,3247,2,0
1784740784.1093,5.2,3.4,1.8,0.0,3354.0,55.9,,1.18,0.97,0.95,3309,2,0
1784740785.1102,5.5,3.5,1.9,0.1,3354.0,56.1,,1.18,0.97,0.95,3298,2,0
1784740786.111,5.0,3.5,1.5,0.0,3354.0,56.0,,1.18,0.97,0.95,3226,2,0
1784740787.1119,5.2,3.5,1.7,0.0,3354.0,56.1,,1.18,0.97,0.95,3144,1,0
1784740788.1129,5.1,3.4,1.7,0.0,3354.0,56.1,,1.17,0.97,0.95,3027,1,0
1784740789.1138,5.1,3.5,1.6,0.0,3354.0,56.3,,1.17,0.97,0.95,3086,2,0
