timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784746966.7338,1494880256,8274026496,799744000,804736136,,,0,0
1784746967.7354,1554870272,8318263296,800587776,804983960,,,0,0
1784746968.7358,1558908928,8318263296,800587776,804990504,,,0,0
1784746969.7361,1561583616,8318263296,800583680,804984072,,,0,0
1784746970.7368,1563901952,8318263296,800587776,804993392,,,0,0
1784746971.7373,1565831168,8318267392,800583680,804982152,,,0,0
1784746972.7377,1567510528,8318267392,800579584,804978272,,,0,0
1784746973.738,1569062912,8318267392,800608256,805014072,,,0,0
1784746974.7386,1570500608,8318267392,800595968,804976680,,,0,0
1784746975.7393,1571774464,8318267392,800587776,804975208,,,0,0
1784746976.7397,1571774464,8318267392,800595968,804983224,,,0,0
1784746977.7404,1571774464,8318267392,800587776,804979256,,,0,0
1784746978.7409,1571774464,8318267392,800600064,804974096,,,0,0
1784746979.7415,1571807232,8318267392,800591872,804981224,,,0,0
1784746980.7418,1571811328,8318267392,800608256,804978456,,,0,0
1784746981.7421,1571672064,8318267392,800972800,805149776,,,0,0
1784746982.7427,1571758080,8318271488,800612352,804976968,,,0,0
1784746983.7433,1571758080,8318271488,800612352,804978696,,,0,0
1784746984.7439,1571762176,8318271488,800583680,804970240,,,0,0
1784746985.7451,1556406272,8318271488,800555008,804979264,,,0,0
1784746986.7462,1559900160,8318271488,800571392,804983328,,,0,0
1784746987.747,1562443776,8318271488,800559104,804978936,,,0,0
1784746988.7481,1564512256,8318271488,800583680,804987920,,,0,0
1784746989.7483,1566367744,8318271488,800604160,805005488,,,0,0
1784746990.7489,1568833536,8318271488,800980992,805108592,,,0,0
1784746991.7492,1569513472,8318271488,800587776,804972384,,,0,0
1784746992.7502,1570918400,8318271488,800587776,804971416,,,0,0
1784746993.751,1571749888,8318271488,800591872,804981912,,,0,0
1784746994.7512,1571835904,8318271488,800595968,804985392,,,0,0
1784746995.7519,1571835904,8318271488,800595968,804983232,,,0,0
1784746996.7521,1571835904,8318271488,800604160,804992688,,,0,0
1784746997.7529,1571835904,8318271488,800612352,804990216,,,0,0
1784746998.7532,1571835904,8318271488,800624640,805010320,,,0,0
1784746999.7534,1571926016,8318271488,800841728,805027960,,,0,0
1784747000.7542,1571774464,8318271488,800600064,804984584,,,0,0
1784747001.7549,1571774464,8318271488,800600064,804987384,,,0,0
1784747002.7558,1552392192,8318271488,800542720,804952928,,,0,0
1784747003.7565,1557827584,8318271488,800571392,804976312,,,0,0
1784747004.7572,1560899584,8318271488,800583680,804976904,,,0,0
1784747005.7579,1563148288,8318271488,800595968,804982824,,,0,0
1784747006.7586,1565245440,8318271488,800583680,804980256,,,0,0
1784747007.7589,1566986240,8318271488,800862208,805120648,,,0,0
1784747008.7596,1567875072,8318271488,800706560,805027760,,,0,0
