timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784746966.7332,2260,0,0,0,0,0
1784746967.234,17533,0,0,0,0,0
1784746967.7347,59347,0,0,0,0,0
1784746968.2353,3380,0,0,0,0,0
1784746968.7361,3077,0,0,0,0,0
1784746969.2366,2973,0,0,0,0,0
1784746969.737,2864,0,0,0,0,0
1784746970.2379,2819,0,0,0,0,0
1784746970.7384,2787,0,0,0,0,0
1784746971.2387,2738,0,0,0,0,0
1784746971.7393,2681,0,0,0,0,0
1784746972.2395,2659,0,0,0,0,0
1784746972.7398,2644,0,0,0,0,0
1784746973.2404,2633,0,0,0,0,0
1784746973.7406,2611,0,0,0,0,0
1784746974.2408,2457,0,0,0,0,0
1784746974.741,484,0,0,0,0,0
1784746975.2413,2567,0,0,0,0,0
1784746975.7415,2531,0,0,0,0,0
1784746976.242,2238,0,0,0,0,0
1784746976.7424,2248,0,0,0,0,0
1784746977.2429,2240,0,0,0,0,0
1784746977.7434,2242,0,0,0,0,0
1784746978.2442,2241,0,0,0,0,0
1784746978.7447,2244,0,0,0,0,0
1784746979.245,2244,0,0,0,0,0
1784746979.7456,2254,0,0,0,0,0
1784746980.2464,2238,0,0,0,0,0
1784746980.7472,2247,0,0,0,0,0
1784746981.2475,2245,0,0,0,0,0
1784746981.7478,2243,0,0,0,0,0
1784746982.248,1323,0,0,0,0,0
1784746982.7484,965,0,0,0,0,0
1784746983.2486,2241,0,0,0,0,0
1784746983.7492,2236,0,0,0,0,0
1784746984.2494,2237,0,0,0,0,0
1784746984.7499,2250,0,0,0,0,0
1784746985.2503,75306,0,0,0,0,0
1784746985.7505,3552,0,0,0,0,0
1784746986.2508,3170,0,0,0,0,0
1784746986.7511,3000,0,0,0,0,0
1784746987.2514,2888,0,0,0,0,0
1784746987.7517,2833,0,0,0,0,0
1784746988.2519,2767,0,0,0,0,0
1784746988.7521,2729,0,0,0,0,0
1784746989.2525,2722,0,0,0,0,0
1784746989.7528,2670,0,0,0,0,0
1784746990.2531,2646,0,0,0,0,0
1784746990.7534,1737,0,0,0,0,0
1784746991.2538,1269,0,0,0,0,0
1784746991.7541,2594,0,0,0,0,0
1784746992.2544,2588,0,0,0,0,0
1784746992.7548,2586,0,0,0,0,0
1784746993.2551,2576,0,0,0,0,0
1784746993.7554,2331,0,0,0,0,0
1784746994.2557,2242,0,0,0,0,0
1784746994.756,2282,0,0,0,0,0
1784746995.2563,2237,0,0,0,0,0
1784746995.7567,2242,0,0,0,0,0
1784746996.257,2243,0,0,0,0,0
1784746996.7574,2245,0,0,0,0,0
1784746997.258,2243,0,0,0,0,0
1784746997.7585,2242,0,0,0,0,0
1784746998.2594,2240,0,0,0,0,0
1784746998.7597,2247,0,0,0,0,0
1784746999.26,2243,0,0,0,0,0
1784746999.7604,1319,0,0,0,0,0
1784747000.2607,921,0,0,0,0,0
1784747000.761,2245,0,0,0,0,0
1784747001.2613,2237,0,0,0,0,0
1784747001.7616,2241,0,0,0,0,0
1784747002.262,2244,0,0,0,0,0
1784747002.7624,74650,0,0,0,0,0
1784747003.2627,3873,0,0,0,0,0
1784747003.7633,3256,0,0,0,0,0
1784747004.2637,3046,0,0,0,0,0
1784747004.764,2926,0,0,0,0,0
1784747005.2643,2848,0,0,0,0,0
1784747005.7647,2778,0,0,0,0,0
1784747006.2649,2733,0,0,0,0,0
1784747006.7653,2766,0,0,0,0,0
1784747007.2656,2680,0,0,0,0,0
1784747007.7659,2652,0,0,0,0,0
1784747008.2663,1727,0,0,0,0,0
1784747008.7667,1291,0,0,0,0,0
1784747009.2669,2599,0,0,0,0,0
