timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784747422.8574,0.5,0.1,0.4,0.0,3354.0,54.9,,0.73,0.89,0.95,1417,3,0
1784747423.8583,3.1,1.0,2.1,0.0,3354.0,56.2,,0.73,0.89,0.95,2446,2,0
1784747424.8596,5.5,1.7,3.8,0.0,3354.0,58.6,,0.75,0.89,0.95,2427,3,0
1784747425.8609,5.5,1.7,3.8,0.0,3354.0,59.6,,0.75,0.89,0.95,2482,2,0
1784747426.8626,5.5,1.7,3.8,0.0,3354.0,60.1,,0.75,0.89,0.95,2507,2,0
1784747427.8635,5.5,1.7,3.8,0.1,3354.0,60.4,,0.75,0.89,0.95,2488,2,0
1784747428.8643,5.4,1.7,3.7,0.0,3354.0,60.7,,0.75,0.89,0.95,2361,2,0
1784747429.8652,5.4,1.6,3.8,0.0,3354.0,60.9,,0.77,0.89,0.95,2386,2,0
1784747430.8667,5.2,1.7,3.6,0.0,3354.0,61.0,,0.77,0.89,0.95,2329,2,0
1784747431.8679,5.5,1.7,3.8,0.0,3354.0,61.1,,0.77,0.89,0.95,2511,2,0
1784747432.869,5.5,2.9,2.6,0.0,3354.0,61.1,,0.77,0.89,0.95,2430,2,0
1784747433.8706,5.5,1.7,3.8,0.0,3354.0,61.2,,0.77,0.89,0.95,2471,2,0
1784747434.872,5.4,1.7,3.8,0.0,3354.0,61.3,,0.79,0.89,0.95,2426,2,0
1784747435.8732,5.5,1.7,3.8,0.0,3354.0,61.5,,0.79,0.89,0.95,2446,2,0
1784747436.8743,5.5,1.7,3.7,0.1,3354.0,61.6,,0.79,0.89,0.95,2464,2,0
1784747437.8754,5.4,1.7,3.7,0.0,3354.0,61.7,,0.79,0.89,0.95,2394,2,0
1784747438.8763,5.4,1.8,3.7,0.0,3354.0,61.8,,0.79,0.89,0.95,2458,2,0
1784747439.8774,5.3,1.7,3.6,0.0,3354.0,61.9,,0.89,0.91,0.95,2329,2,0
1784747440.8789,5.5,2.8,2.8,0.0,3354.0,62.0,,0.89,0.91,0.95,2379,2,0
1784747441.8817,5.4,1.8,3.6,0.0,3354.0,61.7,,0.89,0.91,0.95,3010,2,0
1784747442.8827,5.6,1.8,3.7,0.1,3354.0,62.6,,0.89,0.91,0.95,2573,2,0
1784747443.8838,5.4,1.7,3.8,0.0,3354.0,62.9,,0.89,0.91,0.95,2620,2,0
1784747444.8855,5.5,1.7,3.8,0.0,3354.0,63.0,,0.9,0.91,0.95,2480,2,0
1784747445.8867,5.5,1.6,4.0,0.0,3354.0,63.0,,0.9,0.91,0.95,2513,2,0
1784747446.888,5.4,1.8,3.7,0.0,3354.0,63.1,,0.9,0.91,0.95,2526,2,0
1784747447.8889,5.5,1.8,3.7,0.1,3354.0,63.2,,0.9,0.91,0.95,2575,2,0
1784747448.8899,5.3,1.7,3.6,0.0,3354.0,63.2,,0.9,0.91,0.95,2356,2,0
1784747449.892,5.5,2.9,2.6,0.0,3354.0,63.4,,0.91,0.92,0.95,2497,2,0
1784747450.8929,5.4,1.7,3.7,0.0,3354.0,63.2,,0.91,0.92,0.95,2449,2,0
1784747451.8942,5.5,1.7,3.8,0.0,3354.0,63.4,,0.91,0.92,0.95,2425,2,0
1784747452.8952,5.5,1.8,3.7,0.0,3354.0,63.6,,0.91,0.92,0.95,2445,2,0
1784747453.8962,5.4,1.7,3.8,0.0,3354.0,63.7,,0.91,0.92,0.95,2510,2,0
1784747454.8977,5.4,1.7,3.8,0.0,3354.0,63.7,,0.91,0.92,0.95,2478,2,0
1784747455.8989,5.5,1.6,3.9,0.0,3354.0,63.8,,0.91,0.92,0.95,2502,2,0
1784747456.8996,5.5,1.7,3.8,0.0,3354.0,63.8,,0.91,0.92,0.95,2423,2,0
1784747457.9008,5.2,1.6,3.6,0.0,3354.0,63.8,,0.91,0.92,0.95,2344,2,0
1784747458.9025,5.5,2.9,2.6,0.1,3354.0,63.4,,0.91,0.92,0.95,2839,2,0
1784747459.9041,5.4,1.8,3.7,0.0,3354.0,63.1,,0.92,0.92,0.95,2526,2,0
1784747460.9056,5.4,1.7,3.7,0.0,3354.0,63.6,,0.92,0.92,0.95,2453,3,0
1784747461.9071,5.5,1.7,3.7,0.1,3354.0,64.0,,0.92,0.92,0.95,2492,2,0
1784747462.9086,5.4,1.8,3.7,0.0,3354.0,64.2,,0.92,0.92,0.95,2476,2,0
1784747463.9097,5.4,1.7,3.7,0.0,3354.0,64.2,,0.92,0.92,0.95,2460,4,0
1784747464.9114,5.4,1.8,3.6,0.0,3354.0,64.4,,1.01,0.94,0.96,2437,2,0
1784747465.9126,5.4,1.8,3.6,0.0,3354.0,64.4,,1.01,0.94,0.96,2444,2,0
1784747466.9139,5.3,1.6,3.7,0.0,3354.0,64.5,,1.01,0.94,0.96,2318,2,0
1784747467.9156,5.5,3.0,2.5,0.0,3354.0,64.6,,1.01,0.94,0.96,2572,2,0
1784747468.9171,5.5,1.8,3.8,0.0,3354.0,64.6,,1.01,0.94,0.96,2418,2,0
1784747469.9185,5.4,1.6,3.9,0.0,3354.0,64.6,,1.01,0.94,0.96,2488,2,0
1784747470.92,5.4,1.8,3.7,0.0,3354.0,64.6,,1.01,0.94,0.96,2469,2,0
1784747471.9212,5.4,1.8,3.7,0.0,3354.0,64.7,,1.01,0.94,0.96,2519,2,0
1784747472.9228,5.4,1.7,3.8,0.0,3354.0,64.7,,1.01,0.94,0.96,2416,2,0
1784747473.924,5.5,1.7,3.8,0.0,3354.0,64.7,,1.01,0.94,0.96,2476,2,0
1784747474.9253,5.4,1.8,3.6,0.0,3354.0,64.7,,1.09,0.96,0.97,2459,2,0
1784747475.9267,5.4,1.7,3.6,0.0,3354.0,64.7,,1.09,0.96,0.97,2314,2,0
1784747476.9283,5.3,2.7,2.7,0.0,3354.0,63.2,,1.09,0.96,0.97,2999,2,0
1784747477.9296,5.5,1.7,3.8,0.0,3354.0,63.2,,1.09,0.96,0.97,2616,2,0
1784747478.9308,5.4,1.6,3.9,0.0,3354.0,63.5,,1.09,0.96,0.97,2569,2,0
1784747479.9323,5.5,1.8,3.8,0.0,3354.0,63.7,,1.08,0.96,0.97,2630,2,0
1784747480.9338,5.4,1.5,3.9,0.0,3354.0,63.7,,1.08,0.96,0.97,2498,2,0
1784747481.9352,5.4,1.6,3.8,0.0,3354.0,63.8,,1.08,0.96,0.97,2508,2,0
1784747482.9364,5.5,1.6,3.9,0.1,3354.0,63.8,,1.08,0.96,0.97,2574,2,0
1784747483.9376,5.5,1.6,3.9,0.0,3354.0,63.9,,1.08,0.96,0.97,2515,2,0
1784747484.9389,5.3,1.9,3.5,0.0,3354.0,63.8,,1.07,0.96,0.97,2372,3,0
1784747485.9401,5.4,2.7,2.7,0.0,3354.0,63.9,,1.07,0.96,0.97,2397,2,0
1784747486.9417,5.5,1.8,3.7,0.0,3354.0,63.9,,1.07,0.96,0.97,2517,3,0
1784747487.9431,5.5,1.7,3.9,0.0,3354.0,63.9,,1.07,0.96,0.97,2475,2,0
1784747488.9446,5.4,1.6,3.8,0.0,3354.0,63.9,,1.07,0.96,0.97,2451,2,0
