timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784747574.888,121.69,3.63,3.0,110.79,118.06,16.0,0,0.0,0.0
1784747575.8882,121.69,3.95,3.2,110.47,117.74,16.0,0,0.0,0.0
1784747576.8885,121.69,3.96,3.3,110.46,117.73,16.0,0,0.0,0.0
1784747577.8888,121.69,3.96,3.3,110.46,117.73,16.0,0,0.0,0.0
1784747578.8891,121.69,3.97,3.3,110.45,117.72,16.0,0,0.0,0.0
1784747579.8894,121.69,3.97,3.3,110.45,117.72,16.0,0,0.0,0.0
1784747580.8897,121.69,3.97,3.3,110.45,117.72,16.0,0,0.0,0.0
1784747581.89,121.69,3.97,3.3,110.45,117.72,16.0,0,0.0,0.0
1784747582.8903,121.69,3.96,3.3,110.45,117.73,16.0,0,0.0,0.0
1784747583.8907,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747584.891,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747585.8913,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747586.8915,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747587.8918,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747588.8921,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747589.8929,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747590.8931,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747591.8934,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747592.8937,121.69,3.97,3.3,110.44,117.72,16.0,0,0.0,0.0
1784747593.8942,121.69,3.99,3.3,110.42,117.7,16.0,0,0.0,0.0
1784747594.8944,121.69,4.0,3.3,110.42,117.69,16.0,0,0.0,0.0
1784747595.8952,121.69,3.99,3.3,110.42,117.7,16.0,0,0.0,0.0
1784747596.8957,121.69,4.0,3.3,110.42,117.69,16.0,0,0.0,0.0
1784747597.8964,121.69,3.99,3.3,110.42,117.7,16.0,0,0.0,0.0
1784747598.8972,121.69,3.99,3.3,110.42,117.7,16.0,0,0.0,0.0
1784747599.8981,121.69,3.99,3.3,110.43,117.7,16.0,0,0.0,0.0
1784747600.899,121.69,3.99,3.3,110.43,117.7,16.0,0,0.0,0.0
1784747601.8998,121.69,3.99,3.3,110.42,117.7,16.0,0,0.0,0.0
1784747602.9001,121.69,3.99,3.3,110.42,117.7,16.0,0,0.0,0.0
1784747603.9006,121.69,3.99,3.3,110.43,117.7,16.0,0,0.0,0.0
1784747604.9013,121.69,3.99,3.3,110.43,117.7,16.0,0,0.0,0.0
