timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784723795.6216,2315,0,0,0,0,0
1784723796.1221,14415,0,0,0,0,0
1784723796.6224,42590,0,0,0,0,0
1784723797.1231,2239,0,0,0,0,0
1784723797.6234,2239,0,0,0,0,0
1784723798.1239,2244,0,0,0,0,0
1784723798.6247,2239,0,0,0,0,0
1784723799.1251,2240,0,0,0,0,0
1784723799.6258,2243,0,0,0,0,0
1784723800.1266,2243,0,0,0,0,0
1784723800.627,2242,0,0,0,0,0
1784723801.1282,2233,0,0,0,0,0
1784723801.6291,2236,0,0,0,0,0
1784723802.1295,2242,0,0,0,0,0
1784723802.6298,2243,0,0,0,0,0
1784723803.1302,2077,0,0,0,0,0
1784723803.631,168,0,0,0,0,0
1784723804.1318,2236,0,0,0,0,0
1784723804.6322,2244,0,0,0,0,0
1784723805.1329,2245,0,0,0,0,0
1784723805.6332,42699,0,0,0,0,0
1784723806.1342,2240,0,0,0,0,0
1784723806.6351,2244,0,0,0,0,0
1784723807.1356,2244,0,0,0,0,0
1784723807.6364,2237,0,0,0,0,0
1784723808.137,2239,0,0,0,0,0
1784723808.6376,2242,0,0,0,0,0
1784723809.1382,2237,0,0,0,0,0
1784723809.6386,2240,0,0,0,0,0
1784723810.1389,2243,0,0,0,0,0
1784723810.6391,1319,0,0,0,0,0
1784723811.1395,921,0,0,0,0,0
1784723811.6397,2243,0,0,0,0,0
1784723812.1404,2243,0,0,0,0,0
1784723812.6407,2241,0,0,0,0,0
1784723813.1413,2239,0,0,0,0,0
1784723813.6418,2242,0,0,0,0,0
1784723814.1421,2237,0,0,0,0,0
1784723814.6427,2237,0,0,0,0,0
1784723815.1431,42690,0,0,0,0,0
1784723815.6434,2241,0,0,0,0,0
1784723816.1437,2243,0,0,0,0,0
1784723816.6442,2286,0,0,0,0,0
1784723817.1445,2239,0,0,0,0,0
1784723817.6448,2245,0,0,0,0,0
1784723818.1451,2213,0,0,0,0,0
1784723818.6455,30,0,0,0,0,0
1784723819.1458,2237,0,0,0,0,0
1784723819.6461,2247,0,0,0,0,0
1784723820.1464,2245,0,0,0,0,0
1784723820.6472,2245,0,0,0,0,0
1784723821.1475,2249,0,0,0,0,0
1784723821.6477,2245,0,0,0,0,0
1784723822.148,2243,0,0,0,0,0
1784723822.6483,2247,0,0,0,0,0
1784723823.1485,2243,0,0,0,0,0
1784723823.6488,2241,0,0,0,0,0
1784723824.1491,2236,0,0,0,0,0
1784723824.6495,42687,0,0,0,0,0
1784723825.1498,2243,0,0,0,0,0
1784723825.65,2243,0,0,0,0,0
1784723826.1503,2167,0,0,0,0,0
1784723826.6505,72,0,0,0,0,0
1784723827.151,2246,0,0,0,0,0
1784723827.6518,2240,0,0,0,0,0
1784723828.1521,2245,0,0,0,0,0
1784723828.6524,2241,0,0,0,0,0
1784723829.1527,2239,0,0,0,0,0
1784723829.653,2245,0,0,0,0,0
1784723830.1533,2241,0,0,0,0,0
1784723830.6536,2242,0,0,0,0,0
1784723831.1539,2245,0,0,0,0,0
1784723831.6544,2246,0,0,0,0,0
1784723832.1547,2239,0,0,0,0,0
1784723832.6552,2238,0,0,0,0,0
1784723833.1555,2241,0,0,0,0,0
1784723833.6558,2241,0,0,0,0,0
1784723834.1561,29639,0,0,0,0,0
1784723834.6564,14275,0,0,0,0,0
1784723835.1567,1063,0,0,0,0,0
1784723835.6572,2237,0,0,0,0,0
1784723836.1575,2249,0,0,0,0,0
1784723836.6578,2245,0,0,0,0,0
1784723837.1581,2241,0,0,0,0,0
1784723837.6589,2239,0,0,0,0,0
1784723838.1592,2241,0,0,0,0,0
1784723838.6596,2238,0,0,0,0,0
1784723839.1599,2245,0,0,0,0,0
1784723839.6602,2247,0,0,0,0,0
1784723840.1605,2239,0,0,0,0,0
1784723840.6608,2245,0,0,0,0,0
1784723841.1611,2243,0,0,0,0,0
1784723841.6614,2243,0,0,0,0,0
1784723842.1617,2241,0,0,0,0,0
1784723842.662,1311,0,0,0,0,0
1784723843.1623,931,0,0,0,0,0
1784723843.6626,5844,0,0,0,0,0
1784723844.163,39097,0,0,0,0,0
1784723844.6633,2241,0,0,0,0,0
1784723845.1636,2253,0,0,0,0,0
1784723845.6639,2241,0,0,0,0,0
1784723846.1642,2241,0,0,0,0,0
1784723846.6645,2287,0,0,0,0,0
1784723847.165,2242,0,0,0,0,0
1784723847.6653,3700,0,0,0,0,0
1784723848.1656,2237,0,0,0,0,0
1784723848.6659,2247,0,0,0,0,0
1784723849.1662,2243,0,0,0,0,0
1784723849.6665,2239,0,0,0,0,0
1784723850.1668,1327,0,0,0,0,0
1784723850.6671,913,0,0,0,0,0
1784723851.1677,2241,0,0,0,0,0
1784723851.668,2239,0,0,0,0,0
1784723852.1683,2243,0,0,0,0,0
1784723852.6686,2239,0,0,0,0,0
1784723853.1689,2341,0,0,0,0,0
1784723853.6692,42598,0,0,0,0,0
1784723854.1695,2239,0,0,0,0,0
1784723854.6698,2241,0,0,0,0,0
1784723855.1701,2241,0,0,0,0,0
1784723855.6704,2239,0,0,0,0,0
1784723856.1707,2239,0,0,0,0,0
1784723856.671,2243,0,0,0,0,0
1784723857.1713,2253,0,0,0,0,0
1784723857.6716,2241,0,0,0,0,0
1784723858.1718,408,0,0,0,0,0
1784723858.6721,1875,0,0,0,0,0
1784723859.1723,2245,0,0,0,0,0
1784723859.6725,2235,0,0,0,0,0
1784723860.173,2244,0,0,0,0,0
1784723860.6733,2243,0,0,0,0,0
1784723861.1736,2243,0,0,0,0,0
1784723861.6738,2241,0,0,0,0,0
1784723862.1743,2238,0,0,0,0,0
1784723862.6746,2243,0,0,0,0,0
1784723863.175,42695,0,0,0,0,0
1784723863.6753,2237,0,0,0,0,0
1784723864.1756,2244,0,0,0,0,0
1784723864.6759,2247,0,0,0,0,0
1784723865.1762,2243,0,0,0,0,0
1784723865.6765,1311,0,0,0,0,0
1784723866.177,929,0,0,0,0,0
1784723866.6775,2240,0,0,0,0,0
1784723867.1778,2247,0,0,0,0,0
1784723867.678,2241,0,0,0,0,0
1784723868.1783,2247,0,0,0,0,0
1784723868.6786,2243,0,0,0,0,0
1784723869.1789,2245,0,0,0,0,0
1784723869.6792,2239,0,0,0,0,0
1784723870.1795,2241,0,0,0,0,0
1784723870.6798,2243,0,0,0,0,0
1784723871.1801,2243,0,0,0,0,0
1784723871.6806,2240,0,0,0,0,0
1784723872.1811,2244,0,0,0,0,0
1784723872.6814,42692,0,0,0,0,0
1784723873.1817,2237,0,0,0,0,0
1784723873.682,1311,0,0,0,0,0
1784723874.1823,933,0,0,0,0,0
1784723874.6832,2240,0,0,0,0,0
1784723875.1836,2240,0,0,0,0,0
1784723875.6839,2241,0,0,0,0,0
1784723876.1842,2245,0,0,0,0,0
1784723876.6846,2278,0,0,0,0,0
1784723877.1851,2238,0,0,0,0,0
1784723877.6854,2243,0,0,0,0,0
1784723878.1856,2243,0,0,0,0,0
1784723878.6863,2245,0,0,0,0,0
1784723879.1866,2238,0,0,0,0,0
1784723879.6869,2237,0,0,0,0,0
1784723880.1872,2251,0,0,0,0,0
1784723880.6875,2245,0,0,0,0,0
1784723881.1878,2241,0,0,0,0,0
1784723881.6881,66,0,0,0,0,0
1784723882.1887,42615,0,0,0,0,0
1784723882.6894,2247,0,0,0,0,0
1784723883.19,2237,0,0,0,0,0
1784723883.6903,2241,0,0,0,0,0
1784723884.1911,2241,0,0,0,0,0
1784723884.6914,2242,0,0,0,0,0
1784723885.1923,2236,0,0,0,0,0
1784723885.6928,2242,0,0,0,0,0
1784723886.1935,2241,0,0,0,0,0
1784723886.694,2242,0,0,0,0,0
1784723887.1944,2246,0,0,0,0,0
1784723887.6951,2243,0,0,0,0,0
1784723888.1954,2240,0,0,0,0,0
1784723888.6958,2242,0,0,0,0,0
1784723889.196,2239,0,0,0,0,0
1784723889.6963,1317,0,0,0,0,0
1784723890.197,923,0,0,0,0,0
