timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784736153.2554,1494929408,7977742336,786845696,789706952,,,0,0
1784736154.2567,2086653952,8021979136,789069824,790071888,,,0,0
1784736155.2576,2087100416,8021979136,789155840,790082392,,,0,0
1784736156.2588,2087272448,8021979136,789041152,790060864,,,0,0
1784736157.2597,2087632896,8021979136,789057536,790058208,,,0,0
1784736158.2605,2087944192,8021979136,789143552,790084392,,,0,0
1784736159.2613,2088255488,8021983232,789028864,790052936,,,0,0
1784736160.2621,2088562688,8021983232,789037056,790056728,,,0,0
1784736161.2638,2088849408,8021983232,789037056,790058768,,,0,0
1784736162.2646,2089684992,8021983232,789323776,790169104,,,0,0
1784736163.265,1801875456,7977746432,787730432,789818136,,,0,0
1784736164.2661,2086772736,8021983232,789041152,790043680,,,0,0
1784736165.2671,2087170048,8021983232,789037056,790040256,,,0,0
1784736166.2678,2087477248,8021983232,789164032,790109496,,,0,0
1784736167.2687,2087841792,8021983232,789032960,790055408,,,0,0
1784736168.2696,2088148992,8021983232,789057536,790068504,,,0,0
1784736169.2703,2088464384,8021987328,789037056,790049696,,,0,0
1784736170.2712,2089582592,8021987328,789311488,790160376,,,0,0
1784736171.272,2088869888,8021987328,789041152,790032560,,,0,0
1784736172.2727,2625740800,8021987328,790089728,790052160,,,0,0
1784736173.2741,2086723584,8021987328,789037056,790057128,,,0,0
1784736174.2751,2087849984,8021987328,789315584,790165760,,,0,0
1784736175.2763,2087297024,8021987328,789008384,790050168,,,0,0
1784736176.2776,2087628800,8021987328,789028864,790071128,,,0,0
1784736177.2781,2089312256,8021987328,789405696,790233304,,,0,0
1784736178.2795,2088333312,8021987328,789024768,790067096,,,0,0
1784736179.2803,2088640512,8021987328,789024768,790074312,,,0,0
1784736180.2815,2088886272,8021987328,789028864,790077496,,,0,0
1784736181.2822,2088886272,8021987328,789176320,790135576,,,0,0
1784736182.2827,2086129664,8021987328,789024768,790044560,,,0,0
1784736183.2841,2086924288,8021987328,789053440,790075952,,,0,0
1784736184.2854,2087231488,8021987328,789045248,790066784,,,0,0
1784736185.286,2087608320,8021987328,789209088,790148888,,,0,0
1784736186.2869,2087895040,8021987328,789045248,790063816,,,0,0
1784736187.2877,2088132608,8021987328,789053440,790070880,,,0,0
1784736188.2887,2088443904,8021995520,789053440,790075416,,,0,0
1784736189.2894,2090110976,8021995520,789417984,790218920,,,0,0
1784736190.2902,2088898560,8021995520,789057536,790092792,,,0,0
1784736191.2908,2348281856,8021995520,790093824,790080024,,,0,0
1784736192.2923,2086817792,8021995520,789024768,790064920,,,0,0
1784736193.2933,2087129088,8021995520,789057536,790089456,,,0,0
1784736194.294,2087346176,8021995520,789053440,790082472,,,0,0
1784736195.2949,2087796736,8021995520,789045248,790061400,,,0,0
1784736196.2955,2088103936,8021995520,789069824,790084440,,,0,0
1784736197.2961,2089246720,8021995520,789344256,790199712,,,0,0
1784736198.2968,2088722432,8022003712,789061632,790090248,,,0,0
1784736199.2981,2088824832,8022003712,789057536,790075008,,,0,0
1784736200.2992,2088824832,8022003712,789061632,790093584,,,0,0
1784736201.3006,2087514112,8022003712,789311488,790150064,,,0,0
1784736202.3018,2087018496,8022003712,789049344,790070496,,,0,0
1784736203.3029,2087325696,8022003712,789065728,790079296,,,0,0
1784736204.3045,2087682048,8022003712,789061632,790076176,,,0,0
1784736205.3055,2087997440,8022003712,789127168,790113832,,,0,0
1784736206.3067,2088300544,8022003712,789065728,790088800,,,0,0
1784736207.308,2088607744,8022007808,789061632,790076144,,,0,0
1784736208.309,2088906752,8022007808,789078016,790082448,,,0,0
1784736209.3098,2088906752,8022007808,789057536,790078976,,,0,0
1784736210.3107,1752961024,7977771008,787656704,789830960,,,0,0
1784736211.312,2086760448,8022007808,789012480,790082456,,,0,0
1784736212.3133,2087067648,8022007808,789032960,790083968,,,0,0
1784736213.3142,2087378944,8022007808,789016576,790083112,,,0,0
1784736214.3151,2087821312,8022007808,789041152,790078752,,,0,0
1784736215.3156,2088108032,8022007808,789016576,790074576,,,0,0
1784736216.3165,2089291776,8022011904,789188608,790122888,,,0,0
1784736217.3173,2088747008,8022011904,789024768,790083712,,,0,0
1784736218.3184,2088857600,8022011904,789028864,790085352,,,0,0
1784736219.3188,2625728512,8022011904,790081536,790088456,,,0,0
1784736220.3196,2086715392,8022011904,789188608,790096632,,,0,0
1784736221.3207,2087022592,8022011904,789037056,790068592,,,0,0
1784736222.3214,2087333888,8022011904,789024768,790077072,,,0,0
1784736223.322,2087620608,8022011904,789069824,790096232,,,0,0
1784736224.3229,2087931904,8022011904,789041152,790078496,,,0,0
1784736225.3237,2088325120,8022011904,789057536,790083440,,,0,0
1784736226.325,2088636416,8022020096,789061632,790105856,,,0,0
1784736227.3261,2089701376,8022020096,789323776,790222912,,,0,0
1784736228.327,2088869888,8022020096,789049344,790107120,,,0,0
1784736229.3278,2086117376,8022020096,789024768,790078568,,,0,0
1784736230.3294,2086916096,8022020096,789069824,790119248,,,0,0
1784736231.3302,2088058880,8022020096,789344256,790234376,,,0,0
1784736232.3314,2087596032,8022024192,789057536,790103720,,,0,0
1784736233.3324,2087886848,8022024192,789082112,790119192,,,0,0
1784736234.3337,2088202240,8022024192,789069824,790123536,,,0,0
1784736235.3349,2088370176,8022024192,789041152,790097232,,,0,0
1784736236.3366,2088677376,8022024192,789069824,790103944,,,0,0
1784736237.3381,2088820736,8022024192,789082112,790110488,,,0,0
1784736238.3393,2335617024,8022024192,790110208,790119416,,,0,0
1784736239.3403,2087378944,8022024192,789168128,790156272,,,0,0
1784736240.3418,2087043072,8022024192,789053440,790122920,,,0,0
1784736241.3433,2087346176,8022024192,789032960,790111560,,,0,0
1784736242.3441,2087710720,8022024192,789147648,790126344,,,0,0
1784736243.3453,2088017920,8022028288,789061632,790115736,,,0,0
1784736244.3463,2088325120,8022028288,789028864,790094264,,,0,0
1784736245.3472,2088636416,8022028288,789028864,790110936,,,0,0
1784736246.3479,2090037248,8022028288,789401600,790232648,,,0,0
1784736247.3486,2088812544,8022028288,789016576,790103024,,,0,0
1784736248.3502,2086588416,8022028288,789028864,790088048,,,0,0
1784736249.351,2086961152,8022028288,789045248,790112112,,,0,0
1784736250.3522,2087292928,8022028288,789057536,790121464,,,0,0
1784736251.3535,2087649280,8022028288,789045248,790099440,,,0,0
1784736252.3547,2087956480,8022028288,789045248,790104024,,,0,0
1784736253.3557,2088267776,8022028288,789041152,790100840,,,0,0
1784736254.357,2088574976,8022028288,789159936,790146936,,,0,0
1784736255.3581,2088882176,8022028288,789032960,790105304,,,0,0
1784736256.3592,2088894464,8022028288,789061632,790120256,,,0,0
1784736257.3596,1525964800,8022032384,787910656,790060960,,,0,0
1784736258.3608,2088382464,8022028288,789282816,790220384,,,0,0
1784736259.3622,2087026688,8022028288,789073920,790116568,,,0,0
1784736260.3635,2087329792,8022028288,789069824,790120704,,,0,0
1784736261.3645,2087780352,8022028288,789086208,790120152,,,0,0
1784736262.3652,2088919040,8022028288,789377024,790266544,,,0,0
1784736263.3662,2088394752,8022028288,789073920,790113608,,,0,0
1784736264.3686,2088706048,8022032384,789069824,790119800,,,0,0
1784736265.3694,2088849408,8022032384,789086208,790118912,,,0,0
1784736266.3698,2249007104,8022032384,789786624,790253600,,,0,0
1784736267.3712,2086674432,8022032384,789053440,790087872,,,0,0
1784736268.3724,2086981632,8022032384,789073920,790113112,,,0,0
1784736269.3732,2087292928,8022032384,789065728,790109792,,,0,0
1784736270.3739,2088898560,8022032384,789360640,790246400,,,0,0
1784736271.3747,2087952384,8022032384,789069824,790113304,,,0,0
1784736272.3758,2088263680,8022032384,789065728,790107560,,,0,0
1784736273.3769,2088656896,8022036480,789073920,790119800,,,0,0
