timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784714808.2779,2256,0,0,0,0,0
1784714808.7796,18269,0,0,0,0,0
1784714809.2798,39422,0,0,0,0,0
1784714809.7805,86353,0,0,0,0,0
1784714810.2807,2273,0,0,0,0,0
1784714810.7814,2293,0,0,0,0,0
1784714811.2818,2250,0,0,0,0,0
1784714811.7823,2246,0,0,0,0,0
1784714812.2826,2263,0,0,0,0,0
1784714812.7829,682,0,0,0,0,0
1784714813.2837,1555,0,0,0,0,0
1784714813.7842,20929,0,0,0,0,0
1784714814.2845,20940,0,0,0,0,0
1784714814.7849,49207,0,0,0,0,0
1784714815.2853,39472,0,0,0,0,0
1784714815.7856,2244,0,0,0,0,0
1784714816.286,2248,0,0,0,0,0
1784714816.7865,2248,0,0,0,0,0
1784714817.2869,2252,0,0,0,0,0
1784714817.7872,2253,0,0,0,0,0
1784714818.2874,2247,0,0,0,0,0
1784714818.7877,2241,0,0,0,0,0
1784714819.2881,2246,0,0,0,0,0
1784714819.7885,39625,0,0,0,0,0
1784714820.2888,7739,0,0,0,0,0
1784714820.7892,79385,0,0,0,0,0
1784714821.2898,1574,0,0,0,0,0
1784714821.7902,2246,0,0,0,0,0
1784714822.2907,2244,0,0,0,0,0
1784714822.7913,2297,0,0,0,0,0
1784714823.2921,2235,0,0,0,0,0
1784714823.7929,2240,0,0,0,0,0
1784714824.2932,2245,0,0,0,0,0
1784714824.7941,39585,0,0,0,0,0
1784714825.2949,27446,0,0,0,0,0
1784714825.7952,61220,0,0,0,0,0
1784714826.2956,2250,0,0,0,0,0
1784714826.796,2244,0,0,0,0,0
1784714827.2962,2243,0,0,0,0,0
1784714827.7965,2255,0,0,0,0,0
1784714828.2967,2061,0,0,0,0,0
1784714828.7976,178,0,0,0,0,0
1784714829.2979,2468,0,0,0,0,0
1784714829.7983,39406,0,0,0,0,0
1784714830.2985,22229,0,0,0,0,0
1784714830.7989,66454,0,0,0,0,0
1784714831.2992,2257,0,0,0,0,0
1784714831.7997,2246,0,0,0,0,0
1784714832.3001,2246,0,0,0,0,0
1784714832.8008,2243,0,0,0,0,0
1784714833.3012,2250,0,0,0,0,0
1784714833.8018,2243,0,0,0,0,0
1784714834.3022,2248,0,0,0,0,0
1784714834.8028,2289,0,0,0,0,0
1784714835.3036,39598,0,0,0,0,0
1784714835.8039,2241,0,0,0,0,0
1784714836.3043,85514,0,0,0,0,0
1784714836.8047,933,0,0,0,0,0
1784714837.3053,2247,0,0,0,0,0
1784714837.8059,2243,0,0,0,0,0
1784714838.3065,2255,0,0,0,0,0
1784714838.807,2249,0,0,0,0,0
1784714839.3076,2238,0,0,0,0,0
1784714839.8084,2242,0,0,0,0,0
1784714840.3091,39598,0,0,0,0,0
1784714840.8097,7237,0,0,0,0,0
1784714841.3102,81430,0,0,0,0,0
1784714841.811,2251,0,0,0,0,0
1784714842.3119,2246,0,0,0,0,0
1784714842.8123,3701,0,0,0,0,0
