timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784672376.3646,1.9,0.9,0.9,0.0,3354.0,49.6,,1.32,1.22,1.09,9537,2,1
1784672377.3657,7.0,4.2,2.9,0.0,3354.0,50.8,,1.32,1.22,1.09,9575,4,0
1784672378.3667,10.9,7.9,3.0,0.1,3354.0,52.6,,1.32,1.22,1.09,8424,3,0
1784672379.3687,6.6,5.5,1.1,0.0,3354.0,53.0,,1.32,1.22,1.09,7955,3,0
1784672380.3696,10.5,7.6,2.9,0.0,3354.0,53.7,,1.29,1.22,1.09,12378,4,0
1784672381.371,12.5,7.9,4.6,0.0,3354.0,54.0,,1.29,1.22,1.09,10092,3,0
1784672382.3723,12.5,8.6,3.8,0.0,3354.0,54.4,,1.29,1.22,1.09,11262,4,0
1784672383.3734,13.0,8.6,4.4,0.1,3354.0,55.0,,1.29,1.22,1.09,14371,3,0
1784672384.3743,12.9,8.0,4.8,0.1,3354.0,54.8,,1.43,1.25,1.1,13532,4,0
1784672385.3754,12.6,8.4,4.2,0.0,3354.0,54.6,,1.43,1.25,1.1,12122,2,0
1784672386.3766,8.6,6.3,2.4,0.0,3354.0,54.6,,1.43,1.25,1.1,9153,3,0
1784672387.378,12.5,8.7,3.7,0.0,3354.0,55.0,,1.43,1.25,1.1,10173,4,0
1784672388.3793,8.4,6.0,2.3,0.1,3354.0,54.5,,1.43,1.25,1.1,8608,3,0
1784672389.3803,10.7,6.9,3.8,0.0,3354.0,54.7,,1.56,1.28,1.11,10298,3,0
1784672390.3813,12.7,8.7,4.0,0.0,3354.0,55.0,,1.56,1.28,1.11,7883,4,0
1784672391.3823,12.0,8.3,3.7,0.0,3354.0,55.2,,1.56,1.28,1.11,12707,4,0
1784672392.3831,11.2,8.3,2.9,0.0,3354.0,55.0,,1.56,1.28,1.11,10748,4,0
1784672393.384,11.8,8.3,3.3,0.2,3354.0,55.2,,1.56,1.28,1.11,10028,3,0
1784672394.3854,10.9,7.8,3.1,0.0,3354.0,55.1,,1.51,1.27,1.11,11342,2,0
1784672395.3863,8.2,6.5,1.7,0.0,3354.0,55.1,,1.51,1.27,1.11,8471,2,0
1784672396.3873,10.7,7.2,3.6,0.0,3354.0,55.2,,1.51,1.27,1.11,13853,3,0
1784672397.3882,12.5,8.4,4.1,0.0,3354.0,55.6,,1.51,1.27,1.11,14965,4,0
1784672398.3898,12.9,8.8,4.0,0.1,3354.0,55.6,,1.51,1.27,1.11,13048,3,0
1784672399.3906,12.7,8.8,4.0,0.0,3354.0,55.6,,1.55,1.28,1.11,12244,2,0
1784672400.392,11.5,7.9,3.6,0.0,3354.0,55.4,,1.55,1.28,1.11,11662,3,0
1784672401.3929,8.3,6.7,1.6,0.0,3354.0,55.2,,1.55,1.28,1.11,10013,4,0
1784672402.3941,13.9,9.8,3.9,0.1,3354.0,55.5,,1.55,1.28,1.11,8085,4,0
1784672403.3955,13.6,9.7,3.9,0.0,3354.0,55.7,,1.55,1.28,1.11,11557,3,0
1784672404.3968,13.0,9.2,3.8,0.0,3354.0,55.7,,1.67,1.31,1.12,8825,4,0
1784672405.3982,7.0,5.6,1.3,0.1,3354.0,55.4,,1.67,1.31,1.12,7325,3,0
1784672406.3995,7.6,6.0,1.6,0.0,3354.0,55.2,,1.67,1.31,1.12,7144,2,0
1784672407.4009,7.9,5.9,2.1,0.0,3354.0,55.4,,1.67,1.31,1.12,8044,3,0
1784672408.4022,6.6,5.2,1.4,0.0,3354.0,55.3,,1.67,1.31,1.12,8816,3,0
1784672409.404,7.2,5.7,1.5,0.0,3354.0,55.4,,1.61,1.31,1.12,8235,2,0
1784672410.4057,7.1,5.8,1.3,0.1,3354.0,55.4,,1.61,1.31,1.12,7407,3,0
1784672411.407,7.0,5.7,1.3,0.0,3354.0,55.5,,1.61,1.31,1.12,8146,2,0
1784672412.409,8.0,6.1,2.0,0.0,3354.0,55.5,,1.61,1.31,1.12,10603,2,0
1784672413.4102,7.1,5.6,1.5,0.0,3354.0,55.6,,1.61,1.31,1.12,8815,3,0
1784672414.4117,7.3,5.8,1.5,0.0,3354.0,55.8,,1.72,1.33,1.13,7068,2,0
1784672415.4136,7.8,5.9,1.9,0.1,3354.0,55.9,,1.72,1.33,1.13,7435,2,0
1784672416.4155,7.2,5.7,1.5,0.0,3354.0,55.9,,1.72,1.33,1.13,8112,2,0
