timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784691560.6763,121.69,5.66,4.7,109.08,116.03,16.0,0,0.0,0.0
1784691561.6769,121.69,6.35,5.2,108.39,115.34,16.0,0,0.0,0.0
1784691562.6776,121.69,6.32,5.2,108.41,115.37,16.0,0,0.0,0.0
1784691563.6779,121.69,6.16,5.1,108.58,115.53,16.0,0,0.0,0.0
1784691564.6794,121.69,6.37,5.2,108.37,115.32,16.0,0,0.0,0.0
1784691565.6799,121.69,6.49,5.3,108.24,115.2,16.0,0,0.0,0.0
1784691566.6806,121.69,6.34,5.2,108.4,115.35,16.0,0,0.0,0.0
1784691567.6812,121.69,6.33,5.2,108.41,115.36,16.0,0,0.0,0.0
1784691568.6817,121.69,6.73,5.5,108.0,114.96,16.0,0,0.0,0.0
1784691569.682,121.69,6.48,5.3,108.26,115.21,16.0,0,0.0,0.0
1784691570.6827,121.69,6.45,5.3,108.28,115.24,16.0,0,0.0,0.0
1784691571.6837,121.69,6.28,5.2,108.46,115.41,16.0,0,0.0,0.0
1784691572.685,121.69,6.39,5.3,108.34,115.3,16.0,0,0.0,0.0
1784691573.686,121.69,7.19,5.9,107.55,114.5,16.0,0,0.0,0.0
1784691574.6867,121.69,6.23,5.1,108.51,115.46,16.0,0,0.0,0.0
1784691575.6869,121.69,6.21,5.1,108.53,115.48,16.0,0,0.0,0.0
1784691576.6873,121.69,5.95,4.9,108.79,115.74,16.0,0,0.0,0.0
1784691577.6877,121.69,6.53,5.4,108.21,115.16,16.0,0,0.0,0.0
1784691578.688,121.69,6.78,5.6,107.96,114.91,16.0,0,0.0,0.0
1784691579.6886,121.69,6.53,5.4,108.21,115.16,16.0,0,0.0,0.0
1784691580.6892,121.69,6.52,5.4,108.21,115.17,16.0,0,0.0,0.0
