timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784680131.3682,2246,0,0,0,0,0
1784680131.8691,18315,0,0,0,0,0
1784680132.3694,42733,0,0,0,0,0
1784680132.8697,2245,0,0,0,0,0
1784680133.37,552,0,0,0,0,0
1784680133.8709,1709,0,0,0,0,0
1784680134.3717,2245,0,0,0,0,0
1784680134.8724,2253,0,0,0,0,0
1784680135.3728,2250,0,0,0,0,0
1784680135.8731,2249,0,0,0,0,0
1784680136.3734,2253,0,0,0,0,0
1784680136.8742,2246,0,0,0,0,0
1784680137.3745,2255,0,0,0,0,0
1784680137.8752,2239,0,0,0,0,0
1784680138.3755,2249,0,0,0,0,0
1784680138.8765,2257,0,0,0,0,0
1784680139.3777,2239,0,0,0,0,0
1784680139.8785,2252,0,0,0,0,0
1784680140.3795,3703,0,0,0,0,0
1784680140.8798,2251,0,0,0,0,0
1784680141.3801,2255,0,0,0,0,0
1784680141.8804,1337,0,0,0,0,0
1784680142.3815,918,0,0,0,0,0
1784680142.8824,2292,0,0,0,0,0
1784680143.3831,2243,0,0,0,0,0
1784680143.8837,2253,0,0,0,0,0
1784680144.3844,2247,0,0,0,0,0
1784680144.8854,2245,0,0,0,0,0
1784680145.3863,2250,0,0,0,0,0
1784680145.8872,2246,0,0,0,0,0
1784680146.3882,2247,0,0,0,0,0
1784680146.8889,2247,0,0,0,0,0
1784680147.3898,2252,0,0,0,0,0
1784680147.8907,2238,0,0,0,0,0
1784680148.3916,2244,0,0,0,0,0
1784680148.8925,2246,0,0,0,0,0
1784680149.3928,2245,0,0,0,0,0
1784680149.8931,2259,0,0,0,0,0
1784680150.3934,1339,0,0,0,0,0
1784680150.8944,918,0,0,0,0,0
1784680151.3953,2244,0,0,0,0,0
1784680151.896,2253,0,0,0,0,0
1784680152.3963,2246,0,0,0,0,0
1784680152.8974,2255,0,0,0,0,0
1784680153.3983,2252,0,0,0,0,0
1784680153.8989,2245,0,0,0,0,0
1784680154.3999,2248,0,0,0,0,0
1784680154.9008,2242,0,0,0,0,0
1784680155.4017,2250,0,0,0,0,0
1784680155.9026,2242,0,0,0,0,0
1784680156.403,2254,0,0,0,0,0
1784680156.9035,2248,0,0,0,0,0
1784680157.404,2248,0,0,0,0,0
1784680157.9049,2246,0,0,0,0,0
1784680158.4052,2247,0,0,0,0,0
1784680158.9055,2249,0,0,0,0,0
1784680159.4058,1197,0,0,0,0,0
1784680159.9068,1080,0,0,0,0,0
1784680160.4075,2245,0,0,0,0,0
1784680160.9083,2246,0,0,0,0,0
1784680161.4092,2246,0,0,0,0,0
1784680161.9095,2253,0,0,0,0,0
1784680162.4102,2241,0,0,0,0,0
1784680162.9112,2253,0,0,0,0,0
1784680163.4115,2245,0,0,0,0,0
1784680163.9126,2247,0,0,0,0,0
1784680164.4129,2251,0,0,0,0,0
1784680164.9134,2248,0,0,0,0,0
1784680165.4143,2250,0,0,0,0,0
1784680165.9152,2240,0,0,0,0,0
1784680166.4157,2246,0,0,0,0,0
1784680166.9162,5875,0,0,0,0,0
1784680167.4166,1315,0,0,0,0,0
1784680167.9174,923,0,0,0,0,0
1784680168.418,2241,0,0,0,0,0
1784680168.9187,2237,0,0,0,0,0
1784680169.4198,2239,0,0,0,0,0
1784680169.9209,2241,0,0,0,0,0
1784680170.4213,2244,0,0,0,0,0
1784680170.9223,2242,0,0,0,0,0
1784680171.4232,2242,0,0,0,0,0
1784680171.9241,2244,0,0,0,0,0
1784680172.4252,2239,0,0,0,0,0
1784680172.9258,2241,0,0,0,0,0
1784680173.4268,2242,0,0,0,0,0
1784680173.9277,2242,0,0,0,0,0
1784680174.4283,2239,0,0,0,0,0
1784680174.9288,2238,0,0,0,0,0
1784680175.429,2245,0,0,0,0,0
1784680175.9294,1337,0,0,0,0,0
1784680176.4302,920,0,0,0,0,0
1784680176.9312,2236,0,0,0,0,0
1784680177.4323,2243,0,0,0,0,0
1784680177.933,2243,0,0,0,0,0
1784680178.4339,2232,0,0,0,0,0
1784680178.9349,2286,0,0,0,0,0
1784680179.4358,2234,0,0,0,0,0
1784680179.9369,42756,0,0,0,0,0
1784680180.4377,2242,0,0,0,0,0
1784680180.9386,2250,0,0,0,0,0
1784680181.4395,2244,0,0,0,0,0
1784680181.9406,2247,0,0,0,0,0
1784680182.4413,2249,0,0,0,0,0
1784680182.9417,2250,0,0,0,0,0
1784680183.4423,2241,0,0,0,0,0
1784680183.9427,2251,0,0,0,0,0
1784680184.443,1321,0,0,0,0,0
1784680184.9434,939,0,0,0,0,0
1784680185.4437,2249,0,0,0,0,0
1784680185.9441,2244,0,0,0,0,0
1784680186.4446,2248,0,0,0,0,0
1784680186.9451,2252,0,0,0,0,0
1784680187.4459,2242,0,0,0,0,0
1784680187.9468,2242,0,0,0,0,0
1784680188.4474,2251,0,0,0,0,0
1784680188.9479,2248,0,0,0,0,0
1784680189.4483,2258,0,0,0,0,0
1784680189.9492,2244,0,0,0,0,0
1784680190.4495,2275,0,0,0,0,0
1784680190.9504,2252,0,0,0,0,0
1784680191.4508,2248,0,0,0,0,0
1784680191.9515,2253,0,0,0,0,0
1784680192.4522,2247,0,0,0,0,0
1784680192.9525,2251,0,0,0,0,0
1784680193.4528,1323,0,0,0,0,0
1784680193.9537,930,0,0,0,0,0
1784680194.4543,2249,0,0,0,0,0
1784680194.9552,2250,0,0,0,0,0
1784680195.4558,2261,0,0,0,0,0
1784680195.9567,2240,0,0,0,0,0
1784680196.4576,2250,0,0,0,0,0
1784680196.9587,2283,0,0,0,0,0
1784680197.4599,2253,0,0,0,0,0
1784680197.9608,2244,0,0,0,0,0
1784680198.4618,2250,0,0,0,0,0
1784680198.9625,2245,0,0,0,0,0
1784680199.4628,2257,0,0,0,0,0
1784680199.9632,3711,0,0,0,0,0
