timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784683513.9431,1537331200,7932084224,776507392,766006440,,,0,0
1784683514.9439,1726619648,7976321024,777887744,766314288,,,0,0
1784683515.9453,1728552960,7976321024,777949184,766357672,,,0,0
1784683516.9459,1728876544,7976321024,777961472,766354432,,,0,0
1784683517.947,1729196032,7976321024,777949184,766363952,,,0,0
1784683518.9472,1729568768,7976325120,777969664,766360264,,,0,0
1784683519.9476,1729884160,7976325120,777957376,766370912,,,0,0
1784683520.9485,1730207744,7976325120,777940992,766358200,,,0,0
1784683521.9487,1730527232,7976325120,777965568,766353200,,,0,0
1784683522.949,1730879488,7976325120,778219520,766465688,,,0,0
1784683523.9493,1731170304,7976325120,777957376,766346088,,,0,0
1784683524.95,1731493888,7976325120,777965568,766347056,,,0,0
1784683525.9503,1731817472,7976325120,777940992,766337904,,,0,0
1784683526.951,1732222976,7976325120,777957376,766346632,,,0,0
1784683527.9513,1732591616,7976325120,777945088,766349896,,,0,0
1784683528.9516,1732919296,7976325120,777945088,766344144,,,0,0
1784683529.9519,1733238784,7976325120,777932800,766344528,,,0,0
1784683530.9522,1735045120,7976325120,778358784,766531312,,,0,0
1784683531.9529,1733877760,7976329216,777949184,766347016,,,0,0
1784683532.9531,1734201344,7976329216,777957376,766349088,,,0,0
1784683533.9534,1734524928,7976329216,777965568,766363296,,,0,0
1784683534.9536,1734848512,7976329216,777981952,766361968,,,0,0
1784683535.9538,1735217152,7976329216,777973760,766361184,,,0,0
1784683536.954,1735540736,7976329216,777969664,766345936,,,0,0
1784683537.9542,1735790592,7976329216,777965568,766345624,,,0,0
1784683538.9545,1736454144,7976329216,778412032,766554912,,,0,0
1784683539.9547,1736523776,7976329216,777965568,766354712,,,0,0
1784683540.9549,1736843264,7976333312,777961472,766355888,,,0,0
1784683541.9551,1737166848,7976333312,777990144,766353224,,,0,0
1784683542.9553,1737490432,7976333312,777957376,766353216,,,0,0
1784683543.9557,1737809920,7976333312,777957376,766340768,,,0,0
