timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784684580.6501,0.5,0.1,0.4,0.0,3354.0,45.6,,0.64,0.91,0.98,1418,3,0
1784684581.6512,3.1,2.3,0.8,0.1,3354.0,46.6,,0.64,0.91,0.98,2446,2,0
1784684582.6522,5.6,4.7,0.9,0.1,3354.0,48.1,,0.75,0.93,0.98,2585,2,0
1784684583.6535,5.5,1.7,3.8,0.0,3354.0,48.6,,0.75,0.93,0.98,2448,4,0
1784684584.6544,5.4,1.7,3.8,0.0,3354.0,48.7,,0.75,0.93,0.98,2502,4,0
1784684585.6553,5.5,1.6,3.9,0.0,3354.0,48.9,,0.75,0.93,0.98,2430,2,0
1784684586.6561,5.5,1.7,3.9,0.0,3354.0,49.1,,0.75,0.93,0.98,2513,2,0
1784684587.657,5.4,1.7,3.7,0.0,3354.0,49.1,,0.77,0.93,0.98,2370,3,0
1784684588.6583,5.4,1.8,3.6,0.0,3354.0,49.3,,0.77,0.93,0.98,2436,2,0
1784684589.6592,5.5,1.8,3.7,0.0,3354.0,49.4,,0.77,0.93,0.98,2395,2,0
1784684590.6601,5.5,1.7,3.8,0.0,3354.0,49.6,,0.77,0.93,0.98,2614,2,0
1784684591.6615,5.5,1.7,3.8,0.0,3354.0,49.7,,0.77,0.93,0.98,2583,2,0
1784684592.6624,5.5,1.7,3.8,0.0,3354.0,49.7,,0.79,0.93,0.98,2409,2,0
1784684593.6633,5.6,1.7,3.9,0.0,3354.0,49.7,,0.79,0.93,0.98,2461,2,0
1784684594.6641,5.4,1.6,3.8,0.0,3354.0,49.8,,0.79,0.93,0.98,2610,2,0
1784684595.665,5.4,1.6,3.8,0.0,3354.0,49.7,,0.79,0.93,0.98,2369,3,0
1784684596.6659,5.4,1.7,3.7,0.0,3354.0,49.7,,0.79,0.93,0.98,2319,2,0
1784684597.667,5.4,1.7,3.8,0.0,3354.0,49.8,,0.8,0.94,0.98,2413,2,0
1784684598.6678,5.4,1.6,3.9,0.0,3354.0,49.8,,0.8,0.94,0.98,2409,2,0
1784684599.6687,5.4,1.6,3.9,0.0,3354.0,49.8,,0.8,0.94,0.98,2475,2,0
1784684600.6696,5.5,1.8,3.8,0.0,3354.0,49.8,,0.8,0.94,0.98,2453,2,0
1784684601.6704,5.4,1.5,3.9,0.0,3354.0,49.8,,0.8,0.94,0.98,2504,2,0
1784684602.6712,5.6,1.7,3.9,0.0,3354.0,49.9,,0.82,0.94,0.98,2567,3,0
1784684603.6721,5.4,1.6,3.9,0.0,3354.0,50.0,,0.82,0.94,0.98,2367,2,0
1784684604.6731,5.3,1.5,3.8,0.0,3354.0,49.9,,0.82,0.94,0.98,2273,2,0
1784684605.6743,5.5,1.7,3.9,0.0,3354.0,50.0,,0.82,0.94,0.98,2398,2,0
1784684606.6751,5.5,1.6,3.9,0.0,3354.0,50.0,,0.82,0.94,0.98,2496,2,0
1784684607.676,5.4,1.7,3.8,0.0,3354.0,50.1,,0.83,0.94,0.98,2425,3,0
1784684608.677,5.4,1.7,3.8,0.0,3354.0,50.2,,0.83,0.94,0.98,2482,2,0
1784684609.6778,5.5,1.6,3.9,0.0,3354.0,50.2,,0.83,0.94,0.98,2457,2,0
1784684610.6786,5.4,1.8,3.7,0.0,3354.0,50.2,,0.83,0.94,0.98,2488,2,0
1784684611.6795,5.6,1.7,3.8,0.1,3354.0,50.4,,0.83,0.94,0.98,2488,2,0
1784684612.6803,5.3,1.6,3.7,0.0,3354.0,50.4,,0.85,0.94,0.99,2310,2,0
1784684613.6813,5.5,1.6,3.9,0.0,3354.0,50.5,,0.85,0.94,0.99,2450,2,0
1784684614.6821,5.5,1.5,4.0,0.0,3354.0,50.5,,0.85,0.94,0.99,2483,2,0
1784684615.683,5.5,1.7,3.9,0.0,3354.0,50.6,,0.85,0.94,0.99,2531,2,0
1784684616.6838,5.4,1.7,3.7,0.0,3354.0,50.7,,0.85,0.94,0.99,2521,2,0
1784684617.6847,5.6,1.9,3.7,0.0,3354.0,50.7,,0.86,0.94,0.99,2524,3,0
1784684618.6855,5.5,1.7,3.8,0.0,3354.0,50.7,,0.86,0.94,0.99,2517,2,0
1784684619.6865,5.5,1.7,3.9,0.0,3354.0,50.7,,0.86,0.94,0.99,2431,2,0
1784684620.6873,5.3,1.7,3.7,0.0,3354.0,50.7,,0.86,0.94,0.99,2288,2,0
1784684621.6882,5.4,1.6,3.8,0.0,3354.0,50.7,,0.86,0.94,0.99,2499,2,0
1784684622.6892,5.5,1.9,3.6,0.0,3354.0,50.7,,1.03,0.98,1.0,2526,2,0
1784684623.6902,5.6,5.2,0.4,0.0,3354.0,50.8,,1.03,0.98,1.0,2454,2,0
1784684624.6918,5.4,4.3,1.1,0.0,3354.0,50.0,,1.03,0.98,1.0,2761,2,0
1784684625.693,5.4,4.5,0.9,0.0,3354.0,50.4,,1.03,0.98,1.0,2436,2,0
1784684626.6945,5.4,1.6,3.8,0.0,3354.0,50.8,,1.03,0.98,1.0,2654,2,0
1784684627.6957,5.5,1.6,3.9,0.0,3354.0,51.1,,1.03,0.98,1.0,2432,2,0
1784684628.6965,5.3,1.6,3.7,0.0,3354.0,51.1,,1.03,0.98,1.0,2461,3,0
1784684629.6979,5.3,1.5,3.8,0.0,3354.0,51.2,,1.03,0.98,1.0,2320,2,0
1784684630.6992,5.5,1.6,3.8,0.1,3354.0,51.2,,1.03,0.98,1.0,2489,2,0
1784684631.7007,5.4,1.5,3.9,0.0,3354.0,51.3,,1.03,0.98,1.0,2434,2,0
