timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784694893.0584,0.5,0.1,0.3,0.0,3354.0,41.9,,0.7,0.93,0.97,1447,3,0
1784694894.06,3.0,2.3,0.7,0.0,3354.0,42.9,,0.72,0.93,0.97,2572,2,0
1784694895.0619,5.5,5.0,0.5,0.0,3354.0,44.3,,0.72,0.93,0.97,2830,2,0
1784694896.0639,5.6,5.1,0.5,0.0,3354.0,44.9,,0.72,0.93,0.97,2784,2,0
1784694897.0661,5.5,5.1,0.5,0.0,3354.0,45.1,,0.72,0.93,0.97,2735,3,0
1784694898.068,5.6,5.0,0.6,0.1,3354.0,45.3,,0.72,0.93,0.97,2850,2,0
1784694899.0697,5.3,4.3,1.0,0.0,3354.0,44.4,,0.74,0.94,0.97,3053,3,0
1784694900.071,5.4,4.9,0.5,0.0,3354.0,45.2,,0.74,0.94,0.97,2688,2,0
1784694901.0727,5.6,5.1,0.5,0.0,3354.0,45.8,,0.74,0.94,0.97,2829,2,0
1784694902.0744,5.5,5.0,0.5,0.0,3354.0,46.1,,0.74,0.94,0.97,2954,2,0
1784694903.0758,5.4,5.0,0.5,0.0,3354.0,46.2,,0.74,0.94,0.97,2795,2,0
1784694904.0771,5.5,4.3,1.1,0.1,3354.0,45.9,,0.92,0.97,0.99,3065,2,0
1784694905.079,5.5,5.0,0.6,0.0,3354.0,46.1,,0.92,0.97,0.99,2840,2,0
1784694906.0807,5.6,5.0,0.6,0.1,3354.0,46.3,,0.92,0.97,0.99,2850,2,0
1784694907.0821,5.6,5.0,0.6,0.0,3354.0,46.3,,0.92,0.97,0.99,2848,3,0
1784694908.0837,5.4,5.0,0.4,0.0,3354.0,46.3,,0.92,0.97,0.99,2721,2,0
1784694909.0854,5.5,4.9,0.6,0.0,3354.0,46.2,,1.01,0.99,0.99,2897,2,0
1784694910.0871,5.3,4.3,1.1,0.0,3354.0,46.1,,1.01,0.99,0.99,3006,2,0
1784694911.0886,5.6,5.0,0.6,0.0,3354.0,46.2,,1.01,0.99,0.99,2833,2,0
1784694912.0905,5.5,5.0,0.6,0.0,3354.0,46.3,,1.01,0.99,0.99,2801,2,0
1784694913.0924,5.6,5.0,0.6,0.0,3354.0,46.4,,1.01,0.99,0.99,2759,3,0
1784694914.0939,5.5,4.9,0.6,0.0,3354.0,46.3,,1.01,0.99,0.99,2778,2,0
1784694915.0954,5.5,4.2,1.2,0.2,3354.0,46.2,,1.01,0.99,0.99,3039,3,0
1784694916.097,5.4,4.9,0.5,0.0,3354.0,46.4,,1.01,0.99,0.99,2666,2,0
1784694917.0988,5.5,5.0,0.5,0.0,3354.0,46.4,,1.01,0.99,0.99,2703,2,0
1784694918.1006,5.5,5.0,0.5,0.0,3354.0,46.5,,1.01,0.99,0.99,2793,2,0
1784694919.102,5.6,5.1,0.5,0.0,3354.0,46.6,,1.01,0.99,0.99,2761,2,0
1784694920.104,5.5,4.3,1.1,0.1,3354.0,45.0,,1.01,0.99,0.99,3088,2,0
