timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784664729.0045,2332,0,0,0,0,0
1784664729.5049,16224,0,0,0,0,0
1784664730.0055,564168,0,0,0,0,0
1784664730.5062,174,0,0,0,0,0
1784664731.0064,2301,0,0,0,0,0
1784664731.507,2295,0,0,0,0,0
1784664732.0073,2313,0,0,0,0,0
1784664732.5079,2307,0,0,0,0,0
1784664733.0081,2317,0,0,0,0,0
1784664733.5085,2340,0,0,0,0,0
1784664734.0087,2335,0,0,0,0,0
1784664734.5094,2347,0,0,0,0,0
1784664735.0099,2366,0,0,0,0,0
1784664735.5105,2389,0,0,0,0,0
1784664736.0109,2446,0,0,0,0,0
1784664736.5115,2637,0,0,0,0,0
1784664737.0127,87632,0,0,0,0,0
1784664737.5132,479332,0,0,0,0,0
1784664738.0135,1235,0,0,0,0,0
1784664738.5139,1115,0,0,0,0,0
1784664739.0146,2301,0,0,0,0,0
1784664739.5152,2303,0,0,0,0,0
1784664740.0156,2306,0,0,0,0,0
1784664740.5164,2315,0,0,0,0,0
1784664741.0169,2383,0,0,0,0,0
1784664741.5174,2336,0,0,0,0,0
1784664742.0177,2340,0,0,0,0,0
1784664742.5181,2356,0,0,0,0,0
1784664743.0189,2390,0,0,0,0,0
1784664743.5195,2459,0,0,0,0,0
1784664744.0197,2587,0,0,0,0,0
1784664744.5205,68512,0,0,0,0,0
1784664745.0209,498709,0,0,0,0,0
1784664745.5212,2296,0,0,0,0,0
1784664746.0216,1373,0,0,0,0,0
1784664746.5222,985,0,0,0,0,0
1784664747.0227,2306,0,0,0,0,0
1784664747.5233,2307,0,0,0,0,0
1784664748.0236,2314,0,0,0,0,0
1784664748.5242,2345,0,0,0,0,0
1784664749.0248,2329,0,0,0,0,0
1784664749.5255,2341,0,0,0,0,0
1784664750.026,2351,0,0,0,0,0
1784664750.5266,2385,0,0,0,0,0
1784664751.0271,2459,0,0,0,0,0
1784664751.5279,2580,0,0,0,0,0
1784664752.0283,70499,0,0,0,0,0
1784664752.5289,496571,0,0,0,0,0
1784664753.0293,2290,0,0,0,0,0
1784664753.5295,2299,0,0,0,0,0
1784664754.0299,2304,0,0,0,0,0
1784664754.5301,742,0,0,0,0,0
1784664755.0307,1626,0,0,0,0,0
1784664755.5313,2318,0,0,0,0,0
1784664756.0316,2350,0,0,0,0,0
1784664756.5323,2327,0,0,0,0,0
1784664757.0329,2349,0,0,0,0,0
1784664757.5334,2361,0,0,0,0,0
1784664758.034,2387,0,0,0,0,0
