timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784704449.9114,2233,0,0,0,0,0
1784704450.4122,18766,0,0,0,0,0
1784704450.9136,40313,0,0,0,0,0
1784704451.4142,2239,0,0,0,0,0
1784704451.915,2246,0,0,0,0,0
1784704452.4153,2247,0,0,0,0,0
1784704452.9156,2251,0,0,0,0,0
1784704453.4158,1947,0,0,0,0,0
1784704453.9168,329,0,0,0,0,0
1784704454.417,2241,0,0,0,0,0
1784704454.9176,2313,0,0,0,0,0
1784704455.4182,2237,0,0,0,0,0
1784704455.9187,2310,0,0,0,0,0
1784704456.4193,3697,0,0,0,0,0
1784704456.9204,2245,0,0,0,0,0
1784704457.4211,2365,0,0,0,0,0
1784704457.9214,2238,0,0,0,0,0
1784704458.4218,2244,0,0,0,0,0
1784704458.9224,2247,0,0,0,0,0
1784704459.4226,2241,0,0,0,0,0
1784704459.923,2238,0,0,0,0,0
1784704460.4233,2503,0,0,0,0,0
1784704460.9235,2241,0,0,0,0,0
1784704461.4238,2245,0,0,0,0,0
1784704461.924,2129,0,0,0,0,0
1784704462.4243,116,0,0,0,0,0
1784704462.9247,2238,0,0,0,0,0
1784704463.4253,2237,0,0,0,0,0
1784704463.9257,2244,0,0,0,0,0
1784704464.4263,2241,0,0,0,0,0
1784704464.9265,2241,0,0,0,0,0
1784704465.4271,2243,0,0,0,0,0
1784704465.9275,2750,0,0,0,0,0
1784704466.4282,2241,0,0,0,0,0
1784704466.9286,2238,0,0,0,0,0
1784704467.4289,2247,0,0,0,0,0
1784704467.9295,2233,0,0,0,0,0
1784704468.4301,2241,0,0,0,0,0
1784704468.9309,2238,0,0,0,0,0
1784704469.4315,2243,0,0,0,0,0
1784704469.9318,2237,0,0,0,0,0
1784704470.4321,2244,0,0,0,0,0
1784704470.9324,1313,0,0,0,0,0
1784704471.4327,931,0,0,0,0,0
1784704471.9333,2235,0,0,0,0,0
1784704472.4336,2243,0,0,0,0,0
1784704472.9339,2240,0,0,0,0,0
1784704473.4342,2241,0,0,0,0,0
1784704473.9344,2245,0,0,0,0,0
1784704474.435,2241,0,0,0,0,0
1784704474.9356,2241,0,0,0,0,0
1784704475.4362,40466,0,0,0,0,0
1784704475.9366,2246,0,0,0,0,0
1784704476.437,2244,0,0,0,0,0
1784704476.9378,2240,0,0,0,0,0
1784704477.4381,2249,0,0,0,0,0
1784704477.9384,2249,0,0,0,0,0
1784704478.4393,2242,0,0,0,0,0
1784704478.9396,2293,0,0,0,0,0
1784704479.44,2202,0,0,0,0,0
1784704479.9407,76,0,0,0,0,0
1784704480.441,2303,0,0,0,0,0
1784704480.9413,2239,0,0,0,0,0
1784704481.4424,2235,0,0,0,0,0
1784704481.9435,2365,0,0,0,0,0
1784704482.4443,2238,0,0,0,0,0
1784704482.9454,2243,0,0,0,0,0
1784704483.446,2239,0,0,0,0,0
1784704483.9471,2233,0,0,0,0,0
1784704484.4481,2239,0,0,0,0,0
1784704484.9489,2494,0,0,0,0,0
