timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784702171.0912,2269,0,0,0,0,0
1784702171.5918,16564,0,0,0,0,0
1784702172.0921,57676,0,0,0,0,0
1784702172.5924,2574,0,0,0,0,0
1784702173.0927,2494,0,0,0,0,0
1784702173.593,2449,0,0,0,0,0
1784702174.0933,2423,0,0,0,0,0
1784702174.5935,2441,0,0,0,0,0
1784702175.0941,3881,0,0,0,0,0
1784702175.5945,2382,0,0,0,0,0
1784702176.0948,2298,0,0,0,0,0
1784702176.5954,206,0,0,0,0,0
1784702177.096,2357,0,0,0,0,0
1784702177.5966,2355,0,0,0,0,0
1784702178.0973,2355,0,0,0,0,0
1784702178.5979,2343,0,0,0,0,0
1784702179.0982,2339,0,0,0,0,0
1784702179.5988,2343,0,0,0,0,0
1784702180.099,2335,0,0,0,0,0
1784702180.5994,2356,0,0,0,0,0
1784702181.0996,2331,0,0,0,0,0
1784702181.5999,2331,0,0,0,0,0
1784702182.1002,2331,0,0,0,0,0
1784702182.6004,2327,0,0,0,0,0
1784702183.1007,2325,0,0,0,0,0
1784702183.6012,2324,0,0,0,0,0
1784702184.1015,2319,0,0,0,0,0
1784702184.6018,2317,0,0,0,0,0
1784702185.102,1409,0,0,0,0,0
1784702185.6023,989,0,0,0,0,0
1784702186.1026,2309,0,0,0,0,0
1784702186.6029,2355,0,0,0,0,0
1784702187.1031,2313,0,0,0,0,0
1784702187.6034,2313,0,0,0,0,0
1784702188.1037,2309,0,0,0,0,0
1784702188.6039,2311,0,0,0,0,0
1784702189.1042,2315,0,0,0,0,0
1784702189.6048,2331,0,0,0,0,0
1784702190.1051,2305,0,0,0,0,0
1784702190.6053,2307,0,0,0,0,0
1784702191.1057,2307,0,0,0,0,0
1784702191.6059,2305,0,0,0,0,0
1784702192.1062,2301,0,0,0,0,0
1784702192.6064,2303,0,0,0,0,0
1784702193.1067,2305,0,0,0,0,0
1784702193.607,2303,0,0,0,0,0
1784702194.1072,2135,0,0,0,0,0
1784702194.6078,220,0,0,0,0,0
1784702195.1081,2303,0,0,0,0,0
1784702195.6087,2359,0,0,0,0,0
1784702196.1093,2245,0,0,0,0,0
1784702196.6096,2289,0,0,0,0,0
1784702197.1098,2299,0,0,0,0,0
1784702197.6101,2297,0,0,0,0,0
1784702198.1104,2293,0,0,0,0,0
1784702198.6106,2291,0,0,0,0,0
1784702199.1109,2293,0,0,0,0,0
1784702199.6112,2295,0,0,0,0,0
1784702200.1114,2293,0,0,0,0,0
1784702200.6117,2291,0,0,0,0,0
1784702201.1119,2297,0,0,0,0,0
1784702201.6122,2303,0,0,0,0,0
1784702202.1126,2322,0,0,0,0,0
1784702202.6129,2290,0,0,0,0,0
1784702203.1133,1367,0,0,0,0,0
1784702203.6135,974,0,0,0,0,0
1784702204.1138,2291,0,0,0,0,0
1784702204.6141,2283,0,0,0,0,0
1784702205.1143,2293,0,0,0,0,0
1784702205.6146,2285,0,0,0,0,0
1784702206.1148,2289,0,0,0,0,0
1784702206.6151,2287,0,0,0,0,0
1784702207.1154,2287,0,0,0,0,0
1784702207.6158,2288,0,0,0,0,0
1784702208.116,2285,0,0,0,0,0
1784702208.6164,2286,0,0,0,0,0
1784702209.1167,2295,0,0,0,0,0
1784702209.6169,2283,0,0,0,0,0
1784702210.1178,2284,0,0,0,0,0
1784702210.618,2331,0,0,0,0,0
1784702211.1183,2289,0,0,0,0,0
1784702211.6185,1371,0,0,0,0,0
1784702212.1188,959,0,0,0,0,0
1784702212.6191,2291,0,0,0,0,0
1784702213.1193,2283,0,0,0,0,0
1784702213.6196,2283,0,0,0,0,0
1784702214.1199,2283,0,0,0,0,0
1784702214.6201,2285,0,0,0,0,0
1784702215.1207,2291,0,0,0,0,0
1784702215.6213,2293,0,0,0,0,0
1784702216.1219,2283,0,0,0,0,0
1784702216.6222,2281,0,0,0,0,0
1784702217.1227,2284,0,0,0,0,0
1784702217.6229,2299,0,0,0,0,0
1784702218.1237,2281,0,0,0,0,0
1784702218.6239,2281,0,0,0,0,0
1784702219.1242,2281,0,0,0,0,0
1784702219.6244,684,0,0,0,0,0
1784702220.1247,1639,0,0,0,0,0
1784702220.625,2281,0,0,0,0,0
1784702221.1252,2293,0,0,0,0,0
1784702221.6257,2280,0,0,0,0,0
1784702222.1259,2275,0,0,0,0,0
1784702222.6265,2319,0,0,0,0,0
1784702223.1268,2279,0,0,0,0,0
1784702223.627,2277,0,0,0,0,0
1784702224.1273,2277,0,0,0,0,0
1784702224.6276,2285,0,0,0,0,0
1784702225.1278,2279,0,0,0,0,0
1784702225.6281,2281,0,0,0,0,0
1784702226.1284,2287,0,0,0,0,0
1784702226.629,2273,0,0,0,0,0
1784702227.1293,2278,0,0,0,0,0
1784702227.6299,2283,0,0,0,0,0
1784702228.1303,2278,0,0,0,0,0
1784702228.6305,1553,0,0,0,0,0
1784702229.1308,758,0,0,0,0,0
1784702229.6314,2279,0,0,0,0,0
1784702230.132,2277,0,0,0,0,0
1784702230.6326,2283,0,0,0,0,0
1784702231.1328,2275,0,0,0,0,0
1784702231.6331,2273,0,0,0,0,0
1784702232.1337,2273,0,0,0,0,0
1784702232.6343,2271,0,0,0,0,0
1784702233.1347,2286,0,0,0,0,0
1784702233.635,2273,0,0,0,0,0
1784702234.1352,2275,0,0,0,0,0
1784702234.6357,2316,0,0,0,0,0
1784702235.1363,3737,0,0,0,0,0
1784702235.6367,2286,0,0,0,0,0
1784702236.1373,2287,0,0,0,0,0
1784702236.6376,2279,0,0,0,0,0
1784702237.1378,1347,0,0,0,0,0
1784702237.6381,964,0,0,0,0,0
1784702238.1383,2279,0,0,0,0,0
1784702238.6386,2273,0,0,0,0,0
1784702239.1388,2269,0,0,0,0,0
1784702239.6394,2277,0,0,0,0,0
1784702240.1402,2276,0,0,0,0,0
1784702240.6405,2277,0,0,0,0,0
1784702241.1408,2279,0,0,0,0,0
1784702241.641,2271,0,0,0,0,0
1784702242.1413,2277,0,0,0,0,0
1784702242.6415,2279,0,0,0,0,0
1784702243.1421,2279,0,0,0,0,0
1784702243.6427,2279,0,0,0,0,0
1784702244.143,2275,0,0,0,0,0
1784702244.6432,2275,0,0,0,0,0
1784702245.1437,2282,0,0,0,0,0
1784702245.6439,2275,0,0,0,0,0
1784702246.1442,2275,0,0,0,0,0
1784702246.6444,1393,0,0,0,0,0
1784702247.145,951,0,0,0,0,0
1784702247.6453,2275,0,0,0,0,0
1784702248.1455,2275,0,0,0,0,0
1784702248.6458,2275,0,0,0,0,0
1784702249.146,2275,0,0,0,0,0
1784702249.6463,2273,0,0,0,0,0
1784702250.1465,2271,0,0,0,0,0
1784702250.6468,2269,0,0,0,0,0
1784702251.1474,2269,0,0,0,0,0
1784702251.6476,2287,0,0,0,0,0
1784702252.1479,2271,0,0,0,0,0
1784702252.6481,2277,0,0,0,0,0
1784702253.1484,2271,0,0,0,0,0
1784702253.6486,2269,0,0,0,0,0
1784702254.1488,2271,0,0,0,0,0
1784702254.6494,2269,0,0,0,0,0
1784702255.1497,2275,0,0,0,0,0
1784702255.6499,2273,0,0,0,0,0
1784702256.1502,2235,0,0,0,0,0
1784702256.6508,66,0,0,0,0,0
1784702257.1514,2279,0,0,0,0,0
1784702257.6518,2276,0,0,0,0,0
1784702258.152,2271,0,0,0,0,0
1784702258.6523,2271,0,0,0,0,0
1784702259.1525,2275,0,0,0,0,0
1784702259.6528,2275,0,0,0,0,0
1784702260.1534,2269,0,0,0,0,0
1784702260.6539,2265,0,0,0,0,0
1784702261.1545,2271,0,0,0,0,0
1784702261.6548,2273,0,0,0,0,0
1784702262.1554,2271,0,0,0,0,0
1784702262.6556,2271,0,0,0,0,0
1784702263.1559,2277,0,0,0,0,0
1784702263.6565,2267,0,0,0,0,0
1784702264.1567,2273,0,0,0,0,0
1784702264.6571,2270,0,0,0,0,0
1784702265.1574,2272,0,0,0,0,0
1784702265.6578,1343,0,0,0,0,0
1784702266.1583,959,0,0,0,0,0
1784702266.6587,2271,0,0,0,0,0
1784702267.1593,2269,0,0,0,0,0
1784702267.6597,2272,0,0,0,0,0
1784702268.1599,2271,0,0,0,0,0
1784702268.6602,2269,0,0,0,0,0
1784702269.1605,2275,0,0,0,0,0
1784702269.6608,2257,0,0,0,0,0
1784702270.1611,2239,0,0,0,0,0
1784702270.6613,2251,0,0,0,0,0
1784702271.1616,2243,0,0,0,0,0
1784702271.6618,2241,0,0,0,0,0
1784702272.1621,2245,0,0,0,0,0
1784702272.6623,2251,0,0,0,0,0
1784702273.1626,2245,0,0,0,0,0
1784702273.6629,2239,0,0,0,0,0
1784702274.1632,2243,0,0,0,0,0
1784702274.6635,2111,0,0,0,0,0
1784702275.1637,134,0,0,0,0,0
1784702275.664,2245,0,0,0,0,0
1784702276.1646,2237,0,0,0,0,0
1784702276.6652,2281,0,0,0,0,0
1784702277.1658,2237,0,0,0,0,0
1784702277.6664,2247,0,0,0,0,0
1784702278.167,2247,0,0,0,0,0
1784702278.6676,2247,0,0,0,0,0
1784702279.1679,2248,0,0,0,0,0
1784702279.6682,2241,0,0,0,0,0
1784702280.1685,2253,0,0,0,0,0
1784702280.6691,2239,0,0,0,0,0
1784702281.1697,2239,0,0,0,0,0
1784702281.6701,2250,0,0,0,0,0
1784702282.1703,2243,0,0,0,0,0
1784702282.6706,2241,0,0,0,0,0
1784702283.1709,2241,0,0,0,0,0
1784702283.6712,2233,0,0,0,0,0
1784702284.1714,10,0,0,0,0,0
1784702284.6717,2241,0,0,0,0,0
1784702285.1719,2241,0,0,0,0,0
1784702285.6725,2237,0,0,0,0,0
1784702286.1728,2251,0,0,0,0,0
1784702286.6734,2239,0,0,0,0,0
1784702287.1736,2249,0,0,0,0,0
1784702287.6742,2249,0,0,0,0,0
1784702288.1745,2245,0,0,0,0,0
1784702288.6747,2293,0,0,0,0,0
1784702289.1754,2239,0,0,0,0,0
1784702289.6756,2245,0,0,0,0,0
1784702290.1759,2241,0,0,0,0,0
1784702290.6761,2243,0,0,0,0,0
1784702291.1764,2245,0,0,0,0,0
