timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1784688529.1636,0.5,0.2,0.3,0.0,3354.0,42.2,,0.75,0.91,0.97,1432,3,0
1784688530.1649,3.1,2.4,0.8,0.0,3354.0,43.2,,0.75,0.91,0.97,2197,2,0
1784688531.1663,5.5,4.7,0.8,0.0,3354.0,44.6,,0.75,0.91,0.97,2420,2,0
1784688532.1676,5.6,4.8,0.8,0.1,3354.0,45.3,,0.75,0.91,0.97,2509,2,0
1784688533.1686,5.5,4.7,0.9,0.0,3354.0,45.6,,0.77,0.91,0.97,2383,2,0
1784688534.17,5.5,4.7,0.8,0.0,3354.0,45.7,,0.77,0.91,0.97,2670,2,0
1784688535.1711,5.5,4.7,0.8,0.0,3354.0,45.7,,0.77,0.91,0.97,2597,2,0
1784688536.1719,5.5,4.8,0.8,0.0,3354.0,45.7,,0.77,0.91,0.97,2418,2,0
1784688537.1729,5.4,4.7,0.7,0.0,3354.0,45.7,,0.77,0.91,0.97,2340,2,0
1784688538.1742,5.6,4.8,0.8,0.0,3354.0,45.8,,0.79,0.91,0.97,2489,2,0
1784688539.175,5.5,4.8,0.8,0.0,3354.0,45.8,,0.79,0.91,0.97,2550,2,0
1784688540.1762,5.5,4.8,0.7,0.1,3354.0,45.8,,0.79,0.91,0.97,2481,2,0
1784688541.1773,5.5,4.6,0.9,0.0,3354.0,45.8,,0.79,0.91,0.97,2411,2,0
1784688542.1785,5.5,4.8,0.8,0.0,3354.0,45.8,,0.79,0.91,0.97,2449,2,0
1784688543.1797,5.5,4.4,1.1,0.0,3354.0,44.7,,0.97,0.95,0.98,2558,2,0
1784688544.1805,5.5,5.1,0.4,0.0,3354.0,45.7,,0.97,0.95,0.98,2539,2,0
1784688545.1814,5.4,5.2,0.3,0.0,3354.0,46.2,,0.97,0.95,0.98,2414,3,0
1784688546.1825,5.5,5.2,0.3,0.0,3354.0,46.4,,0.97,0.95,0.98,2424,2,0
1784688547.1833,5.5,5.2,0.4,0.0,3354.0,46.5,,0.97,0.95,0.98,2603,2,0
1784688548.1843,5.6,5.2,0.4,0.0,3354.0,46.6,,0.97,0.95,0.98,2554,2,0
1784688549.1853,5.5,5.2,0.4,0.0,3354.0,46.6,,0.97,0.95,0.98,2480,2,0
1784688550.1868,5.4,5.1,0.3,0.0,3354.0,46.6,,0.97,0.95,0.98,2475,3,0
1784688551.1879,5.5,5.1,0.4,0.0,3354.0,46.6,,0.97,0.95,0.98,2581,2,0
1784688552.1887,5.5,5.2,0.4,0.0,3354.0,46.6,,0.97,0.95,0.98,2500,2,0
1784688553.1898,5.3,5.1,0.2,0.0,3354.0,46.6,,0.97,0.95,0.99,2366,2,0
1784688554.1909,5.5,5.2,0.3,0.0,3354.0,46.7,,0.97,0.95,0.99,2482,2,0
1784688555.1921,5.5,5.2,0.3,0.0,3354.0,46.7,,0.97,0.95,0.99,2604,2,0
1784688556.1934,5.5,5.2,0.3,0.0,3354.0,46.7,,0.97,0.95,0.99,2512,2,0
1784688557.1943,5.6,5.2,0.4,0.0,3354.0,46.7,,0.97,0.95,0.99,2568,2,0
1784688558.1952,5.5,5.2,0.3,0.0,3354.0,46.7,,0.97,0.95,0.99,2482,3,0
1784688559.1965,5.6,5.2,0.5,0.0,3354.0,46.7,,0.97,0.95,0.99,2607,2,0
1784688560.1973,5.4,5.1,0.3,0.0,3354.0,46.7,,0.97,0.95,0.99,2447,2,0
1784688561.1982,5.3,5.1,0.2,0.0,3354.0,46.7,,0.97,0.95,0.99,2344,2,0
1784688562.1995,5.4,5.1,0.3,0.0,3354.0,46.8,,0.97,0.95,0.99,2523,2,0
1784688563.2005,5.5,5.2,0.4,0.0,3354.0,46.8,,0.98,0.95,0.99,2530,2,0
1784688564.2019,5.6,5.2,0.4,0.0,3354.0,46.8,,0.98,0.95,0.99,2532,2,0
1784688565.2027,5.5,5.2,0.3,0.0,3354.0,46.9,,0.98,0.95,0.99,2474,2,0
1784688566.2039,5.6,4.9,0.7,0.0,3354.0,46.9,,0.98,0.95,0.99,2516,2,0
1784688567.2048,5.2,2.4,2.8,0.0,3354.0,45.5,,0.98,0.95,0.99,2950,2,0
1784688568.2056,5.4,4.7,0.7,0.0,3354.0,45.8,,0.98,0.95,0.99,2324,3,0
1784688569.2064,5.5,4.7,0.8,0.0,3354.0,46.1,,0.98,0.95,0.99,2470,2,0
1784688570.2075,5.5,4.7,0.8,0.0,3354.0,46.1,,0.98,0.95,0.99,2426,2,0
1784688571.2085,5.5,4.7,0.8,0.0,3354.0,46.1,,0.98,0.95,0.99,2473,3,0
1784688572.2095,5.6,4.6,0.9,0.1,3354.0,46.1,,0.98,0.95,0.99,2465,2,0
1784688573.2104,5.5,4.6,0.9,0.0,3354.0,46.2,,0.98,0.95,0.99,2491,2,0
1784688574.2113,5.6,4.7,0.9,0.0,3354.0,46.2,,0.98,0.95,0.99,2460,2,0
1784688575.2122,5.5,4.6,0.9,0.0,3354.0,46.1,,0.98,0.95,0.99,2457,2,0
1784688576.2131,5.3,4.6,0.7,0.0,3354.0,46.1,,0.98,0.95,0.99,2277,3,0
1784688577.214,5.5,4.8,0.8,0.0,3354.0,46.1,,0.98,0.95,0.99,2452,2,0
1784688578.2149,5.5,4.7,0.8,0.0,3354.0,46.1,,0.98,0.96,0.99,2428,2,0
1784688579.2157,5.6,4.7,0.9,0.0,3354.0,46.1,,0.98,0.96,0.99,2439,2,0
1784688580.2166,5.5,4.3,1.2,0.0,3354.0,46.0,,0.98,0.96,0.99,2682,2,0
1784688581.2175,5.5,5.2,0.3,0.0,3354.0,46.1,,0.98,0.96,0.99,2463,2,0
1784688582.2183,5.4,5.1,0.3,0.0,3354.0,46.1,,0.98,0.96,0.99,2395,2,0
1784688583.2191,5.5,5.2,0.4,0.0,3354.0,46.1,,0.98,0.96,0.99,2545,2,0
1784688584.2199,5.4,5.1,0.3,0.0,3354.0,46.2,,0.98,0.96,0.99,2425,4,0
1784688585.2208,5.4,5.2,0.3,0.0,3354.0,46.2,,0.98,0.96,0.99,2415,2,0
1784688586.2215,5.5,5.2,0.3,0.0,3354.0,46.2,,0.98,0.96,0.99,2494,2,0
1784688587.2223,5.4,5.1,0.3,0.0,3354.0,46.3,,0.98,0.96,0.99,2524,2,0
1784688588.223,5.5,5.1,0.4,0.0,3354.0,46.3,,0.99,0.96,0.99,2552,2,0
1784688589.2237,5.5,5.2,0.3,0.0,3354.0,46.4,,0.99,0.96,0.99,2534,2,0
1784688590.2245,5.4,5.1,0.3,0.0,3354.0,46.4,,0.99,0.96,0.99,2510,3,0
1784688591.2265,5.5,5.2,0.3,0.0,3354.0,46.4,,0.99,0.96,0.99,2539,2,0
1784688592.2278,5.4,5.2,0.3,0.0,3354.0,46.4,,0.99,0.96,0.99,2497,2,0
1784688593.2292,5.3,5.2,0.2,0.0,3354.0,46.4,,0.99,0.96,0.99,2297,3,0
1784688594.2307,5.4,5.2,0.3,0.0,3354.0,46.4,,0.99,0.96,0.99,2439,2,0
1784688595.2322,5.4,5.1,0.3,0.0,3354.0,46.4,,0.99,0.96,0.99,2523,2,0
1784688596.2336,5.4,5.1,0.3,0.0,3354.0,46.5,,0.99,0.96,0.99,2511,2,0
1784688597.2347,5.4,5.2,0.2,0.0,3354.0,46.5,,0.99,0.96,0.99,2513,2,0
1784688598.2362,5.5,5.1,0.4,0.0,3354.0,46.5,,0.99,0.96,0.99,2512,2,0
1784688599.2375,5.5,5.2,0.3,0.0,3354.0,46.6,,0.99,0.96,0.99,2484,2,0
1784688600.2391,5.4,5.1,0.3,0.0,3354.0,46.5,,0.99,0.96,0.99,2526,2,0
1784688601.2403,5.6,5.2,0.4,0.0,3354.0,46.6,,0.99,0.96,0.99,2578,2,0
1784688602.2417,5.4,5.1,0.2,0.1,3354.0,46.6,,0.99,0.96,0.99,2374,2,0
