timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784688834.1824,1536745472,7941328896,777568256,768359056,,,0,0
1784688835.1827,1723039744,7941328896,778788864,768684640,,,0,0
1784688836.1835,2030997504,7941328896,778981376,768520392,,,0,0
1784688837.1838,2341019648,7941328896,779575296,768515032,,,0,0
1784688838.1842,2653458432,7941328896,780189696,768523144,,,0,0
1784688839.1846,2966564864,7941337088,780804096,768515024,,,0,0
1784688840.1851,3278426112,7941337088,781410304,768511016,,,0,0
1784688841.1857,3593388032,7941337088,782020608,768509840,,,0,0
1784688842.1861,3906949120,7941337088,782647296,768512112,,,0,0
1784688843.1864,4217958400,7941337088,783634432,768693104,,,0,0
1784688844.1868,4458393600,7941337088,783712256,768511936,,,0,0
1784688845.1871,4843139072,7941337088,784461824,768500720,,,0,0
1784688846.1878,5153288192,7941337088,785076224,768516880,,,0,0
1784688847.1882,5467873280,7941337088,785686528,768518584,,,0,0
1784688848.1885,5594087424,7985573888,786673664,768753424,,,0,0
1784688849.1889,5594087424,7985573888,786677760,768745688,,,0,0
1784688850.1892,5594087424,7985573888,786677760,768740416,,,0,0
1784688851.1895,5594087424,7985573888,786882560,768891272,,,0,0
1784688852.1898,5594087424,7985573888,786644992,768775832,,,0,0
1784688853.1901,5593948160,7985573888,786661376,768770808,,,0,0
1784688854.1904,5593948160,7985573888,786665472,768782224,,,0,0
1784688855.1911,5593948160,7985573888,786669568,768782680,,,0,0
1784688856.1919,5625348096,7985594368,787025920,768898008,,,0,0
1784688857.1929,5626580992,7985594368,787017728,768905392,,,0,0
1784688858.1931,5593948160,7985582080,786669568,768794208,,,0,0
1784688859.1933,5593948160,7985582080,786821120,768865584,,,0,0
1784688860.1939,5593948160,7985582080,786661376,768787160,,,0,0
1784688861.1942,5594030080,7985582080,786681856,768786064,,,0,0
1784688862.1943,5594030080,7985590272,786862080,768898968,,,0,0
1784688863.1947,5594030080,7985590272,786673664,768789952,,,0,0
1784688864.1951,5594030080,7985590272,786669568,768794288,,,0,0
1784688865.1959,5594030080,7985590272,786681856,768783664,,,0,0
1784688866.1961,5594030080,7985590272,786677760,768796032,,,0,0
1784688867.1963,5594263552,7985590272,787124224,768928336,,,0,0
1784688868.1966,5594030080,7985590272,786673664,768776928,,,0,0
1784688869.1968,5594030080,7985590272,786677760,768782320,,,0,0
1784688870.1971,5594030080,7985590272,786690048,768790112,,,0,0
1784688871.1975,5280833536,7985590272,786690048,768789896,,,0,0
1784688872.1982,1760825344,7941357568,778461184,768569864,,,0,0
1784688873.1985,2067832832,7941357568,779063296,768558992,,,0,0
1784688874.1993,2372349952,7941357568,779665408,768554784,,,0,0
1784688875.1996,2681065472,7941357568,780283904,768584432,,,0,0
1784688876.2,2987159552,7941357568,780869632,768577848,,,0,0
1784688877.2009,3293331456,7941357568,781451264,768560520,,,0,0
1784688878.2016,3603750912,7941361664,782053376,768556576,,,0,0
1784688879.2025,3916435456,7941361664,782684160,768564144,,,0,0
1784688880.2031,4224221184,7941361664,783294464,768567024,,,0,0
1784688881.2035,4530393088,7941361664,783888384,768565728,,,0,0
1784688882.2038,4839084032,7941361664,784494592,768567144,,,0,0
1784688883.204,5150982144,7941361664,785096704,768567688,,,0,0
1784688884.2044,5464436736,7941361664,786075648,768670904,,,0,0
1784688885.2047,5594062848,7985598464,786673664,768784008,,,0,0
