timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1784681810.6066,101387,0,0,0,0,0
1784681811.1074,18101,0,0,0,0,0
1784681811.6079,564163,0,0,0,0,0
1784681812.1086,535977,0,0,0,0,0
1784681812.6094,815017,0,0,0,0,0
1784681813.1099,989892,0,0,0,0,0
1784681813.6105,901534,0,0,0,0,0
1784681814.111,995014,0,0,0,0,0
1784681814.6118,488757,0,0,0,0,0
1784681815.1125,2307,0,0,0,0,0
1784681815.6131,2243,0,0,0,0,0
1784681816.1134,2245,0,0,0,0,0
1784681816.6137,2179,0,0,0,0,0
1784681817.1143,104,0,0,0,0,0
1784681817.6149,2239,0,0,0,0,0
1784681818.1155,2235,0,0,0,0,0
1784681818.6158,2243,0,0,0,0,0
1784681819.116,2247,0,0,0,0,0
1784681819.6166,2245,0,0,0,0,0
1784681820.1168,2241,0,0,0,0,0
1784681820.617,2243,0,0,0,0,0
1784681821.1176,3702,0,0,0,0,0
1784681821.6183,2249,0,0,0,0,0
1784681822.1185,2247,0,0,0,0,0
1784681822.6191,2241,0,0,0,0,0
1784681823.1193,2243,0,0,0,0,0
1784681823.6196,2249,0,0,0,0,0
1784681824.1198,2241,0,0,0,0,0
1784681824.62,2241,0,0,0,0,0
1784681825.1203,1165,0,0,0,0,0
1784681825.6207,1071,0,0,0,0,0
1784681826.1213,2237,0,0,0,0,0
1784681826.6217,2246,0,0,0,0,0
1784681827.122,2247,0,0,0,0,0
1784681827.6226,2245,0,0,0,0,0
1784681828.1233,2245,0,0,0,0,0
1784681828.6237,2278,0,0,0,0,0
1784681829.1243,2237,0,0,0,0,0
1784681829.6249,2243,0,0,0,0,0
1784681830.1255,2239,0,0,0,0,0
1784681830.6259,2240,0,0,0,0,0
1784681831.1265,2243,0,0,0,0,0
1784681831.627,2242,0,0,0,0,0
1784681832.1272,2241,0,0,0,0,0
1784681832.6274,2173,0,0,0,0,0
1784681833.1277,68,0,0,0,0,0
1784681833.6279,2243,0,0,0,0,0
1784681834.1281,2245,0,0,0,0,0
1784681834.6285,2241,0,0,0,0,0
1784681835.1288,2239,0,0,0,0,0
1784681835.6291,2245,0,0,0,0,0
1784681836.1294,2237,0,0,0,0,0
1784681836.6298,376200,0,0,0,0,0
1784681837.1305,152061,0,0,0,0,0
1784681837.6309,2244,0,0,0,0,0
1784681838.1312,2241,0,0,0,0,0
1784681838.6315,564447,0,0,0,0,0
1784681839.132,417893,0,0,0,0,0
1784681839.6327,796562,0,0,0,0,0
1784681840.1332,798659,0,0,0,0,0
1784681840.6335,797043,0,0,0,0,0
1784681841.1343,796529,0,0,0,0,0
1784681841.635,797405,0,0,0,0,0
1784681842.1356,322357,0,0,0,0,0
1784681842.6363,2301,0,0,0,0,0
1784681843.1368,2236,0,0,0,0,0
1784681843.6374,2235,0,0,0,0,0
1784681844.138,2237,0,0,0,0,0
1784681844.6386,2235,0,0,0,0,0
1784681845.1392,2241,0,0,0,0,0
1784681845.6398,2241,0,0,0,0,0
1784681846.1404,2239,0,0,0,0,0
1784681846.6407,2236,0,0,0,0,0
1784681847.1414,2235,0,0,0,0,0
1784681847.6416,2239,0,0,0,0,0
1784681848.1419,2238,0,0,0,0,0
1784681848.6425,679,0,0,0,0,0
1784681849.1433,1562,0,0,0,0,0
1784681849.6435,2239,0,0,0,0,0
1784681850.1437,2243,0,0,0,0,0
1784681850.6441,2240,0,0,0,0,0
1784681851.1443,2251,0,0,0,0,0
1784681851.6446,2239,0,0,0,0,0
1784681852.1452,2241,0,0,0,0,0
1784681852.6458,2277,0,0,0,0,0
1784681853.1464,2237,0,0,0,0,0
1784681853.6468,2242,0,0,0,0,0
