timestamp_unix,cgroup_mem_anon_bytes,cgroup_mem_file_bytes,cgroup_mem_kernel_bytes,cgroup_mem_slab_bytes,cgroup_mem_swap_bytes,cgroup_mem_workingset_refault,cgroup_mem_kswapd_steal,cgroup_mem_direct_reclaim_steal
1784683039.6996,1537228800,7931138048,776114176,765592616,,,0,0
1784683040.7002,2667134976,7975374848,779497472,765971016,,,0,0
1784683041.7008,5508759552,7975383040,785063936,765965624,,,0,0
1784683042.7011,9327218688,7975383040,792592384,766017488,,,0,0
1784683043.702,12330815488,7975383040,798420992,765971120,,,0,0
1784683044.7023,12330926080,7975383040,798416896,765975032,,,0,0
1784683045.7028,12330917888,7975383040,798416896,765975184,,,0,0
1784683046.703,12331003904,7975383040,798404608,765974056,,,0,0
1784683047.7035,12331003904,7975383040,798396416,765967128,,,0,0
1784683048.7042,12331003904,7975391232,798416896,765969568,,,0,0
1784683049.7048,12331003904,7975391232,798420992,765975808,,,0,0
1784683050.7051,12331003904,7975391232,798429184,765967456,,,0,0
1784683051.7053,12331540480,7975391232,798760960,766041360,,,0,0
1784683052.7058,12331003904,7975391232,798408704,765967712,,,0,0
1784683053.7065,12331003904,7975391232,798420992,765975064,,,0,0
1784683054.7067,12331003904,7975391232,798400512,765967488,,,0,0
1784683055.7073,12331003904,7975391232,798396416,765960608,,,0,0
1784683056.7078,12331003904,7975391232,798425088,765979728,,,0,0
1784683057.7087,12330864640,7975391232,798400512,765974456,,,0,0
1784683058.7094,12330950656,7975411712,798453760,765994640,,,0,0
1784683059.7097,12332191744,7975411712,798859264,766155936,,,0,0
1784683060.71,12330950656,7975419904,798429184,765984048,,,0,0
1784683061.7106,12330950656,7975419904,798466048,766013752,,,0,0
1784683062.7109,12330950656,7975419904,798461952,766002360,,,0,0
1784683063.7114,12330950656,7975419904,798457856,766000856,,,0,0
1784683064.7118,12330950656,7975419904,798457856,766011200,,,0,0
1784683065.7123,12681793536,7975419904,799141888,765975768,,,0,0
1784683066.7126,6167773184,7975424000,800526336,765957440,,,0,0
1784683067.713,2463633408,7975424000,779235328,765985696,,,0,0
1784683068.7133,4151373824,7975424000,782434304,765940936,,,0,0
1784683069.7138,9077776384,7975424000,792072192,765945920,,,0,0
1784683070.7143,12330782720,7975424000,798433280,765948352,,,0,0
1784683071.7155,12330893312,7975424000,798437376,765962240,,,0,0
1784683072.716,12330893312,7975424000,798437376,765960848,,,0,0
1784683073.7164,12330893312,7975428096,798441472,765962448,,,0,0
1784683074.7167,12330893312,7975428096,798449664,765963768,,,0,0
1784683075.7169,12330893312,7975428096,798416896,765951784,,,0,0
1784683076.7175,12330893312,7975428096,798429184,765956000,,,0,0
1784683077.7179,12330893312,7975428096,798437376,765965544,,,0,0
1784683078.7181,12330893312,7975428096,798441472,765965376,,,0,0
1784683079.7186,12330893312,7975428096,798429184,765943464,,,0,0
1784683080.7191,12330897408,7975428096,798453760,765960072,,,0,0
1784683081.7194,12330889216,7975432192,798449664,765962864,,,0,0
1784683082.7199,12330975232,7975432192,798449664,765965248,,,0,0
1784683083.7201,12331794432,7975432192,798826496,766075440,,,0,0
1784683084.7216,12330975232,7975432192,798441472,765955576,,,0,0
1784683085.7219,12330975232,7975432192,798445568,765966960,,,0,0
1784683086.7224,12330975232,7975432192,798441472,765962352,,,0,0
1784683087.723,12330975232,7975432192,798441472,765957416,,,0,0
1784683088.7234,12330975232,7975432192,798441472,765957704,,,0,0
1784683089.7239,12330975232,7975432192,798437376,765966848,,,0,0
1784683090.7243,12330975232,7975432192,798445568,765967200,,,0,0
1784683091.7246,12331790336,7975432192,798810112,766050128,,,0,0
1784683092.7251,12434542592,7975432192,798654464,765958288,,,0,0
1784683093.7263,6110621696,7975432192,800559104,765964800,,,0,0
1784683094.7269,2667134976,7975440384,779505664,765964784,,,0,0
1784683095.7277,5813600256,7975440384,785674240,765951416,,,0,0
1784683096.7279,9536409600,7975440384,792969216,765961872,,,0,0
1784683097.7283,12330815488,7975440384,798408704,765966432,,,0,0
1784683098.7287,12330926080,7975440384,798437376,765980408,,,0,0
1784683099.729,12330926080,7975444480,798437376,765972680,,,0,0
1784683100.7292,12330926080,7975444480,798633984,766041456,,,0,0
1784683101.7296,12330926080,7975456768,798482432,765972208,,,0,0
1784683102.7303,12330926080,7975456768,798474240,765984984,,,0,0
1784683103.7305,12330926080,7975456768,798478336,765988344,,,0,0
1784683104.7307,12330926080,7975456768,798474240,765976520,,,0,0
1784683105.731,12330852352,7975456768,798474240,765979744,,,0,0
1784683106.7313,12330938368,7975464960,798437376,765958664,,,0,0
1784683107.7316,12330938368,7975464960,798453760,765969104,,,0,0
1784683108.7319,12330938368,7975464960,798445568,765965464,,,0,0
1784683109.7322,12330938368,7975464960,798433280,765967512,,,0,0
1784683110.7327,12330938368,7975473152,798871552,766206344,,,0,0
1784683111.7329,12330938368,7975473152,798490624,766027616,,,0,0
1784683112.7332,12330938368,7975473152,798482432,766018144,,,0,0
1784683113.7336,12330938368,7975473152,798494720,766020480,,,0,0
1784683114.7339,12330938368,7975473152,798490624,766020848,,,0,0
1784683115.7342,12330938368,7975477248,798429184,765958352,,,0,0
1784683116.7347,12330938368,7975477248,798437376,765967608,,,0,0
1784683117.735,12330864640,7975477248,798453760,765972960,,,0,0
1784683118.7352,12330950656,7975477248,798449664,765966688,,,0,0
1784683119.7356,12942938112,7975477248,799653888,765964496,,,0,0
1784683120.7359,3424727040,7975477248,782069760,766108840,,,0,0
1784683121.7363,2867073024,7975477248,779915264,765961808,,,0,0
1784683122.7368,6125223936,7975477248,786276352,765960440,,,0,0
1784683123.7376,9388855296,7975477248,792666112,765962136,,,0,0
1784683124.7378,12330844160,7975477248,798412800,765961432,,,0,0
1784683125.7381,12330958848,7975477248,798425088,765959608,,,0,0
1784683126.7387,12330958848,7975481344,798425088,765953528,,,0,0
1784683127.739,12330958848,7975481344,798437376,765969480,,,0,0
1784683128.7392,12331769856,7975481344,798777344,766028368,,,0,0
