timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1784705793.3614,121.69,3.81,3.1,110.96,117.88,16.0,0,0.0,0.0
1784705794.3618,121.69,4.23,3.5,110.54,117.46,16.0,0,0.0,0.0
1784705795.362,121.69,4.02,3.3,110.75,117.67,16.0,0,0.0,0.0
1784705796.3625,121.69,4.3,3.5,110.47,117.39,16.0,0,0.0,0.0
1784705797.3627,121.69,4.35,3.6,110.42,117.34,16.0,0,0.0,0.0
1784705798.3634,121.69,4.34,3.6,110.43,117.35,16.0,0,0.0,0.0
1784705799.364,121.69,4.33,3.6,110.44,117.36,16.0,0,0.0,0.0
1784705800.3646,121.69,4.31,3.5,110.47,117.38,16.0,0,0.0,0.0
1784705801.365,121.69,4.4,3.6,110.37,117.29,16.0,0,0.0,0.0
1784705802.3656,121.69,4.39,3.6,110.38,117.3,16.0,0,0.0,0.0
1784705803.366,121.69,4.32,3.6,110.45,117.37,16.0,0,0.0,0.0
1784705804.3667,121.69,4.32,3.6,110.45,117.37,16.0,0,0.0,0.0
1784705805.3671,121.69,4.28,3.5,110.49,117.41,16.0,0,0.0,0.0
1784705806.3677,121.69,4.3,3.5,110.47,117.39,16.0,0,0.0,0.0
1784705807.3685,121.69,4.28,3.5,110.49,117.41,16.0,0,0.0,0.0
1784705808.3691,121.69,4.34,3.6,110.43,117.35,16.0,0,0.0,0.0
1784705809.3697,121.69,4.34,3.6,110.43,117.35,16.0,0,0.0,0.0
1784705810.3701,121.69,4.31,3.5,110.47,117.38,16.0,0,0.0,0.0
1784705811.3708,121.69,4.29,3.5,110.48,117.4,16.0,0,0.0,0.0
1784705812.3711,121.69,4.28,3.5,110.49,117.41,16.0,0,0.0,0.0
1784705813.3715,121.69,4.27,3.5,110.51,117.42,16.0,0,0.0,0.0
1784705814.3721,121.69,4.28,3.5,110.49,117.41,16.0,0,0.0,0.0
1784705815.3728,121.69,4.27,3.5,110.5,117.42,16.0,0,0.0,0.0
1784705816.3738,121.69,4.38,3.6,110.39,117.31,16.0,0,0.0,0.0
1784705817.374,121.69,4.42,3.6,110.35,117.27,16.0,0,0.0,0.0
1784705818.3743,121.69,4.34,3.6,110.43,117.35,16.0,0,0.0,0.0
1784705819.3747,121.69,4.5,3.7,110.28,117.19,16.0,0,0.0,0.0
1784705820.375,121.69,4.51,3.7,110.26,117.18,16.0,0,0.0,0.0
1784705821.3753,121.69,4.19,3.4,110.59,117.5,16.0,0,0.0,0.0
1784705822.3756,121.69,4.49,3.7,110.28,117.2,16.0,0,0.0,0.0
1784705823.3758,121.69,4.52,3.7,110.25,117.17,16.0,0,0.0,0.0
1784705824.3762,121.69,4.45,3.7,110.32,117.24,16.0,0,0.0,0.0
1784705825.3765,121.69,4.43,3.6,110.34,117.26,16.0,0,0.0,0.0
1784705826.3768,121.69,4.42,3.6,110.35,117.27,16.0,0,0.0,0.0
1784705827.3771,121.69,4.41,3.6,110.37,117.28,16.0,0,0.0,0.0
1784705828.3774,121.69,4.37,3.6,110.4,117.32,16.0,0,0.0,0.0
1784705829.3777,121.69,4.36,3.6,110.41,117.33,16.0,0,0.0,0.0
1784705830.378,121.69,4.31,3.5,110.46,117.38,16.0,0,0.0,0.0
1784705831.3783,121.69,4.29,3.5,110.48,117.4,16.0,0,0.0,0.0
1784705832.3786,121.69,4.27,3.5,110.5,117.42,16.0,0,0.0,0.0
1784705833.379,121.69,4.28,3.5,110.49,117.41,16.0,0,0.0,0.0
1784705834.3792,121.69,4.18,3.4,110.59,117.51,16.0,0,0.0,0.0
1784705835.3799,121.69,4.26,3.5,110.51,117.43,16.0,0,0.0,0.0
1784705836.3803,121.69,4.23,3.5,110.54,117.46,16.0,0,0.0,0.0
1784705837.3807,121.69,4.24,3.5,110.53,117.45,16.0,0,0.0,0.0
1784705838.3814,121.69,4.23,3.5,110.54,117.46,16.0,0,0.0,0.0
1784705839.3822,121.69,4.34,3.6,110.43,117.35,16.0,0,0.0,0.0
1784705840.3825,121.69,4.32,3.6,110.45,117.37,16.0,0,0.0,0.0
1784705841.3828,121.69,4.32,3.6,110.45,117.37,16.0,0,0.0,0.0
1784705842.3832,121.69,4.4,3.6,110.37,117.29,16.0,0,0.0,0.0
1784705843.3835,121.69,4.42,3.6,110.36,117.27,16.0,0,0.0,0.0
1784705844.3839,121.69,4.4,3.6,110.37,117.29,16.0,0,0.0,0.0
1784705845.3842,121.69,4.48,3.7,110.29,117.21,16.0,0,0.0,0.0
1784705846.385,121.69,4.5,3.7,110.27,117.19,16.0,0,0.0,0.0
1784705847.3852,121.69,4.28,3.5,110.49,117.41,16.0,0,0.0,0.0
1784705848.3855,121.69,4.42,3.6,110.35,117.27,16.0,0,0.0,0.0
1784705849.3857,121.69,4.46,3.7,110.31,117.23,16.0,0,0.0,0.0
1784705850.3861,121.69,4.56,3.7,110.22,117.13,16.0,0,0.0,0.0
1784705851.3864,121.69,4.54,3.7,110.23,117.15,16.0,0,0.0,0.0
1784705852.3867,121.69,4.5,3.7,110.27,117.19,16.0,0,0.0,0.0
1784705853.3872,121.69,4.56,3.7,110.21,117.13,16.0,0,0.0,0.0
1784705854.3875,121.69,4.55,3.7,110.22,117.14,16.0,0,0.0,0.0
1784705855.3878,121.69,4.56,3.7,110.21,117.13,16.0,0,0.0,0.0
1784705856.3885,121.69,4.54,3.7,110.23,117.15,16.0,0,0.0,0.0
1784705857.3893,121.69,4.54,3.7,110.23,117.15,16.0,0,0.0,0.0
1784705858.3896,121.69,4.53,3.7,110.24,117.16,16.0,0,0.0,0.0
1784705859.3899,121.69,4.51,3.7,110.26,117.18,16.0,0,0.0,0.0
1784705860.3901,121.69,4.28,3.5,110.49,117.41,16.0,0,0.0,0.0
1784705861.3908,121.69,4.49,3.7,110.28,117.2,16.0,0,0.0,0.0
1784705862.3914,121.69,4.49,3.7,110.28,117.2,16.0,0,0.0,0.0
1784705863.3917,121.69,4.4,3.6,110.37,117.29,16.0,0,0.0,0.0
1784705864.392,121.69,4.39,3.6,110.38,117.3,16.0,0,0.0,0.0
1784705865.3923,121.69,4.47,3.7,110.3,117.22,16.0,0,0.0,0.0
1784705866.393,121.69,4.52,3.7,110.25,117.17,16.0,0,0.0,0.0
1784705867.3932,121.69,4.5,3.7,110.27,117.19,16.0,0,0.0,0.0
1784705868.3939,121.69,4.5,3.7,110.27,117.19,16.0,0,0.0,0.0
1784705869.3942,121.69,4.49,3.7,110.28,117.2,16.0,0,0.0,0.0
1784705870.3944,121.69,4.48,3.7,110.29,117.21,16.0,0,0.0,0.0
1784705871.3951,121.69,4.51,3.7,110.26,117.18,16.0,0,0.0,0.0
1784705872.3961,121.69,4.6,3.8,110.17,117.09,16.0,0,0.0,0.0
1784705873.3964,121.69,4.37,3.6,110.4,117.32,16.0,0,0.0,0.0
1784705874.3966,121.69,4.65,3.8,110.13,117.04,16.0,0,0.0,0.0
1784705875.3968,121.69,4.58,3.8,110.19,117.11,16.0,0,0.0,0.0
1784705876.3971,121.69,4.5,3.7,110.27,117.19,16.0,0,0.0,0.0
1784705877.3981,121.69,4.5,3.7,110.27,117.19,16.0,0,0.0,0.0
1784705878.3989,121.69,4.51,3.7,110.26,117.18,16.0,0,0.0,0.0
1784705879.3996,121.69,4.61,3.8,110.16,117.08,16.0,0,0.0,0.0
1784705880.4003,121.69,4.6,3.8,110.17,117.09,16.0,0,0.0,0.0
1784705881.4006,121.69,4.56,3.7,110.21,117.13,16.0,0,0.0,0.0
1784705882.4012,121.69,4.63,3.8,110.14,117.06,16.0,0,0.0,0.0
1784705883.4016,121.69,4.54,3.7,110.23,117.15,16.0,0,0.0,0.0
1784705884.4019,121.69,4.63,3.8,110.14,117.06,16.0,0,0.0,0.0
1784705885.4026,121.69,4.61,3.8,110.16,117.08,16.0,0,0.0,0.0
1784705886.4028,121.69,4.4,3.6,110.37,117.29,16.0,0,0.0,0.0
1784705887.4031,121.69,4.56,3.7,110.21,117.13,16.0,0,0.0,0.0
1784705888.4036,121.69,4.54,3.7,110.23,117.15,16.0,0,0.0,0.0
1784705889.4045,121.69,4.61,3.8,110.17,117.08,16.0,0,0.0,0.0
1784705890.4048,121.69,4.56,3.7,110.21,117.13,16.0,0,0.0,0.0
1784705891.4051,121.69,4.52,3.7,110.25,117.17,16.0,0,0.0,0.0
1784705892.4054,121.69,4.49,3.7,110.28,117.2,16.0,0,0.0,0.0
1784705893.4056,121.69,4.49,3.7,110.28,117.2,16.0,0,0.0,0.0
1784705894.4059,121.69,4.45,3.7,110.32,117.24,16.0,0,0.0,0.0
1784705895.4061,121.69,4.45,3.7,110.32,117.24,16.0,0,0.0,0.0
1784705896.4065,121.69,4.38,3.6,110.4,117.31,16.0,0,0.0,0.0
1784705897.4075,121.69,4.5,3.7,110.27,117.19,16.0,0,0.0,0.0
1784705898.4082,121.69,4.46,3.7,110.32,117.23,16.0,0,0.0,0.0
1784705899.4085,121.69,4.51,3.7,110.26,117.18,16.0,0,0.0,0.0
1784705900.4087,121.69,4.51,3.7,110.26,117.18,16.0,0,0.0,0.0
1784705901.409,121.69,4.46,3.7,110.31,117.23,16.0,0,0.0,0.0
1784705902.4093,121.69,4.42,3.6,110.35,117.27,16.0,0,0.0,0.0
